,-0.058633790567853755,-0.019544596855951252,0.019544596855951252,0.058633790567853755,0.09772298427975626,0.13681217799165876,0.17590137170356127,0.21499056541546377,0.25407975912736624,0.2931689528392688,0.33225814655117125,0.3713473402630738,0.41043653397497626,0.4495257276868787,0.48861492139878127,0.5277041151106838,0.5667933088225863,0.6058825025344887,0.6449716962463913,0.6840608899582938
thresh,-0.07817838742380501,0.07817838742380501,2,,,,,,,,,,,,,,,,,
unreg,1,2073,1808,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prpR,0,9,3,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
unreg_genes,[],[],[],[],['Rv1128c'],['Rv1132'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
prpR_genes,[],['argC' 'kstR' 'accA3' 'espK' 'PPE6' 'PPE5' 'Rv3916c' 'pdxH' 'pgi'],['Rv3767c' 'PPE34' 'cyp135A1'],['icl1'],[],[],[],[],[],[],[],['prpR'],[],[],[],['prpC' 'prpD'],[],[],[],[]
