,Value,list
TF,prpR,
reg_genes,16,"['kstR' 'argC' 'cyp135A1' 'pdxH' 'pgi' 'espK' 'PPE5' 'PPE6' 'Rv3916c'
 'accA3' 'PPE34' 'Rv3767c' 'icl1']"
comp_genes,5,['Rv1132' 'Rv1128c']
both_genes,3,['prpD' 'prpR' 'prpC']
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
