,A,prpR
SRX727246,-1.3337419216,-2.1679560697
SRX727243,-1.457157476,-1.9023262477
SRX727247,0.033434858000000005,-2.3878436909
SRX727244,-0.5985661475,-2.3502353723000002
SRX727245,0.2361578439,-2.387712302
SRX727248,0.7746760658,-2.3618087546
SRX727249,0.4581354557,0.2361147089
SRX727251,-0.39697434740000004,-0.1423908845
SRX727250,-0.061161108400000004,-0.0937238244
SRX4498332,-0.4524638635,0.1557021473
SRX4498334,-0.3519452644,-0.2156991664
SRX4498335,0.005974464400000001,0.1958939231
SRX4498337,-0.2237026537,-0.4305769629
SRX4498324,0.5761628824,-0.1156194319
SRX4498326,-0.5726108436,-0.2633949763
SRX4498328,0.177836352,0.4792553376
SRX4498330,-0.1813883908,-0.1002409294
SRX4498336,0.3816236803,1.3748102282
SRX4498333,-0.039727838,1.5618299033
SRX4498338,0.3658744681,1.5397724766
SRX4498329,2.7094433792,1.3688550881000001
SRX4498325,2.653064719,1.2738119551
SRX4498327,2.2461153442,1.34200254
SRX4498331,2.4470804078,1.1836308828
