,A,prpR
SRX5352221,0.6135919516,0.4917654764
SRX5352223,-0.5951600388,-0.17794496040000002
SRX5352222,-0.4577554989,-0.6524442479
SRX5352229,5.6898684702,2.2006789721
SRX5352227,4.6534098326999995,2.0804735939
SRX5352228,4.7378379463,1.8915835068
SRX5352231,7.3457291812,2.5801995004
SRX5352232,8.0878092359,3.1328222698
SRX5352230,7.2479373829,2.4852484509
SRX5352225,-4.264739773,-1.6983285891
SRX5352224,-4.9520526804,-1.5294346934
SRX5352226,-5.8530644273,-2.1105993521
SRX5352220,0.6734311829,0.3597729927
SRX5352219,0.127767754,0.0721966893
SRX5352218,-0.8011989369,-0.431969682
SRX4498228,0.0357397245,-0.16034165390000002
SRX4498224,-0.12312366200000001,-0.1669465448
SRX4498230,0.0887453138,-0.0789176519
SRX4498226,0.1829434586,-0.012271017700000001
SRX4498218,-0.1646210754,-0.022097161400000002
SRX4498216,0.1957988454,0.014027951200000001
SRX4498220,-0.2881743457,-0.0389506128
SRX4498222,0.2569965756,0.047019823
SRX4498225,-6.0777742588,-3.2090208889
SRX4498227,-5.7612906296,-3.1864295299
SRX4498231,-5.651190202,-3.2986576193
SRX4498229,-5.7252552512,-3.1089016929
SRX4498217,-5.4873043334,-2.8426489865
SRX4498221,-5.6823494616,-3.1322755558
SRX4498219,-5.5850830074,-2.7528543008
SRX4498223,-5.8471032780000005,-3.603053749
SRX5079928,0.8018833854,-0.0925030907
SRX5079930,0.681831543,-0.0464023373
SRX5079929,0.3876757309,-0.40926000160000003
SRX5079923,0.1346043631,-0.1223873386
SRX5079924,0.211413808,-0.2080020512
SRX5079922,-0.1964585893,-0.2296227567
SRX5079920,0.1489602951,0.026155256
SRX5079921,0.054437634900000004,0.0606054393
SRX5079919,-0.20339793,-0.08676069530000001
SRX5079926,1.4110362345,0.1352015662
SRX5079925,0.7731949798000001,-0.32595918220000003
SRX5079927,1.3761254953,-0.07016664610000001
SRX894005,-1.8580199651,1.2558408075
SRX894004,-1.4652882301,1.9253971870000002
SRX894006,-1.0885801274,1.938135976
SRX893999,-0.2790541641,-0.1608356569
SRX894000,-0.18359486500000002,-0.10008400790000001
SRX893998,0.4626490291,0.2609196648
SRX4647489,0.0402952985,-0.012151443100000001
SRX4647490,-0.0402952985,0.012151443100000001
SRX4647492,0.8036199716,0.4235208374
SRX4647491,1.0720436979,0.6281915742
SRX4647496,1.6139628043,0.40097002740000004
SRX4647495,2.0926356965,0.6270211844
SRX4647499,1.0264632225,0.20462737150000002
SRX4647500,0.7539446356,-0.2420764852
SRX4647493,-0.7206403801,-0.5209986981
SRX4647494,-0.4548820159,-0.34906671980000004
SRX4647497,1.0019038718,0.3709409303
SRX4647498,0.9407922997,0.0373808891
SRX4505482,-0.0516187553,0.0164696857
SRX4505486,0.1163089442,-0.0961112165
SRX4505484,-0.12855368620000002,-0.138087024
SRX4505473,-0.0702878346,-0.061062952000000004
SRX4505476,-0.0014445905,-0.2721567157
SRX4505480,-0.21726329500000002,0.1013305807
SRX4505478,-0.0357709795,0.0463679308
SRX4505474,0.2544788649,0.1244582042
SRX4505483,1.3227061293,0.948825848
SRX4505485,1.1016671716,0.9098511016
SRX4505487,1.1726758872,0.8403747302
SRX4505488,1.3801850243,0.7926841121
SRX4505481,2.5545695554,1.0450734031
SRX4505477,2.4191948376,0.9924637224
SRX4505475,2.1961644071,0.9378501850000001
SRX4505479,2.3478825271,0.8885603584
SRX4605773,-0.3901307914,-0.0445965973
SRX4605774,-0.5503842158,-0.1752648773
SRX4605772,0.034324510600000004,-0.0239035174
SRX4605771,-0.034324510600000004,0.0239035174
SRX5178871,0.7415657694000001,0.3343120819
SRX5178872,1.4002459052,0.6235445621
SRX5178868,0.12743760070000001,0.2225754345
SRX5178870,-0.0343707434,-0.4440863935
SRX5178869,-0.0930668573,0.221510959
ERX1404045,0.0775654833,0.2047834514
ERX1404046,-0.0775654833,-0.2047834514
ERX1404043,0.7345532960000001,0.034444561900000004
ERX1404044,1.290433713,0.3227560632
ERX237502,0.6466081107,-0.0062154160000000005
ERX237505,0.9805259766000001,-0.0761835409
ERX237506,1.441776343,0.1673430377
ERX237500,10.3636426093,2.5042595112
ERX237497,10.9042539626,2.4615960214
ERX237499,11.8046497934,3.0409755575
ERX237507,0.4015844055,0.0023177623000000002
ERX237496,-0.057745522,-0.18294610590000002
ERX237504,-0.3438388835,0.18062834360000002
ERX3772318,-0.0472792165,-0.3079899548
ERX3772320,-0.2611430791,-0.2620736439
ERX3772319,0.2894829372,-0.0924832033
ERX3772321,-0.0579483041,-0.1355092802
ERX3772322,-0.0726142176,-0.0890690487
ERX3772323,0.13056252170000002,0.2245783289
SRX4314262,0.5336182548,-0.0035846289
SRX4314263,-0.1710470103,-0.0149843692
SRX4314261,-0.3625712445,0.018568998
SRX4314265,-5.0947542835,-1.9461553568
SRX4314266,-5.0412250664,-2.0775429466
SRX4314264,-4.4303264247000005,-2.3376030667
SRX4314268,-2.4393472507,-2.0989933029
SRX4314267,-2.7406349588000003,-2.2654923995000003
SRX4314271,-4.0971579897,-2.9689520711
SRX4314272,-4.9922851296,-3.126672242
SRX4314275,-4.5552190489,-2.5707394935
SRX4314274,-3.9158430697,-2.4987011916
SRX4314273,-4.6085404971,-2.6235064087
SRX4314278,-3.5366036323,-2.668048188
SRX4314276,-3.4182839644,-2.3775297356
SRX4314281,-4.0360969502,-2.5043997043
SRX4314279,-4.3411155769,-2.4926353334
SRX4314280,-5.0314480553,-2.7924905854
SRX4314284,-3.9946860564,-2.6261189466
SRX4314283,-1.8344972176,-2.0250255403
SRX4314282,-2.9756846239,-2.0305523999
SRX4314293,-4.4664034037,-2.6578636825
SRX4314292,-5.3573020837,-3.1272844276
SRX4314291,-6.9121380843,-3.9786709857
SRX4314297,-4.5276211826,-3.3101486089
SRX4314298,-3.71580447,-3.3213225178
SRX4314299,-7.4022973478,-4.8259541212
SRX4314302,-5.5093913214,-4.0800032998
SRX4314301,-4.2541437838,-3.5405342123
SRX4314300,-3.4526201446,-3.2241287838
SRX4314305,-6.0060124073,-4.4462470429
SRX4314304,-3.9991574741,-3.3378430077
SRX4314303,-4.4208684368,-3.4653574339
SRX4314309,-1.9117091066,-2.5034364843
SRX4314306,-3.492033651,-3.1120891968
SRX4314308,-2.8322327539,-2.6366893304
SRX4314307,-2.3936837669,-3.024080319
SRX4314311,-5.0207484403,-3.5954330779
SRX4314317,-2.9793757804,-2.953686124
SRX4314316,-1.9047891848,-3.1421745423
SRX4314318,-2.551951987,-3.4979967992
SRX4314319,-2.9063672624,-3.6202221948
SRX4314331,-2.2212976133,-2.6752689319
SRX4314330,-2.9344643615,-2.9985005181
SRX4314332,-4.7055785355,-3.5975378914
SRX4314335,-3.9437043479,-3.5998642986
SRX4314334,-1.9858377981,-2.6203589218000003
SRX4314333,-2.9798861268000003,-3.0737448801
SRX4314338,-2.3553062231,-2.5093536628
SRX4314336,-1.9225022549,-2.3077498581
SRX4314337,-1.4551136255000001,-1.959228756
SRX4314339,0.2865563841,-1.101484273
SRX4314340,-0.6098793290000001,-1.3048652672
SRX4314341,0.7727894571,-1.073034271
SRX3686762,-0.18178701760000002,-0.6125001467
SRX3686763,-0.0200769205,-0.2617522719
SRX3686761,-0.0759693327,-0.5123459683
SRX3686765,0.32854581380000003,-0.2057413164
SRX3686769,-0.4287018152,-0.2816160478
SRX3686766,0.0898112497,-0.1976610792
SRX3686768,-0.23269004540000002,-0.2857528942
SRX3686764,0.5614436929000001,-0.1346616297
SRX3686767,-0.43307613840000003,-0.2940236189
SRX3686788,-0.5472632056,-0.2716091945
SRX3686791,0.6079338236,0.3642149377
SRX3686792,0.41195893100000003,0.22145733850000002
SRX3686793,-0.3861875104,-0.12147192820000001
SRX3686790,0.3020935974,-0.08445052680000001
SRX3686789,-0.388535636,-0.1081406267
SRX3686829,0.0158217546,-0.7661496296
SRX3686830,0.1622216105,-0.8480278509
SRX3686828,-0.1056822412,-0.9111909387
SRX3686819,-3.4108956834,-0.1802015687
SRX3686818,-3.7936323772,-0.4075416754
SRX3686817,-4.0766897043,-0.5604035723
SRX3686822,8.8486510543,3.0594199818
SRX3686820,6.9403119772,2.3131713304
SRX3686821,8.4684998943,2.9012484086
SRX3686743,-0.0219017773,-0.44503643870000004
SRX3686744,-0.0639834958,-0.3337728265
SRX3686745,0.1172676398,-0.1411808799
