sample,Rv0713
SRX3995807,-0.0234995045
SRX3995806,0.0171784436
SRX3995809,-0.19756790130000002
SRX3995808,-0.24286121300000002
SRX4619048,-0.0800497425
SRX4619047,-0.0504665771
SRX4619049,-0.2607083032
SRX4619050,-0.1975271743
SRX3995804,-0.11294586000000001
SRX3995805,0.11294586000000001
SRX5089845,-0.0289108153
SRX5089844,-0.0796157467
SRX5089860,-0.172734034
SRX5089859,0.1376676853
SRX5089858,0.0350663487
SRX5089854,-0.3495968
SRX5089853,-0.6485330099000001
SRX5089852,-0.4259695546
SRX5089856,0.5117658826
SRX5089855,0.5215788484
SRX5089857,0.2307993248
SRX5089868,-0.3359095119
SRX5089866,-0.5407140639
SRX5089867,-0.0799301245
SRX5089870,0.1225580658
SRX5089869,-0.010061979300000001
SRX5089871,0.3472481784
SRX5089846,-0.6807129727
SRX5089848,-0.3354344775
SRX5089847,-0.6485489026
SRX5089849,1.04044345
SRX5089850,0.6174694778
SRX5089851,1.051216422
SRX5089863,-0.14954951400000002
SRX5089861,-0.149532686
SRX5089862,-0.141642715
SRX5089865,0.3145929723
SRX5089864,0.7567175151000001
SRX5388955,0.0050508672
SRX5388957,0.010601567000000001
SRX5388954,-0.07092467620000001
SRX5388956,0.055272242000000006
SRX5388960,-2.0599810755
SRX5388961,-1.6978782244000001
SRX5388959,-2.1647761874
SRX5388958,-1.8795026866
SRX5388964,-1.2020755252
SRX5388965,-1.2412217564
SRX5388962,-1.015469638
SRX5388963,-1.0832691854
SRX6889335,-0.0690331726
SRX6889333,0.0690331726
SRX6810002,0.15459474110000002
SRX6810004,0.055794105000000004
SRX6810003,-0.2103888461
SRX6810006,-0.6011043234
SRX6810005,-0.33513023280000004
SRX6810007,-0.8820278554000001
ERX1818322,0.09344551570000001
ERX1818321,-0.09344551570000001
SRX2617830,0.12169937460000001
SRX2617831,0.0083754272
SRX2617833,-0.8607151252
SRX2617832,-0.8330335589000001
SRX2617828,0.001443335
SRX2617827,0.1062801469
SRX2617829,-0.1077234819
SRX3456119,0.9441928863000001
SRX3456118,-0.1142854901
SRX3456117,0.2471423272
SRX3456101,0.2202730511
SRX3456099,0.1085894082
SRX3456100,-0.3288624593
SRX3456107,4.0097413375
SRX3456105,3.957265879
SRX4374122,-0.4786402763
SRX4374121,-0.1209190272
SRX4374123,-0.2807707727
SRX4374124,0.0252105514
SRX4374125,-0.0313698233
SRX4374126,0.0061592719
SRX4374127,-0.2828353783
SRX4374128,-0.16585013780000002
SRX4374129,-0.3672792466
SRX4374130,-0.5286021619
SRX4374132,-0.6152637818000001
SRX4374131,-0.5028048863
SRX4374133,-0.7497588282000001
SRX4374135,-0.9057745489000001
SRX4374134,-1.171544501
SRX4374138,-0.6393610975
SRX4374136,-0.3658111549
SRX4374137,-0.5110820868
SRX1091379,0.3068475735
SRX1091380,0.26377425720000003
SRX1091377,0.0184835676
SRX1091378,-0.0184835676
SRX4647145,0.16445605030000002
SRX4647146,0.2770249892
SRX4647147,0.2200136075
SRX4647144,0.0499666748
SRX4647143,0.0335065
SRX4647142,-0.0834731747
SRX4647155,0.5496496375000001
SRX4647152,0.48908525070000003
SRX4647153,0.3809931194
SRX4647154,0.6552057899
SRX4647148,0.28338757470000003
SRX4647149,0.3711181662
SRX4647151,0.4325106326
SRX4647150,0.2651652228
SRX4647123,-0.1261070491
SRX4647124,0.1234185225
SRX4647125,0.0026885267
SRX3103185,-0.0051861574
SRX3103189,0.1410343756
SRX3103187,-0.3321851792
SRX3103184,0.0636979298
SRX3103188,0.1730873929
SRX3103186,-0.2367853227
SRX1372110,-0.6063577331000001
SRX1372111,-0.2519470755
SRX1372108,-0.06681147300000001
SRX1372109,0.06681147300000001
SRX4506085,0.1034414654
SRX4506083,0.14061599090000002
SRX4506089,0.0943844639
SRX4506087,0.0312782564
SRX4506077,0.1349372983
SRX4506079,-0.1486406141
SRX4506075,0.0851237719
SRX4506081,-0.0714204561
SRX4506084,1.3613489499
SRX4506086,1.5137214618
SRX4506088,1.416804576
SRX4506090,1.2364003935
SRX4506078,1.3485603721000001
SRX4506080,1.4237543880999999
SRX4506082,1.4437391142
SRX4506076,1.396712864
SRX5352221,-0.1229718307
SRX5352223,-0.091473886
SRX5352222,0.42935163800000004
SRX5352229,0.8947361411
SRX5352227,1.0422789169
SRX5352228,1.0084333352
SRX5352231,-2.238079694
SRX5352232,-2.1077401217
SRX5352230,-2.6913940318
SRX5352225,-0.7433001775
SRX5352224,-0.3620363157
SRX5352226,-0.4081723727
SRX5352220,-0.0292950563
SRX5352219,0.064988714
SRX5352218,-0.035693657600000005
SRX4498228,0.1168418739
SRX4498224,0.2704531015
SRX4498230,0.0656267905
SRX4498226,0.12930396530000002
SRX4498218,0.0318156945
SRX4498216,0.0698648598
SRX4498220,-0.0124870016
SRX4498222,-0.0891935526
SRX4498225,0.24709468610000002
SRX4498227,0.13079967110000001
SRX4498231,0.21382960880000002
SRX4498229,0.1702264151
SRX4498217,0.1240063903
SRX4498221,0.2976127538
SRX4498219,0.1441301087
SRX4498223,0.4681939117
SRX5079928,-0.4839445157
SRX5079930,-0.7034408878
SRX5079929,-0.5841950189
SRX5079923,-0.1641656465
SRX5079924,-0.2036071878
SRX5079922,-0.2486032025
SRX5079920,-0.0233198485
SRX5079921,-0.0347741421
SRX5079919,0.0580939906
SRX5079926,-0.4224830854
SRX5079925,-0.4423374487
SRX5079927,-0.4048763086
SRX894005,0.056617652500000004
SRX894004,0.49615985240000005
