,A,argR
SRX4498309,-0.5314042782,-0.559155643
SRX4498313,0.4620034367,0.3332185659
SRX4615568,0.6165295842,0.0
SRX4615570,-0.6165295842,0.0
SRX727246,1.5529690665,-0.7160640847
SRX727243,2.9477879568,0.39541850100000003
SRX727247,2.594304827,1.2932324999
SRX727244,3.2237109534,1.3663720704
SRX727245,4.3142965152,1.5690093895000001
SRX727248,3.3255041808,1.5145290629
SRX727249,-0.2453355339,0.2623642392
SRX727251,0.2620881482,-0.0622674945
SRX727250,-0.0167526143,-0.2000967447
SRX4498332,0.5319238523,0.21134644260000002
SRX4498334,0.4385224891,0.38852063410000004
SRX4498335,0.09091684850000001,0.5460269706
SRX4498337,0.9588186839,0.3762188204
SRX4498324,0.4050460721,0.1011462781
SRX4498326,-0.19270829220000002,-0.2099476207
SRX4498328,-0.3282879718,-0.058928014
SRX4498330,0.11595019200000001,0.16772935660000002
SRX4498336,0.5473417457,0.09603627120000001
SRX4498333,0.9516029051,0.1242550053
SRX4498338,1.6320099458000001,0.4801140748
SRX4498329,3.84247528,1.3018957022
SRX4498325,4.8064775352,1.5167389239
SRX4498327,3.7095228602,1.1140927016
SRX4498331,3.5184702716,1.3063125977
