,A,argR
SRX4506076,3.6561956588999998,1.2361244845
SRX5352221,-1.1809121194,-0.0648377908
SRX5352223,-0.5769830986,0.0500733435
SRX5352222,0.1302432211,0.2943840874
SRX5352229,0.9471594507000001,-0.330910649
SRX5352227,1.115517148,-0.1826242909
SRX5352228,0.9176370712,-0.23678528270000002
SRX5352231,13.3802100896,2.3284126527
SRX5352232,12.4845454452,2.1553592878
SRX5352230,13.419019126,2.232938001
SRX5352225,-2.2848502017,-1.1274470637
SRX5352224,-0.6129295610000001,-0.6766487257
SRX5352226,0.1665907591,-0.4579160994
SRX5352220,-0.349911552,-0.085427376
SRX5352219,0.0875260404,0.0515828297
SRX5352218,0.2623855115,0.0338445463
SRX4498228,-0.2850763422,-0.2979704324
SRX4498224,-0.4007789406,0.0086815509
SRX4498230,-0.6251324607000001,-0.7187378976000001
SRX4498226,0.0238142268,-0.5504925888000001
SRX4498218,0.2266315431,0.0378592233
SRX4498216,0.5218809038000001,0.1195072618
SRX4498220,-0.3771345376,0.11947965640000001
SRX4498222,-0.37137790940000004,-0.2768461414
SRX4498225,-0.2436227923,-0.1331973233
SRX4498227,-0.4849376617,-0.4640153133
SRX4498231,0.21973150360000002,-0.3077525343
SRX4498229,0.1960928676,-0.421821412
SRX4498217,0.6717290084,0.2028951341
SRX4498221,0.182055151,-0.6182238031
SRX4498219,0.5870838358,0.11569108040000001
SRX4498223,0.48428590920000003,-0.4328020327
SRX5079928,-1.3427474298,-0.5825351008
SRX5079930,-1.0356596431,-0.6573703291
SRX5079929,-1.5679987248,-0.7838488123
SRX5079923,-0.3509547072,-0.507159372
SRX5079924,-0.9364827630000001,-0.6639222941
SRX5079922,-0.1614823611,-0.3058882726
SRX5079920,0.2292149062,0.1710331814
SRX5079921,-0.3087002809,-0.1899341645
SRX5079919,0.0794853746,0.0189009831
SRX5079926,-0.6377321309,-0.6446190029000001
SRX5079925,-0.9991600901000001,-0.8039050756
SRX5079927,-1.2214321999,-0.4737249703
SRX894005,4.6830036246999995,1.668661959
SRX894004,4.1935357019,1.6237302109
SRX894006,4.9971616748,1.7529962227
SRX893999,-0.5739013851,-0.2020569721
SRX894000,0.4126860037,0.0436773985
SRX893998,0.1612153814,0.15837957360000002
SRX4647489,-0.5414428491000001,-0.3112873236
SRX4647490,0.5414428491000001,0.3112873236
SRX4647492,0.5686663630000001,-0.0132867278
SRX4647491,0.5239949638,0.3961321446
SRX4647496,-1.2682648404,-0.5189659416
SRX4647495,-1.0714887911,-0.3294427366
SRX4647499,0.0328369779,0.2162235351
SRX4647500,-0.094292728,-0.6611979842
SRX4647493,0.7564488871,-0.016608388800000002
SRX4647494,0.46011927100000005,-0.006187644
SRX4647497,-0.36567179910000003,-0.1408857947
SRX4647498,-0.6253605396,-0.09793955110000001
SRX4505482,-1.065161407,-0.3226159256
SRX4505486,-0.1499439038,0.1982835714
SRX4505484,-1.4564159724999999,-0.43102079730000004
SRX4505473,-0.3303462524,0.058363231200000004
