,A,mprA
SRX4506078,-1.8607230816,-0.9668046525
SRX4506080,-2.0252773242,-1.0165719795000001
SRX4506082,-1.8861780866000002,-1.0539877451
SRX4506076,-2.4304100164,-0.8867458477
SRX5352221,2.7443765367,0.6053055875000001
SRX5352223,3.1427136376,0.6441955163
SRX5352222,0.2418262232,0.6808871473
SRX5352229,-23.4423488339,-0.9710155499
SRX5352227,-23.3810548222,-1.0543146476
SRX5352228,-23.6180295647,-1.2089506192
SRX5352231,-8.0174003608,0.3134120465
SRX5352232,-8.6754736111,0.3510104973
SRX5352230,-8.0503252815,0.0210835799
SRX5352225,-1.2359111102,0.4565921899
SRX5352224,-2.3384771927,0.4057541472
SRX5352226,-2.3240525995,0.1325033365
SRX5352220,-0.2250012037,0.07767999290000001
SRX5352219,-0.2509856055,0.0188604692
SRX5352218,0.47598680930000004,-0.09654046220000001
SRX4498228,-0.4508479863,0.029937695900000002
SRX4498224,-0.4171126369,-0.10318363800000001
SRX4498230,-0.3640476197,-0.1227970708
SRX4498226,-0.8453336596000001,0.040775278400000003
SRX4498218,-0.2484033021,0.024478835600000002
SRX4498216,0.5504916896000001,0.0342423248
SRX4498220,-0.3014874395,-0.043398918200000004
SRX4498222,-0.000600948,-0.015322242100000001
SRX4498225,-0.1456286882,-0.1295677143
SRX4498227,0.0487160124,-0.0764552097
SRX4498231,0.005535371000000001,0.034891142
SRX4498229,0.0375356535,-0.0141223162
SRX4498217,-0.49139479480000003,-0.0110163838
SRX4498221,-0.8962664770000001,-0.1155891961
SRX4498219,-0.5656200865000001,-0.0377261414
SRX4498223,-0.6122288398,-0.0897048802
SRX5079928,3.2594866391,-0.3274842858
SRX5079930,3.1359982377,-0.2028924996
SRX5079929,3.7786484831,-0.2410241404
SRX5079923,0.6808036246,-0.4659718265
SRX5079924,1.7704657741,-0.4531007637
SRX5079922,1.274660703,-0.3947755322
SRX5079920,-0.32539095430000003,-0.030996346600000002
SRX5079921,0.4597633494,0.0773887057
SRX5079919,-0.1343723951,-0.0463923591
SRX5079926,1.7644866633,-0.2831326293
SRX5079925,2.5832322737,-0.3010821597
SRX5079927,2.9722704598,-0.3519726999
SRX894005,-2.8911269144,0.5940371933
SRX894004,-4.0123598572,0.6001630008000001
SRX894006,-3.9163785027999998,0.4454643139
SRX893999,-0.6530992001,0.033179266400000004
SRX894000,-0.1986198221,0.0659897118
SRX893998,0.8517190222000001,-0.0991689783
SRX4647489,0.0519048546,0.014053941700000001
SRX4647490,-0.0519048546,-0.014053941700000001
SRX4647492,-1.2420107891,0.113363472
SRX4647491,-0.9454795203,0.1955158824
SRX4647496,-2.1052651524,-0.16564724220000002
SRX4647495,-2.1901118099,-0.0352333109
SRX4647499,-2.0978675774,0.0336447714
SRX4647500,-1.8445611326,0.1040563065
SRX4647493,0.1464894972,0.08519334590000001
SRX4647494,0.16920723640000002,0.0654939277
SRX4647497,-1.9666648711999999,0.026780788200000002
SRX4647498,-2.0468865992,0.007671684000000001
SRX4505482,1.0230432926,-0.0691518574
SRX4505486,1.2143358723,0.0649757407
SRX4505484,0.5386883755,0.062933706
SRX4505473,1.8052252136,0.2030718192
SRX4505476,-0.35378879960000004,0.039642863300000004
SRX4505480,0.29537749420000003,0.0581667682
SRX4505478,0.4216630377,-0.0953752492
SRX4505474,-0.3632517323,-0.0024343823000000002
SRX4505483,-1.101194889,-0.0205368298
SRX4505485,-0.875283334,-0.10775906930000001
SRX4505487,-1.0398262853,-0.1479561684
SRX4505488,-1.0050068622,-0.0461459529
SRX4505481,-1.9312533931,-0.2356174487
SRX4505477,-1.7601579138,-0.1621601945
SRX4505475,-1.7387833325000002,-0.3044661226
SRX4505479,-1.6234028379,-0.2710221142
SRX4605773,-0.37778560380000004,-0.019028777900000002
SRX4605774,-0.2480316116,-0.0228026788
SRX4605772,0.29484297460000003,-0.0360804128
SRX4605771,-0.29484297460000003,0.0360804128
SRX5178871,-0.1430114237,0.11191550230000001
SRX5178872,-1.2148890223,0.12254341220000001
SRX5178868,0.7235195103000001,-0.060029034700000004
SRX5178870,-0.7244725492,0.0574824371
SRX5178869,0.0009530389,0.0025465976
ERX1404045,0.4094697373,0.08609618940000001
ERX1404046,-0.4094697373,-0.08609618940000001
ERX1404043,0.6177746763,0.42112546640000004
ERX1404044,-0.3472911234,0.1142653549
ERX237502,-3.8067326599999998,-0.22655576160000002
ERX237505,-2.1125558517,-0.4961700544
ERX237506,-3.6050056648,-0.6867596096
ERX237500,-8.5001337778,0.8655580063
ERX237497,-9.6501873845,0.8394927138
ERX237499,-9.4247367333,0.8832458466
ERX237507,-0.2716502455,-0.21794150880000002
ERX237496,0.4155683564,0.10699962240000001
ERX237504,-0.1439181109,0.11094188640000001
ERX3772318,-0.9015999538,-0.2496808703
ERX3772320,-0.9800873901,-0.1124043168
ERX3772319,-1.1011258268,-0.1304605693
ERX3772321,0.6087650874,0.0325189618
ERX3772322,0.7086456637,-0.1075834588
ERX3772323,-1.3174107511,0.07506449700000001
SRX4314262,0.7473786567,-0.1939842055
SRX4314263,0.556330746,-0.08087442140000001
