,A,mprA
SRX4498317,-7.3019523896,-1.0999880432
SRX4498311,0.9064565669,-0.9967259156
SRX4498315,1.2817969722,-0.9379211215000001
SRX4498309,1.2163474104,-0.8306813077
SRX4498313,0.5479427711,-0.8223390146
SRX4615568,-0.287174545,0.2602121121
SRX4615570,0.287174545,-0.2602121121
SRX727246,-3.0603495321,-1.3730312741000001
SRX727243,-4.5848068072,-1.3680106473
SRX727247,-5.3501083163,-1.3302790917
SRX727244,-7.5671920139,-1.4784283091
SRX727245,-6.2809178583,-1.3415167942
SRX727248,-5.6022789221,-1.8020192765
SRX727249,-0.1584764858,0.036043261800000004
SRX727251,0.3814746216,0.06497151300000001
SRX727250,-0.2229981359,-0.1010147749
SRX4498332,0.3034279968,-0.08676837100000001
SRX4498334,1.9940834885,0.1671932642
SRX4498335,1.6594274937,0.1062164523
SRX4498337,1.4580334442,0.14624865
SRX4498324,-0.1641224821,-0.0039622184
SRX4498326,-0.2105515907,0.0521486054
SRX4498328,0.2019187834,-0.1646935101
SRX4498330,0.1727552894,0.1165071231
SRX4498336,0.8287678357,1.6265607647
SRX4498333,0.46212585310000004,1.5701411977
SRX4498338,0.1503103133,1.6260652363
SRX4498329,-1.5001172948,0.1258297085
SRX4498325,-1.3025232127,0.14088905570000002
SRX4498327,-1.3129742959000001,0.2018972782
SRX4498331,-1.1367048881,0.1975034383
