,-0.08276759439054045,-0.06207569579290534,-0.04138379719527023,-0.020691898597635122,-1.3877787807814457e-17,0.020691898597635094,0.0413837971952702,0.062075695792905325,0.08276759439054042,0.10345949298817551,0.12415139158581064,0.14484329018344577,0.16553518878108087,0.18622708737871596,0.2069189859763511,0.2276108845739862,0.2483027831716213,0.2689946817692564,0.2896865803668915,0.31037847896452664
thresh,-0.09311354368935801,0.09311354368935801,2,,,,,,,,,,,,,,,,,
unreg,0,3,27,692,2265,569,48,4,1,0,0,0,0,0,0,0,0,0,0,0
mprA,0,0,4,54,152,63,12,3,2,1,0,1,1,0,1,0,3,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
mprA_genes,[],[],['efpA' 'Rv2377c' 'Rv0232' 'Rv2657c'],"['papA4' 'Rv0047c' 'mbtG' 'vapB46' 'katG' 'pks16' 'icl1' 'Rv0275c' 'fdxA'
 'Rv2656c' 'pfkB' 'PE35' 'drrA' 'pks4' 'pks3' 'espK' 'Rv3182' 'irtB'
 'Rv2620c' 'Rv2516c' 'mbtD' 'Rv1894c' 'ephA' 'Rv1929c' 'drrC' 'Rv3502c'
 'acg' 'drrB' 'Rv3524' 'Rv2621c' 'Rv2619c' 'Rv1686c' 'Rv2989' 'mkl' 'mmsB'
 'Rv0383c' 'nuoE' 'narX' 'mbtE' 'Rv2251' 'Rv2662' 'Rv1312' 'nuoB' 'vapB15'
 'Rv3612c' 'Rv0695' 'esxR' 'Rv0249c' 'Rv1895' 'Rv0990c' 'Rv2076c' 'Rv2035'
 'che1' 'ethA']","['fadA5' 'Rv2827c' 'ppsD' 'modC' 'Rv2517c' 'Rv1395' 'Rv2742c' 'nuoJ'
 'ethR' 'ideR' 'irtA' 'fadE26' 'Rv0094c' 'ilvC' 'desA2' 'mbtI' 'mbtB'
 'Rv0140' 'Rv3600c' 'cysH' 'fadE9' 'rpiB' 'Rv1778c' 'yrbE3A' 'Rv2012'
 'Rv1733c' 'PPE30' 'panC' 'arsA' 'ispD' 'espA' 'Rv0885' 'Rv2075c'
 'Rv0690c' 'papA3' 'Rv2190c' 'nrdZ' 'iniA' 'Rv1149' 'Rv0268c' 'narK2'
 'hsaA' 'Rv0463' 'eccC2' 'atpB' 'Rv0991c' 'iniB' 'Rv2515c' 'iniC'
 'Rv1592c' 'Rv1767' 'mbtC' 'Rv3603c' 'yjcE' 'Rv2464c' 'vapC15' 'Rv0080'
 'Rv2077c' 'Rv1738' 'PPE34' 'Rv2669' 'sthA' 'Rv2011c' 'sigH' 'Rv3137'
 'Rv1875' 'Rv2622' 'clpB' 'Rv0569' 'Rv3903c' 'prpD' 'pks9' 'mez' 'ahpD'
 'rubB' 'mce1A' 'cyp142' 'Rv1986' 'Rv0465c' 'mas' 'Rv0572c' 'Rv2705c'
 'nuoI' 'fadD19' 'lipQ' 'espC' 'mmpL4' 'Rv2030c' 'Rv0628c' 'virS'
 'Rv1041c' 'Rv0696' 'PE_PGRS11' 'PPE10' 'Rv0612' 'hsaG' 'Rv0042c' 'kmtR'
 'mce1B' 'mce1F' 'desA1' 'Rv3354' 'mgtA' 'Rv3093c' 'Rv1042c' 'PE_PGRS32'
 'Rv0302' 'rplB' 'PE34' 'mce1D' 'Rv2028c' 'fdxB' 'Rv3180c' 'kstD' 'Rv1874'
 'sirA' 'eccE3' 'Rv0079' 'panD' 'panB' 'nuoH' 'Rv0843' 'Rv3183' 'Rv3675'
 'Rv3633' 'mgtC' 'Rv0694' 'ppsB' 'bfrA' 'Rv3437' 'yrbE1A' 'Rv2600'
 'Rv2617c' 'PPE36' 'PE_PGRS14' 'aac' 'Rv3767c' 'prpC' 'PPE8' 'Rv0313'
 'nuoM' 'oxcA' 'Rv1217c' 'PPE4' 'Rv3249c' 'mbtL' 'atpA' 'esxQ' 'trxB1'
 'Rv2943' 'Rv0839' 'ppsC']","['Rv2172c' 'nanT' 'PPE50' 'espG3' 'Rv3833' 'fadD5' 'Rv3094c' 'atpH'
 'Rv3839' 'acrA1' 'Rv1533' 'Rv2466c' 'mbtK' 'atpE' 'Rv2004c' 'atpD'
 'fadE24' 'Rv3403c' 'fadE23' 'Rv0263c' 'lprQ' 'kasB' 'mmsA' 'Rv1957'
 'Rv0574c' 'atpF' 'Rv3355c' 'ahpC' 'PE20' 'Rv3837c' 'Rv1534' 'Rv1342c'
 'Rv2021c' 'ligB' 'Rv3168' 'eccD3' 'cyp130' 'PPE60' 'Rv1194c' 'TB31.7'
 'Rv2005c' 'Rv0826' 'pstA2' 'Rv2034' 'Rv2074' 'PPE37' 'Rv2022c' 'lprD'
 'Rv0784' 'pstC1' 'alkB' 'kasA' 'esxH' 'Rv3840' 'Rv2663' 'nuoK' 'lipF'
 'PE22' 'Rv3660c' 'pepR' 'acpM' 'pks2' 'esxN']","['rubA' 'lpqD' 'Rv0264c' 'metC' 'mmpL8' 'Rv3269' 'ppsA' 'higB' 'scoA'
 'papA1' 'nirB' 'esxO']",['Rv3054c' 'whiB6' 'PPE19'],['esxI' 'esxV'],['esxJ'],[],['esxW'],['esxP'],[],['esxL'],[],['PPE18' 'esxK' 'PE13'],[],[],[]
