,Value,list
TF,mprA,
reg_genes,297,"['nanT' 'Rv0826' 'che1' 'mmpL4' 'desA1' 'Rv2251' 'Rv0140' 'vapC15' 'narK2'
 'mbtI' 'drrC' 'ethR' 'Rv1733c' 'Rv3269' 'fadD5' 'nuoJ' 'nuoK' 'mbtD'
 'Rv0275c' 'sirA' 'Rv0094c' 'irtB' 'kasB' 'Rv1395' 'esxI' 'mbtC' 'Rv2077c'
 'Rv2464c' 'Rv3093c' 'Rv2943' 'Rv3168' 'Rv2517c' 'ppsD' 'espA' 'espK'
 'iniB' 'Rv0465c' 'ppsC' 'fadE23' 'nuoH' 'TB31.7' 'mez' 'icl1' 'Rv2705c'
 'Rv2657c' 'Rv0574c' 'Rv0696' 'nuoM' 'esxN' 'Rv2021c' 'espC' 'PE_PGRS14'
 'Rv1778c' 'rpiB' 'rplB' 'katG' 'oxcA' 'Rv0612' 'Rv2662' 'nuoB' 'Rv2827c'
 'eccE3' 'ilvC' 'Rv1312' 'Rv0885' 'Rv0463' 'vapB46' 'cyp130' 'Rv2656c'
 'lprQ' 'mas' 'atpA' 'yrbE1A' 'Rv3660c' 'Rv2742c' 'PPE8' 'ppsA' 'irtA'
 'atpF' 'Rv3094c' 'Rv2035' 'fdxA' 'nirB' 'Rv3833' 'PPE60' 'Rv2172c' 'hsaA'
 'pstC1' 'Rv0991c' 'pks9' 'Rv1986' 'Rv0628c' 'esxQ' 'lipF' 'fadA5'
 'PE_PGRS32' 'atpH' 'modC' 'Rv2600' 'Rv0302' 'ephA' 'Rv0695' 'Rv2669'
 'espG3' 'papA4' 'Rv3182' 'Rv0839' 'Rv3355c' 'ispD' 'Rv2076c' 'mce1B'
 'atpB' 'mgtC' 'Rv1533' 'pks16' 'iniA' 'Rv2034' 'Rv3437' 'Rv2011c'
 'Rv1875' 'PPE10' 'lpqD' 'mbtL' 'iniC' 'atpE' 'Rv3837c' 'pks2' 'Rv3612c'
 'ethA' 'mkl' 'eccC2' 'Rv2622' 'Rv1342c' 'Rv0264c' 'desA2' 'Rv1217c'
 'mce1F' 'Rv3054c' 'PPE34' 'kstD' 'Rv1929c' 'mmpL8' 'Rv1738' 'Rv2075c'
 'acpM' 'mbtB' 'Rv2617c' 'rubA' 'Rv1874' 'whiB6' 'ahpD' 'Rv0080' 'scoA'
 'Rv3137' 'acg' 'lprD' 'mmsA' 'PE_PGRS11' 'metC' 'pks3' 'Rv0249c' 'mce1D'
 'panC' 'PPE30' 'mce1A' 'Rv0268c' 'Rv1194c' 'panD' 'vapB15' 'mbtK' 'kasA'
 'ppsB' 'mbtG' 'nuoE' 'PE22' 'bfrA' 'fdxB' 'Rv2022c' 'Rv2989' 'nuoI'
 'Rv0690c' 'pepR' 'esxR' 'cyp142' 'virS' 'cysH' 'lipQ' 'Rv0694' 'Rv2005c'
 'Rv2515c' 'Rv2663' 'kmtR' 'fadE24' 'Rv0232' 'mgtA' 'Rv1534' 'Rv3600c'
 'fadD19' 'higB' 'Rv2004c' 'pstA2' 'Rv2028c' 'Rv1042c' 'Rv1894c' 'PE35'
 'PPE37' 'Rv3403c' 'Rv0313' 'aac' 'mbtE' 'mmsB' 'Rv2030c' 'hsaG' 'Rv1895'
 'sthA' 'atpD' 'PPE4' 'trxB1' 'Rv1957' 'Rv1686c' 'Rv3524' 'Rv3633'
 'Rv3603c' 'Rv0042c' 'prpC' 'Rv1592c' 'Rv0784' 'Rv2516c' 'Rv3249c' 'pfkB'
 'Rv0047c' 'arsA' 'esxV' 'Rv2466c' 'eccD3' 'fadE9' 'Rv3903c' 'Rv0572c'
 'Rv3767c' 'Rv2377c' 'PPE19' 'Rv0079' 'papA3' 'Rv3183' 'Rv3840' 'drrB'
 'Rv0383c' 'yjcE' 'esxH' 'Rv1041c' 'panB' 'Rv3675' 'efpA' 'PE34' 'papA1'
 'esxO' 'Rv2621c' 'prpD' 'ligB' 'clpB' 'ideR' 'Rv2190c' 'Rv1149' 'Rv2074'
 'acrA1' 'Rv0569' 'sigH' 'drrA' 'yrbE3A' 'Rv3354' 'alkB' 'Rv3502c'
 'Rv2620c' 'narX' 'Rv3839' 'ahpC' 'PPE36' 'Rv1767' 'Rv3180c' 'fadE26'
 'rubB' 'Rv0263c' 'PE20' 'Rv0990c' 'Rv2619c' 'PPE50' 'Rv0843' 'Rv2012'
 'nrdZ' 'pks4']"
comp_genes,0,[]
both_genes,0,['esxK' 'PE13' 'esxP' 'esxL' 'esxJ' 'PPE18' 'esxW']
reg_genes2,0,
comp_genes2,7,
both_genes2,0,
