,Value,list
TF,sigD,
reg_genes,6,['Rv3413c' 'pks6' 'iniB' 'Rv0987' 'Rv3902c' 'PPE3']
comp_genes,55,"['PE_PGRS18' 'PE_PGRS47' 'PE_PGRS23' 'PE_PGRS21' 'PE_PGRS61' 'PE_PGRS33'
 'PE_PGRS24' 'PE_PGRS5' 'PE_PGRS28' 'PE_PGRS34' 'PPE38' 'PE_PGRS43'
 'PE_PGRS56' 'PE_PGRS14' 'PE_PGRS9' 'PE_PGRS22' 'PE_PGRS53' 'vapB26'
 'PE_PGRS57' 'PE_PGRS19' 'PE_PGRS30' 'vapB1' 'PE_PGRS7' 'wag22'
 'PE_PGRS50' 'PE_PGRS42' 'PE_PGRS27' 'Rv0150c' 'PE_PGRS6' 'PE_PGRS25'
 'PE_PGRS29' 'PE_PGRS13' 'PE_PGRS54' 'PE_PGRS10' 'PE_PGRS55' 'PE_PGRS52'
 'fabD2' 'PE_PGRS2' 'vapB17' 'PE_PGRS46' 'PE_PGRS26' 'Rv2365c' 'PE_PGRS15'
 'PE_PGRS48' 'PE_PGRS4' 'Rv0278c' 'PE_PGRS45' 'PE_PGRS38' 'murG' 'Rv2541'
 'PE_PGRS49' 'PE_PGRS37' 'Rv2654c' 'PE_PGRS58' 'Rv0603']"
both_genes,0,[]
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
