,-0.05868066177281829,-0.04401049632961372,-0.029340330886409152,-0.014670165443204583,-1.3877787807814457e-17,0.014670165443204555,0.029340330886409124,0.044010496329613694,0.05868066177281826,0.07335082721602283,0.0880209926592274,0.10269115810243197,0.11736132354563654,0.1320314889888411,0.1467016544320457,0.16137181987525023,0.17604198531845483,0.19071215076165937,0.20538231620486397,0.22005248164806857
thresh,-0.051345579051216006,0.051345579051216006,2,,,,,,,,,,,,,,,,,
unreg,1,6,61,904,2292,480,76,26,12,12,10,5,5,4,2,0,0,4,0,0
sigD,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,['Rv0150c'],[],[],[],[],[],[],[],"['vapB1' 'PE_PGRS30' 'PE_PGRS18' 'Rv2365c' 'PE_PGRS48' 'PPE38' 'murG'
 'vapB26' 'PE_PGRS47' 'PE_PGRS46' 'PE_PGRS42' 'Rv2654c']","['Rv0603' 'PE_PGRS33' 'fabD2' 'PE_PGRS23' 'PE_PGRS38' 'PE_PGRS15' 'wag22'
 'PE_PGRS61' 'PE_PGRS45' 'PE_PGRS34' 'PE_PGRS37' 'PE_PGRS14']","['PE_PGRS5' 'PE_PGRS26' 'PE_PGRS25' 'PE_PGRS29' 'PE_PGRS58' 'PE_PGRS19'
 'PE_PGRS6' 'PE_PGRS28' 'PE_PGRS24' 'Rv0278c']",['PE_PGRS7' 'PE_PGRS2' 'PE_PGRS55' 'PE_PGRS43' 'PE_PGRS27'],['PE_PGRS53' 'PE_PGRS9' 'PE_PGRS10' 'PE_PGRS21' 'vapB17'],['PE_PGRS52' 'PE_PGRS22' 'PE_PGRS4' 'PE_PGRS50'],['Rv2541' 'PE_PGRS49'],[],[],['PE_PGRS13' 'PE_PGRS54' 'PE_PGRS57' 'PE_PGRS56'],[],[]
sigD_genes,[],[],[],['Rv3902c'],['Rv0987' 'PPE3' 'pks6'],['iniB'],['Rv3413c'],[],[],[],[],[],[],[],[],[],[],[],[],[]
