,A,sigD
SRX3686766,-0.9244553710000001,-0.0322878125
SRX3686768,-1.013097145,-0.0039014531
SRX3686764,1.7099623212,-0.035465229800000005
SRX3686767,0.032387876,-0.1080742623
SRX3686788,0.3923769582,0.1665840365
SRX3686791,1.5819483524,-0.0210532806
SRX3686792,-0.5410725429000001,-0.0382233736
SRX3686793,0.5115029833,-0.31390034840000003
SRX3686790,-0.7784118951,0.0937277962
SRX3686789,-1.1663438560000001,0.1128651699
SRX3686829,2.353473257,-0.3392838627
SRX3686830,3.9759829944,-0.3960186564
SRX3686828,3.0732131948,-0.39259513760000003
SRX3686819,1.6783577427,-0.4075760704
SRX3686818,2.5660476763,-0.5008324241000001
SRX3686817,3.107389696,-0.3694067129
SRX3686822,-1.2483486623,-0.46310894210000003
SRX3686820,0.6418499214000001,-0.6061727635
SRX3686821,-1.1289235243,-0.6563777904
SRX3686743,4.0183906206,-0.1837109963
SRX3686744,3.2195250065,-0.0999965954
SRX3686745,4.1860395812,-0.1171879246
SRX3686772,-2.7245352528,-0.3402366278
SRX3686770,-2.2741978199,-0.20228397050000002
SRX3686771,-2.6696805313,-0.3043865644
SRX3686794,-2.2314411361,-0.31938942130000003
SRX3686796,-0.0871086152,-0.4657726822
SRX3686751,3.194650682,-0.2501032596
SRX3686749,1.562092372,-0.3324901669
SRX3686750,3.2916499531,-0.186425738
SRX3686778,3.0125595427,-0.4069616089
SRX3686777,1.7144179119,-0.3094791381
SRX3686776,-0.3356617508,-0.3411096172
SRX3686800,0.47582138970000004,-0.6048172472000001
SRX3686801,2.0784677966,-0.5983195386
SRX3686755,4.4132104261,-0.22963551910000002
SRX3686757,2.1803701026,-0.7535241453
SRX3686756,2.5641436755,-0.4624269957
SRX3686784,1.5541942881000002,-0.4689150822
SRX3686783,1.1169414296,-0.5418105024000001
SRX3686782,2.5811176325,-0.208318515
SRX3686809,2.0796172355,-0.8086828991
SRX3686807,2.9620968552,-0.7208130749
SRX3686808,1.8593328789,-0.7962775656000001
SRX3686787,3.0123149793,0.3235914332
SRX3686786,3.3537381667,0.41773036820000004
SRX3686785,1.7852343196,0.2992027007
SRX3686799,0.8641057411,-0.28837212830000003
SRX3686797,-0.282240053,-0.29538668020000003
SRX3686798,0.0507095169,-0.1968400521
SRX3686746,4.1454851292,0.6489805074
SRX3686748,4.00332467,0.6062571546000001
SRX3686747,3.5267346488999998,0.6117439395000001
SRX3686773,-3.4937028941,0.5329903180000001
SRX3686774,-3.1330892074,0.5110384024
SRX3686775,-1.8200307414,0.3586746635
SRX3686754,3.0350278192,0.9218005504000001
SRX3686753,3.6196661554,1.0465579667
SRX3686752,3.8276376496999998,0.8811948740000001
SRX3686780,2.5952778793,0.6852058252000001
SRX3686779,-0.2521744415,0.6026023004000001
SRX3686781,2.1804889033,0.7631796061
SRX3686806,1.1035063303000001,0.0522667683
SRX3686805,0.5789549745,0.0081778512
SRX3686758,4.2471272979,0.5645734034000001
SRX3686760,3.2563994754,0.4047697939
SRX3686759,3.9294727176,0.3391501978
SRX3686810,0.2007517324,-0.5801427064
SRX3686811,1.278070713,-0.22045408390000001
SRX3686812,0.9566361392,-0.38853795420000004
SRX3686813,1.4609611675,-0.1270018047
SRX3686815,0.0479818485,-0.08438122220000001
SRX3686816,0.19110541450000001,-0.1605993033
SRX3686823,2.0906486416,-0.1425719873
SRX3686824,3.1656953131,-0.2254301666
SRX3686825,1.5694273936,0.4090777159
SRX3686827,1.4827584677,0.49897454550000003
SRX3686826,1.5575705332,0.34997055380000003
SRX7054191,-0.0028471633000000003,0.0016646138
SRX7054189,0.3661661498,0.11650375830000001
SRX7054190,-0.3633189865,-0.1181683721
SRX7054193,-4.3693623775,0.5749724608
SRX7054192,-5.3537742784,0.8721209807
SRX7054194,-7.4214788874,0.8215183953
SRX4506284,3.2482519279,-1.1329708651
SRX4506280,2.5365134578,-1.1608954931
SRX4506282,0.6666226799,-0.9777292645000001
SRX4506278,0.7353003392,-1.0637337226
SRX4506274,0.8881926196000001,-0.0056906311
SRX4506273,-0.29561579320000003,0.0310955225
SRX4506271,0.2572774875,-0.0007706536
SRX4506276,-0.8498543139,-0.0246342378
SRX4506283,-0.8150008038000001,-0.7896998698000001
SRX4506279,-0.6874544446,-0.6256532722
SRX4506285,-0.20635910910000002,-0.8670994402000001
SRX4506281,0.4412673787,-0.7207199305
SRX4506275,-0.6638271489,-0.20809680690000001
SRX4506277,-1.3228957771,-0.0567234555
SRX4506272,-2.0688260327,-0.268677479
SRX2923393,-0.7577662466,0.0246600847
SRX2923394,0.7577662466,-0.0246600847
SRX2923398,-0.4729617935,-1.4487585718
SRX2923397,1.7432465049,-0.7425708344
SRX2923395,8.916123557,-3.0911733346
SRX2923396,9.5353414154,-3.178351292
SRX2923400,7.0709221363,-0.3030144986
SRX2923401,7.4094232831,-0.741047152
SRX2923403,9.8835488094,-1.2697918678
SRX2923402,11.1893696415,-1.5984647504
SRX6853288,-0.4086301585,0.24437110450000002
SRX6853287,1.3063836814,0.0328431271
SRX6853286,1.5499723918,-0.0199000236
SRX6853284,0.43294777900000003,-0.043951459500000005
SRX6853285,-1.2408071443,0.0978145577
SRX6853283,0.8078593653,-0.0538630983
SRX4319040,0.0290759423,0.0419972642
SRX4319041,-1.6180232052,-0.010415622000000001
SRX4319039,1.5889472629,-0.0315816422
SRX4314613,0.36978940590000003,-0.9767492078000001
SRX4314614,3.9860839467,-0.8969169666000001
SRX4314615,-0.20390886360000002,-0.9315110229
SRX4314632,1.3220725994,-0.7059788251
SRX4314631,2.4353426137,-0.38160014600000003
SRX4314633,2.6480287322000002,-0.5755051668
SRX4314622,0.9895802392,-0.1868232728
SRX4314623,1.5920093533,-0.4801781336
SRX4314624,2.490365365,-0.5982057665
SRX4314611,0.101100691,-0.1022680854
SRX4314610,-0.2766564133,0.0932302915
SRX4314612,0.1755557223,0.009037794
SRX4314630,-3.2748281206,0.1470836768
SRX4314628,-0.0842425381,0.1259714711
SRX4314629,-1.6239384546,0.199568021
SRX4314619,-1.2041565923,-0.3436444189
SRX4314621,-2.2460893839000002,-0.3275192556
SRX4314620,-0.2288105872,-0.3450794512
SRX7119390,-1.4460265152,-0.1098097455
SRX7119388,1.4460265152,0.1098097455
SRX7119386,-6.4160058265,0.8248168775
SRX7119385,-2.3860385461,0.693758088
SRX7119387,-3.2248835847,0.7284518753
SRX3746749,2.0233237819,1.6144893429
SRX3746748,3.471830346,1.2387827073
SRX3746751,1.4439516021,0.3115895603
SRX3746750,0.2522206054,0.2128371108
SRX3746752,-0.2390781821,0.1972588583
SRX3746753,0.5554733677,-0.3086834785
SRX3746755,-1.5493411114,-0.4478736159
SRX3746754,1.5493411114,0.4478736159
SRX2345943,1.2598557352,0.0229907324
SRX2345942,-1.2598557352,-0.0229907324
SRX2345941,7.8005705817,-0.030879632
SRX2345940,4.6734216825,0.1291294305
SRX3992217,-0.8273859005,-0.21113561600000003
SRX3992216,-0.9495541572,-0.2931747963
SRX3992214,1.4318421169,-2.4706877694
SRX3992215,0.7611082622,-2.203404204
SRX3992221,1.2828158872,-2.2401968972
SRX3992220,2.9599860077,-2.4914811314
SRX3992219,-1.8296771762000001,-1.5346694684000002
SRX3992218,1.7203565848,-1.9283742017
SRX3992201,0.8957933098,-1.9339089315
SRX3992200,-0.1021303763,-1.7770831469
SRX3992198,-0.6623106787,-0.2923279388
SRX3992199,-1.8232681095,-0.2718158872
SRX3992202,-0.2616438086,-0.1578879843
SRX3992203,-0.1311393142,-0.0250972663
SRX3992204,0.9156462928,-3.0055006353
SRX3992205,0.2708453803,-2.0899230039
SRX3992206,0.17007667410000002,-3.0357032193
SRX3992207,1.2946716027,-2.3176792277000002
SRX3992209,1.2336529419,-1.828579801
SRX3992208,-1.1100274574,-1.7999224950000001
SRX3992212,0.8913829451,-1.9705643405000002
SRX3992213,0.7002990969,-1.7526512063
SRX3992210,0.378292126,-0.041178312200000004
SRX3992211,-0.378292126,0.041178312200000004
SRX357084,1.8584306931999999,-0.0134690646
SRX357083,-1.8584306931999999,0.0134690646
SRX4647134,-0.7768300924,-0.3966981942
SRX4647137,0.9084488414,-0.10358678610000001
SRX4647136,-0.5347307210000001,-0.3255667633
SRX4647135,0.0065791452,-0.34892450480000003
SRX4647139,1.1727912791,-0.0605149322
SRX4647141,-1.3140010739,0.0056097083
SRX4647140,-0.3368302744,0.07528014250000001
SRX4647138,0.47804006920000003,-0.0203749187
SRX4647128,5.0127375557,0.5357966972
SRX4647127,3.3964978169,0.570423293
SRX4647129,4.4474705415999995,0.5115472235
SRX4647126,2.6409590183000002,0.505280433
SRX4647133,2.3643335129,-0.16917218850000001
SRX4647132,3.4589103726,-0.2620178154
SRX4647131,3.6163053871,-0.3268641047
SRX4647130,3.8136492137999998,-0.20641851100000003
SRX6923924,-3.2741261583,0.3665916919
SRX6923925,-2.9670140724,0.3995701116
SRX6923923,-5.3927163047,1.9767474238
SRX6923922,-4.9873103558,1.9910499748000001
SRX6923939,0.32822665430000003,-0.002577953
SRX6923938,-0.32822665430000003,0.002577953
SRX6923936,-1.6970293687,1.497528441
SRX6923937,-1.5377240062,1.5473333814
SRX5509428,1.0577656736,0.0061170282
SRX5509427,-1.0577656736,-0.0061170282
SRX1882560,4.3368429726,0.0783909418
SRX1882558,4.8028431867,0.0299939019
SRX1882559,4.8802682423,0.0920080962
SRX1882561,6.3746345609,2.3419361531
SRX1882563,4.8835559089,2.4413067649
SRX1882562,6.6285200339,2.2363527024
SRX1882565,6.3913030619,2.6395284606000002
SRX1882566,4.5749474878,2.6785050483
SRX1882564,8.3396719133,2.6329479452999998
SRX1882568,6.2436833514,2.3704119687
SRX1882567,5.8367674068,2.3909491842
SRX1882569,3.5084762007,2.3926060552
SRX1882555,-0.3403341219,-0.0593820992
SRX1882557,0.19026153510000002,0.0515512879
SRX1882556,0.15007258680000002,0.0078308113
SRX5088615,3.1551115235,-0.1564637624
SRX5088616,-7.2757493999000005,-0.29831307890000003
SRX6845150,7.3473780356,2.8582623012
SRX6845149,8.0178575818,2.4083241179
SRX6845151,3.1913747948,-0.310117127
SRX6845152,0.6195919785,0.2010464063
SRX6845145,9.4087628379,2.6223573991
SRX6845146,13.1034091845,2.1218490194
SRX6845142,3.8500119484,0.2376273016
SRX6845141,3.6785462371,0.0549896652
SRX6845144,0.4741958926,0.038271357400000004
SRX6845143,-0.4741958926,-0.038271357400000004
SRX5605051,-0.44585949,0.0062297717
SRX5605045,0.44585949,-0.0062297717
SRX5605060,2.6229753243,0.5431821917
SRX5605059,-3.0472793703,0.24636069300000002
SRX2382017,-0.7821766937,0.008943381200000001
SRX2382024,0.7821766937,-0.008943381200000001
SRX2382027,-4.1786247281,-0.0265314161
SRX2382029,-2.1400560642,-0.1345178048
SRX2382217,-3.5663971559,0.0399116817
SRX2382023,-2.8653935722,-0.025550367900000003
SRX2382218,2.4010775731000003,0.0662981666
SRX2382219,2.347598975,0.2314514637
SRX2382213,-1.3304757837,-0.07604593970000001
SRX2382019,1.1257465336,-0.09396856590000001
SRX2382214,4.2315382276,0.32197576840000003
SRX2382215,3.09642457,0.4750352633
SRX2382020,-0.0146203196,0.1986305467
SRX2382216,2.7038248491,0.3915673908
SRX2382022,-1.5210340215,-0.0566511077
SRX2382033,0.1192989447,0.07241274980000001
SRX2382220,4.0698268067,-0.5556954298
SRX2382222,2.6222104487999998,-0.3763435382
SRX2382030,10.9029290562,-0.0007985317
SRX4506350,0.5160560729,0.1831445692
SRX4506352,-0.2450293467,0.0570084353
SRX4506354,-0.9044281682,0.1222009428
SRX4506348,-0.1313626485,0.037954214800000004
SRX4506346,0.4055784791,-0.0034947985
SRX4506344,-0.27421583050000004,-0.034459416300000004
SRX4506351,-0.035322064,0.4068534374
SRX4506353,-0.8927153498,0.2858834893
SRX4506355,0.5057582492,0.34785892630000004
SRX4506349,-0.40148055930000004,0.6210628117
SRX4506345,-0.9733365607000001,0.6226581170000001
SRX4506347,2.8054115471000003,0.57675199
SRX4514122,-0.8765328392,-0.6442866846
SRX4514124,0.2180682823,0.5706792323000001
SRX4514126,0.3126949017,0.6003685144
SRX4514120,0.6995396718,-0.5190127749
SRX4514112,-0.43175123790000003,-0.566955697
SRX4514116,-1.7516195452,0.5503458457
SRX4514118,-0.0696077398,0.6693922016
SRX4514114,2.252978523,-0.6527823504
SRX4514121,-0.5141790875,-0.5987372465
SRX4514125,0.7397168024,0.5993138306
SRX4514127,-0.8541448138000001,0.6275120101
SRX4514123,0.32776019500000003,-0.5107807524
SRX4514115,0.421472834,-0.5992405323000001
SRX4514117,-0.1406583072,0.5877384523
SRX4514113,0.7708790282,-0.5954453255000001
SRX4514119,-0.8497650547000001,0.645053777
SRX958308,-1.543645781,-0.07974580440000001
SRX958306,-0.27124576510000004,0.4422177376
SRX958307,-2.9801214544,0.2521440776
SRX958313,-1.2263902234,0.0330458441
SRX958312,0.7479381610000001,-0.19824445400000001
SRX958314,0.47845206240000004,0.16519860990000002
SRX958320,4.5174297247,-0.38925834460000003
SRX958318,4.4817024379,-0.3148315994
SRX958319,2.5616291188,-0.7134634586
SRX958323,6.6893380787000005,-0.8427269150000001
SRX958322,7.458786742,-0.7167097155000001
SRX958321,5.767535742,-1.1571284045999999
SRX958310,0.7522724953000001,0.9118596856000001
SRX958309,-0.0949015255,0.8056226449
SRX958311,1.8309090860000001,0.6313692218
SRX958317,4.4575253023,1.5830497346999999
SRX958315,1.2578237441,1.257839018
SRX958316,1.5505706595,1.3476159915
SRX958324,-6.3541632401,1.8751494088
SRX958325,-6.989823193,1.7405081231000001
SRX4498322,-0.1458805859,0.12118905020000001
SRX4498318,0.6822745059,0.07561904430000001
SRX4498320,0.5679081380000001,0.0932182943
SRX4498316,-1.8041535297,-0.0463099537
SRX4498312,-0.8926487023,0.012047911500000001
SRX4498308,-0.0291960794,0.053117858100000005
SRX4498314,1.3449026692000001,-0.0016809598000000002
SRX4498310,-0.4230578874,-0.0634848098
SRX4498319,7.8851552555,-1.006852402
SRX4498317,7.407789834,-0.7923130979
