,-0.06332070333765476,-0.053579056670323255,-0.04383741000299175,-0.03409576333566025,-0.02435411666832875,-0.014612470000997246,-0.004870823333665744,0.004870823333665758,0.01461247000099726,0.024354116668328762,0.034095763335660265,0.04383741000299177,0.05357905667032327,0.06332070333765479,0.07306235000498627,0.08280399667231776,0.09254564333964928,0.1022872900069808,0.11202893667431228,0.12177058334164377
thresh,-0.0681915266713205,0.0681915266713205,1,,,,,,,,,,,,,,,,,
unreg,0,1,16,42,199,650,1219,1005,444,175,68,34,31,12,7,1,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Rv0181c' 'engA' 'Rv1711' 'vapB20' 'Rv0273c' 'Rv2551c' 'fadB3'],['aroE'],['Rv1716'],['Rv1714'],[],[]
