,-0.1245667883681691,-0.09965343069453528,-0.07474007302090145,-0.049826715347267625,-0.0249133576736338,2.7755575615628914e-17,0.024913357673633854,0.04982671534726767,0.0747400730209015,0.09965343069453535,0.12456678836816916,0.14948014604180299,0.17439350371543683,0.19930686138907067,0.22422021906270445,0.2491335767363383,0.27404693440997213,0.29896029208360597,0.3238736497572398,0.3487870074308736
thresh,-0.137023467204986,0.137023467204986,2,,,,,,,,,,,,,,,,,
unreg,0,1,1,13,456,2997,406,21,3,0,0,0,0,0,0,0,0,0,0,0
virS,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
virS_genes,[],[],[],[],[],[],['Rv3742c'],[],[],[],[],[],['fadD13' 'adhD'],['tgs4'],['Rv3087'],[],['Rv3083'],['lipR'],['Rv3085'],[]
