,A,virS
ERX3772321,-0.1538005321,-0.4213857455
ERX3772322,0.6002856257,0.0640184001
ERX3772323,-0.4464850936,0.3573673453
SRX4314262,-0.1100482348,-0.0710525986
SRX4314263,0.1849285222,-0.4399254596
SRX4314261,-0.07488028740000001,0.5109780582
SRX4314265,-8.5825692084,0.08038362
SRX4314266,-8.4243128221,0.5740595352
SRX4314264,-8.5610860077,-0.9117202823
SRX4314268,-9.8696811973,-0.8214578711
SRX4314267,-9.1072839443,-1.1051242694
SRX4314271,-8.8336866849,-1.8600785589000002
SRX4314272,-9.045662552,-3.1459866731
SRX4314275,-10.2367199365,-2.0172280235
SRX4314274,-9.6273768893,-2.9626352059
SRX4314273,-8.4373087916,-2.8961017494
SRX4314278,-10.0087677911,-1.9321895612
SRX4314276,-9.8202109582,-2.433064297
SRX4314281,-10.3831173187,-1.7916015581
SRX4314279,-9.5886527507,-2.5074852682
SRX4314280,-10.2740751719,-1.349789108
SRX4314284,-9.3758658434,-1.4548512445
SRX4314283,-7.596488862,-1.7403083876
SRX4314282,-8.9479550789,-1.8432886913000002
SRX4314293,-11.2942726324,-1.8722348079
SRX4314292,-8.2410673993,-1.2629918454
SRX4314291,-8.5587218875,-1.8193579519
SRX4314297,-8.823544343,-1.0922224307
SRX4314298,-7.7662621854000005,-1.3754682438999999
SRX4314299,-9.6487421042,-0.9445440791
SRX4314302,-8.4125570018,-0.7910370101
SRX4314301,-6.3611880023000005,-1.1449285739
SRX4314300,-8.3895934655,-0.8592334644
SRX4314305,-6.6862342304,-0.2903107531
SRX4314304,-3.9705044317000002,-0.6422352699
SRX4314303,-5.7146799234,-0.6160876465
SRX4314309,-5.3849354555,-1.0496987571
SRX4314306,-5.5172873969000005,-0.162650616
SRX4314308,-7.6996923263,-1.4369288519
SRX4314307,-4.1644981336,-1.0493745497
SRX4314311,-5.9435105230000005,-0.5196828276000001
SRX4314317,-3.0022630537,0.40254363670000004
SRX4314316,-1.3445595704,0.47803485300000004
SRX4314318,0.1753787909,0.45324760690000004
SRX4314319,0.2582981822,0.2795032786
SRX4314331,-5.4334287605,0.7206883908
SRX4314330,-4.9201040561,0.9395757714
SRX4314332,-5.5498801601,1.1395891565
SRX4314335,-8.8813034075,0.2180625009
SRX4314334,-8.8398987817,-0.0427958114
SRX4314333,-8.7856582309,0.15778575820000001
SRX4314338,-10.2572095587,-0.2107992706
SRX4314336,-10.2376774899,-0.5391941912
SRX4314337,-10.4066562552,-0.5582145451
SRX4314339,-11.0751826297,-0.7009940450000001
SRX4314340,-10.972942988,-1.1817341793
SRX4314341,-10.9858215953,-0.9985203922
SRX3686762,-1.0366968361,2.2086089044
SRX3686763,-0.6021943041000001,1.8192253716
SRX3686761,-0.6110446182,2.6195352776
SRX3686765,-0.8318066105,0.3031207321
SRX3686769,-0.2045692911,0.2033862922
SRX3686766,-0.7494391342000001,0.010931280100000001
SRX3686768,-0.8197212881,0.3147458718
SRX3686764,-0.7334519231000001,0.4266983831
SRX3686767,0.11156684280000001,0.0604921962
SRX3686788,-0.1851794836,-0.42384189110000003
SRX3686791,-0.082193025,0.356185691
SRX3686792,0.1473241617,-0.4655104802
SRX3686793,-0.257883544,0.9585082053
SRX3686790,0.2595497073,-0.0171151454
SRX3686789,0.1183821837,-0.4082263796
SRX3686829,-0.9971329707000001,0.7850479703000001
SRX3686830,-0.9703918147,0.4510123365
SRX3686828,-0.6492801848,0.8093386118
SRX3686819,-1.7102007789,0.44029183600000005
SRX3686818,-1.6202455631000001,0.44836831720000003
SRX3686817,-1.1943356281,0.455694339
SRX3686822,-3.0743934891,2.0125950428
SRX3686820,-3.0621285958,1.7730999987
SRX3686821,-3.1653535778,1.8752114203999999
SRX3686743,-0.849630391,3.0003796823
SRX3686744,-1.1712467015,2.9162376654
SRX3686745,-1.1562804442,2.9277910292
SRX3686772,-0.4996891825,2.2955029348
SRX3686770,-0.778584665,3.2142928269
SRX3686771,-0.3684857053,2.8532626298
SRX3686794,1.2974953549000001,0.38022659140000004
SRX3686796,1.4186372372,0.224224736
SRX3686751,-1.0375181987,2.6447729881
SRX3686749,-1.437086462,2.0243552024
SRX3686750,-1.4415267113999999,2.418586136
SRX3686778,-0.2818379106,1.850895409
SRX3686777,-0.38819637560000003,2.3146288806
SRX3686776,-0.3626750687,2.6994655361
SRX3686800,1.1920852148,0.5316447065000001
SRX3686801,1.3583496705,0.5398877713
SRX3686755,2.2591625135,2.7953164611
SRX3686757,1.6595843542000002,2.8080261071
SRX3686756,0.29537318360000003,2.7018132505
SRX3686784,-0.1721028498,1.7518254128000001
SRX3686783,-0.3802489706,2.5128700701
SRX3686782,0.2146985612,3.2329544186
SRX3686809,0.7878082321000001,-0.20899373100000002
SRX3686807,0.5281265701,0.3393428946
SRX3686808,0.8651769185,0.0183724772
SRX3686787,-1.2718477361,3.2401113414
SRX3686786,-1.2816104272,3.2430845419
SRX3686785,-1.4170540219,3.2118000882
SRX3686799,1.959400486,0.7898184968
SRX3686797,1.4536885341,1.1093635548
SRX3686798,1.5092219804,1.0374207123
SRX3686746,-0.6404939437,3.2126639502
SRX3686748,-1.0560759397,2.9175536386000003
SRX3686747,-1.0332098536,3.1389597126
SRX3686773,-1.2319580069,2.3583275384
SRX3686774,-1.1635057097,2.2774279735
SRX3686775,-0.13275322950000001,2.0033331141
SRX3686754,-1.1514540337999999,3.0893905911
SRX3686753,-0.608653648,3.0247248947
SRX3686752,-1.0563639494000001,3.054943683
SRX3686780,-0.3541518296,2.3980190969
SRX3686779,-0.3976607612,2.3083213907999998
SRX3686781,-0.35389587310000004,2.1893837342
SRX3686806,1.5932392667,1.2584300195
SRX3686805,1.3495358512,1.3417176992
SRX3686758,-1.1211997372,3.5966022778999998
SRX3686760,-1.0943525915,3.3149419954
SRX3686759,-0.6274200928,3.2295762235
SRX3686810,-0.0152250104,1.8988465902
SRX3686811,0.5757519706,2.1521765086
SRX3686812,-0.14353801300000002,1.8439868232
SRX3686813,-1.1793406749,1.7898292143
SRX3686815,-1.9522424693,2.5999654925
SRX3686816,-1.3391881098,2.3212560563
SRX3686823,-1.1804331797,1.2301117151
SRX3686824,-0.9390007786000001,1.0449944534
SRX3686825,-2.5946958249,2.898084781
SRX3686827,-2.533462413,2.8777953965
SRX3686826,-2.898520805,2.8714777488000003
SRX7054191,0.4225282325,-0.39836456810000004
SRX7054189,0.2165415788,0.0699989767
SRX7054190,-0.6390698114000001,0.3283655914
SRX7054193,-4.4289246976,0.5694057724
SRX7054192,-5.715966474,0.6066489018
SRX7054194,-5.8962741698,0.3428409825
SRX4506284,-2.4042927577,-0.1317013236
SRX4506280,-2.4310596774,-0.2508720171
SRX4506282,-2.3791356055,0.4640087042
SRX4506278,-2.1648470465,0.4867016785
SRX4506274,-0.0334607684,-0.1964036389
SRX4506273,0.2631625568,0.0696321424
SRX4506271,-0.33301654750000004,-0.2006990615
SRX4506276,0.1033147591,0.327470558
SRX4506283,-0.4698893288,-0.1212473134
SRX4506279,-0.7961219214,0.0721390752
SRX4506285,-1.0142702019,-0.49103669710000003
SRX4506281,-0.3613475423,-0.0843485253
SRX4506275,0.08352247530000001,0.0465374801
SRX4506277,0.6472403057,-0.2424815347
SRX4506272,0.21514959290000002,-0.3347731662
SRX2923393,-0.0415380141,-0.0813370999
SRX2923394,0.0415380141,0.0813370999
SRX2923398,-1.4364881341,1.7217573432000002
SRX2923397,1.6754999356,2.2171199036
SRX2923395,0.3769472465,1.0564046398
SRX2923396,0.4386092279,1.3752383123
SRX2923400,3.9303309959,-0.5494299446
SRX2923401,6.7110757746,-0.1265862287
SRX2923403,3.7141339442,0.3418671809
SRX2923402,5.4369996166,0.5333718809
SRX6853288,-1.2499297084,-0.20269544820000002
SRX6853287,-0.6252357233,0.0802009387
SRX6853286,-1.165665264,-0.2429549308
SRX6853284,0.061653889600000004,-0.0054998699
SRX6853285,-0.42504207460000004,-0.2559481564
SRX6853283,0.36338818500000003,0.2614480263
SRX4319040,0.1386070983,0.116294223
SRX4319041,-0.3182499213,0.0310006486
SRX4319039,0.179642823,-0.14729487160000002
SRX4314613,-0.0791149739,-1.5355690766999999
SRX4314614,-2.1404424279,-0.9787602627
SRX4314615,-0.0645419504,-0.9442393594
SRX4314632,-1.1168391278,0.1534883926
SRX4314631,2.357010714,0.4284114459
SRX4314633,-0.23351663660000002,-0.0236641094
SRX4314622,-1.7116448706,-0.1096468818
SRX4314623,-1.711339592,-0.3429709764
SRX4314624,-0.7113310780000001,-0.1977452797
SRX4314611,-0.0019910142000000002,-0.13859758930000002
SRX4314610,-0.1469241414,0.0604625026
SRX4314612,0.14891515560000002,0.07813508670000001
SRX4314630,-3.4393485912,0.03034233
SRX4314628,-2.9335857602,-0.1479004791
SRX4314629,-2.9829497356,0.11570607520000001
SRX4314619,-4.5289088318,-0.23566926230000002
SRX4314621,-4.9611513164000005,-0.514029284
SRX4314620,-4.597916887,-0.3274956643
SRX7119390,0.34433159950000003,-0.0198171334
SRX7119388,-0.34433159950000003,0.0198171334
SRX7119386,-6.2381923025,-0.47128977800000005
SRX7119385,-8.7530205275,-0.3329708089
SRX7119387,-6.4724423866,-0.6640696187
SRX3746749,-2.8752481469,0.0054345434
SRX3746748,-3.0303652095,-0.2295200523
SRX3746751,-2.7297681507,-0.9496311213
SRX3746750,-1.8710912522,-0.4516373232
SRX3746752,-0.113703864,-0.39377762
SRX3746753,-0.7368665071,-1.0845945173
SRX3746755,-1.0735115868,-0.2065891005
SRX3746754,1.0735115868,0.2065891005
SRX2345943,0.3247933166,-0.18464772470000002
SRX2345942,-0.3247933166,0.18464772470000002
SRX2345941,-1.0543539718,1.3091822307
SRX2345940,-0.8337688335000001,1.2768831165
SRX3992217,-2.226987419,-0.3535667203
SRX3992216,-2.4093173142,0.0151266505
SRX3992214,-8.9078586453,-3.3896190181
SRX3992215,-8.2901287899,-2.7242276671
SRX3992221,-6.881327336,-2.5609857661
SRX3992220,-8.1954815619,-3.4028939129
SRX3992219,-17.6459372834,-2.9185444517
SRX3992218,-17.4292014685,-2.8768728774000003
SRX3992201,-17.6388718783,-2.8978096764
SRX3992200,-17.4964189108,-2.913881851
SRX3992198,-2.2148750015,-0.35630718110000004
SRX3992199,-2.6984140137,-0.11194700290000001
SRX3992202,-0.0421812931,0.251843007
SRX3992203,-0.1288249255,-0.09707707580000001
SRX3992204,-8.6035194612,-2.8290519199
SRX3992205,-9.7361671458,-2.4604093924
SRX3992206,-8.5334279818,-3.0349829544
SRX3992207,-8.6774268808,-2.283176667
SRX3992209,-17.1603799294,-2.8625825591
SRX3992208,-17.4552833902,-2.749767176
SRX3992212,-16.9301493239,-3.0094043911
SRX3992213,-17.0877432863,-2.847955228
SRX3992210,-0.2506937831,0.12732259340000002
SRX3992211,0.2506937831,-0.12732259340000002
SRX357084,-0.0630045808,-0.044754634
SRX357083,0.0630045808,0.044754634
SRX4647134,0.5427093575,-0.2252070948
SRX4647137,0.45171255050000003,-0.0331836254
SRX4647136,0.5618273868,-0.4278474598
SRX4647135,0.4471581918,-0.3969006677
SRX4647139,0.1963395883,0.0365860761
SRX4647141,-0.210422399,-0.027802767200000002
SRX4647140,-0.22535675460000001,-0.0296667028
SRX4647138,0.2394395654,0.0208833939
SRX4647128,-1.7717160987,0.3314751013
SRX4647127,-1.5396973429,0.24978636580000002
SRX4647129,-1.8376076535,0.2477967227
SRX4647126,-1.4871579863,0.2149196885
SRX4647133,-1.7025096113,0.0256551714
SRX4647132,-1.6658727575,0.2521304277
SRX4647131,-1.3985802939,0.3302773076
SRX4647130,-0.9671646023,0.4253937645
SRX6923924,-0.6050412506,-0.1109501202
SRX6923925,-1.8306329747999999,0.7092961375
SRX6923923,-2.5798013848,0.9690041712
SRX6923922,-1.0480811359,0.589184567
SRX6923939,-0.0401455022,-0.0680674725
SRX6923938,0.0401455022,0.0680674725
SRX6923936,-1.0173659841,-0.4844691185
SRX6923937,-0.9844014940000001,-0.30981546860000003
SRX5509428,0.0540980682,-0.0443798316
SRX5509427,-0.0540980682,0.0443798316
SRX1882560,-4.9213193073,-1.1719301121
SRX1882558,-5.212379305,-0.9401793969000001
SRX1882559,-5.1794804758,-1.0427382904
SRX1882561,-4.2487507493,-1.1342124534
SRX1882563,-4.2862187809,-1.4883182692
SRX1882562,-4.3012250838,-1.4099493492000001
SRX1882565,-1.3246443594000001,-1.0225522878
SRX1882566,-1.6368981748,-1.4120086216
SRX1882564,-1.3315008604,-1.4072656027
SRX1882568,0.18076356070000002,-1.5415687242
SRX1882567,-0.09843087930000001,-1.4076027987
SRX1882569,0.0934861476,-1.4158581794
SRX1882555,-0.0716725023,-0.046570484200000005
SRX1882557,0.0234601127,0.050564476000000004
SRX1882556,0.0482123896,-0.0039939918
SRX5088615,-5.1326307347,-3.6530705991
SRX5088616,-6.2699368222,-2.6313931302
SRX6845150,-4.1266995167000005,0.38495093680000003
SRX6845149,-4.0256218898,-0.1662728789
SRX6845151,2.3242527051,-0.5488313132
SRX6845152,0.2265427087,-0.19015596710000002
SRX6845145,-4.501553092,-0.1485113716
SRX6845146,-5.1822337666,-0.3956745232
SRX6845142,5.6413868184,-0.3231823525
SRX6845141,4.7007057531,-0.24825300930000002
SRX6845144,0.9078434324,0.1781092849
SRX6845143,-0.9078434324,-0.1781092849
SRX5605051,-8.91247e-05,0.0279397028
SRX5605045,8.91247e-05,-0.0279397028
SRX5605060,0.00014811890000000002,0.0155785574
SRX5605059,-0.4436224187,0.2654938096
SRX2382017,0.1565565256,0.0805749714
SRX2382024,-0.1565565256,-0.0805749714
SRX2382027,1.9772032619000002,-0.9952606438
SRX2382029,5.2871509864,-1.2162041317
SRX2382217,0.7732401612,-0.9357014254
SRX2382023,1.1370107582,-1.1051197807
SRX2382218,-1.4303174178,-0.87748642
SRX2382219,-2.8659936007,-0.020399244
SRX2382213,4.6522309737,-0.5241458604
SRX2382019,2.4033007928,-1.1719840583
SRX2382214,-2.1984772899,0.44702262200000004
SRX2382215,-3.5669721742,0.2528867251
SRX2382020,-2.1446934282,0.1175761597
SRX2382216,-2.4359439771,0.48965562
SRX2382022,-2.0637856349,0.21276478410000002
SRX2382033,-3.2484101565,-0.1485233874
SRX2382220,-0.8986353299000001,0.7670593084
SRX2382222,-0.7946149432,0.7029342845000001
SRX2382030,-2.7049851857,0.5234135183
SRX4506350,0.8936252535,-0.0008924247000000001
SRX4506352,0.8545568077,0.0067868249
SRX4506354,1.4062086767,0.1622682612
SRX4506348,0.33216958350000003,0.12136087320000001
SRX4506346,-0.0656492214,-0.1072652769
SRX4506344,-0.2665203621,-0.0140955964
SRX4506351,1.0596176423,0.4134551992
SRX4506353,1.1733360074,0.46724171600000003
SRX4506355,1.396027614,0.6374711312
SRX4506349,2.333254597,0.9395572902
SRX4506345,2.0791048234,1.0885432817
SRX4506347,1.8951798577,1.0234756261
SRX4514122,7.4541550331,-0.47225583260000004
SRX4514124,-8.7569683991,0.6228867823
SRX4514126,-8.62133548,0.8154230920000001
SRX4514120,7.417243969,-0.32831445800000003
SRX4514112,8.0149324073,-0.8351342396
SRX4514116,-7.7895897806,0.7402374489
SRX4514118,-8.3351563467,0.9511534505
SRX4514114,8.10981372,-0.8562566598
SRX4514121,7.5567596405,-0.7205955087
SRX4514125,-8.7450085351,0.7284318842
SRX4514127,-8.7556914888,0.6516567914
SRX4514123,7.7364772441,-0.6893694680000001
SRX4514115,8.2183168395,-0.29231297910000004
SRX4514117,-8.2302984133,0.8866868626000001
SRX4514113,7.9502034465,-0.5975705327
SRX4514119,-8.2114934287,0.8993823394
SRX958308,-0.9511192479,1.1673941591
SRX958306,0.0387310374,1.203613073
SRX958307,-1.8197292376,1.0433393703
SRX958313,-0.3033183162,0.0816111147
SRX958312,0.5234356856,-0.0725209373
SRX958314,-0.2201173694,-0.0090901774
SRX958320,3.1704165432,-0.8778247658
SRX958318,1.9660948326,-0.1942689253
SRX958319,1.012203523,-0.26389733
SRX958323,-5.0956911037,1.1820372889
SRX958322,-4.0123808846,0.9221064487
SRX958321,-3.9286308074000003,0.6997729079
SRX958310,-2.1750175839,-0.5452389477
SRX958309,-1.7751665723,-0.0998573207
SRX958311,-3.0634564668,-0.2998269065
SRX958317,0.24337745090000001,-0.46280735850000004
SRX958315,-0.3799626034,-0.1532927046
SRX958316,-0.5743846999000001,-0.10147808180000001
SRX958324,-6.9294022249000005,0.6048830221
SRX958325,-6.319616467,0.6451080035
SRX4498322,-0.2071387029,-0.8627650543000001
SRX4498318,-0.6607940093,-1.0745267220999999
SRX4498320,0.3551373013,-0.0077826337
SRX4498316,-0.0920488013,-1.1292990102
