,-0.11198207841584358,-0.09880771624927374,-0.08563335408270391,-0.07245899191613407,-0.059284629749564235,-0.0461102675829944,-0.03293590541642456,-0.019761543249854727,-0.00658718108328489,0.006587181083284946,0.019761543249854782,0.03293590541642462,0.046110267582994455,0.05928462974956429,0.07245899191613413,0.08563335408270396,0.0988077162492738,0.11198207841584364,0.1251564405824135,0.1383308027489833
thresh,-0.079046172999419,0.079046172999419,1,,,,,,,,,,,,,,,,,
unreg,1,0,1,3,7,21,93,356,1626,1312,317,87,50,13,10,4,2,2,1,0
unreg_genes,['Rv0603'],[],['Rv3192'],[],[],[],[],[],[],[],[],[],[],[],[],['lpqJ' 'Rv1638A' 'kdpE' 'lpqN'],['PE18' 'Rv1684'],['Rv3242c' 'Rv1580c'],['Rv1786'],[]
