,0
gene_id,Rv2307B
name,Rv2307B
operon,Op1452
gene_product,hypothetical protein
COG,No COG annotation
regulator,"Rv0023,Rv0047c,Rv0135c,Rv0474"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2307B"">External Database</a>"
