,A,trcR,whiB4,Rv1776c
SRX3686763,4.3587597431,0.39090335670000004,-0.0097011965,-0.049787423000000004
SRX3686761,3.7798062069,0.5174504615000001,-0.0153808181,-0.0785207373
SRX3686765,-1.2909414929,-0.18655503010000002,-0.148865449,-0.5490436207
SRX3686769,-0.6438194066,0.13791884540000002,-0.041887685200000004,-0.4944223089
SRX3686766,0.0693451842,0.244702108,0.2718844675,-0.26119451650000003
SRX3686768,-0.2353809963,0.2459119073,0.295709011,-0.2223572247
SRX3686764,-0.5942982424000001,-0.0383914781,0.1095404646,-0.48812822110000004
SRX3686767,-0.4281992987,0.22927826610000002,0.0183178025,-0.36685362720000003
SRX3686788,-0.3240151201,0.053336531400000005,-0.1856891457,0.4151013718
SRX3686791,0.2027598081,-0.3423148338,0.0883926887,0.4498133331
SRX3686792,-0.0319180201,0.1676563506,-0.1468380797,-0.1640370861
SRX3686793,0.2908475339,-0.0857369129,0.012851646000000001,-0.22831658200000002
SRX3686790,0.1714311832,0.13113939100000002,0.2348799426,-0.2577689819
SRX3686789,-0.3091053851,0.0759194737,-0.0035970518000000003,-0.2147920549
SRX3686829,5.8435678438,0.5868926106,0.1692919444,0.1642149447
SRX3686830,5.5401191422,0.3680020758,0.080778765,-0.1457413735
SRX3686828,5.3079942403,0.5575963294,0.0867730956,-0.0954904886
SRX3686819,7.0640905303,0.0271653683,0.3435761332,-0.061353875
SRX3686818,7.2799791157,0.1668947941,0.2883777061,-0.019302675300000002
SRX3686817,7.8376453478,0.2563209718,0.2643392287,-0.09834284480000001
SRX3686822,10.4381316462,-0.1309585173,-0.7418996079,0.47771878830000003
SRX3686820,10.0484007102,-0.0731128026,-0.7418840396,0.6747422507
SRX3686821,10.3798912946,-0.2829713393,-0.8053127232,0.6392049641
SRX3686743,3.5126111823,0.7916492862000001,0.1203361718,-0.2384483352
SRX3686744,3.5038245408,0.8313057234000001,0.1417026282,-0.3412903465
SRX3686745,3.7597502243000003,0.7385870727,0.2167396417,-0.1632836527
SRX3686772,2.1254435758,1.2999482079,0.0776668241,-0.512475212
SRX3686770,2.604108414,1.6613099339000001,0.5054834574,-0.5073777295
SRX3686771,2.0909563425,1.5651822910000002,0.2227226039,-0.2985597047
SRX3686794,3.2384651038,0.487361319,0.5858864819,0.0774620545
SRX3686796,3.1813940308,0.6516907612,0.1675259197,-0.36453044490000003
SRX3686751,2.6231326289,0.2746258086,0.1588647745,-0.4126451036
SRX3686749,2.0045592705,0.33363570740000004,0.18451152880000002,-0.3397819414
SRX3686750,2.5086634478,0.6349326708,0.0641829379,-0.2488717731
SRX3686778,3.413784333,1.0096082107,0.1398143376,-0.29217854320000003
SRX3686777,2.8407205918000002,1.1766928248,0.0175434205,-0.40738653680000003
SRX3686776,2.6345123573,1.5993275855,0.0284110162,-0.49453296300000005
SRX3686800,3.507154397,0.8707645003000001,0.1765467749,-0.6073419986
SRX3686801,3.6687111027,0.9184387723,0.1442105802,-0.641632663
SRX3686755,5.0449235522,-0.2035046242,0.1437106416,-0.1788129258
SRX3686757,3.7028049785,-0.0638390098,0.1257417442,-0.1946276052
SRX3686756,3.4054342992,0.0282622444,0.1170291091,-0.4648631347
SRX3686784,3.1924114908,0.8691909630000001,-0.2061255002,-0.5756894142
SRX3686783,2.5351327945,1.0164704734,-0.22459888200000003,-0.6024035947
SRX3686782,2.9262185226,1.2445003242000001,0.0070589924,-0.9642920583000001
SRX3686809,3.7474416301,0.6382641073,0.0094884696,-0.7710784043000001
SRX3686807,4.0037741605,0.6005965201,-0.008951611200000001,-0.6142589110000001
SRX3686808,4.0742925936,0.6518460686,0.0963730188,-0.6703592388
SRX3686787,6.9771634777,0.7924816617,-0.9194448513000001,0.1845873091
SRX3686786,6.1793286692,0.8507860399,-0.9426904701000001,-0.12163023170000001
SRX3686785,5.9204417658,0.8221624467,-0.8847373998,0.21614688240000002
SRX3686799,5.5496679977,1.0131317129,-0.5474836482000001,-0.1073006539
SRX3686797,5.6748970177,0.9150451327,-0.40934811800000004,-0.3720135653
SRX3686798,6.0505347064,1.2138266675,-0.34512571280000004,-0.5546868114
SRX3686746,5.3584366616,1.0869178964,-0.2948663433,-0.43109448840000003
SRX3686748,5.2203376081,1.0421718822,-0.3319340919,-0.0374775599
