sample,Rv2104a
SRX4505488,-0.380734298
SRX4505481,-0.3091467242
SRX4505477,-0.16196998840000001
SRX4505475,-0.21317334910000002
SRX4505479,0.0022478975
SRX4605773,0.3413516762
SRX4605774,0.7350254246
SRX4605772,0.3284914796
SRX4605771,-0.3284914796
SRX5178871,0.1182861921
SRX5178872,0.2492190545
SRX5178868,-0.3287526696
SRX5178870,0.25699285510000003
SRX5178869,0.0717598145
ERX1404045,-0.0142606428
ERX1404046,0.0142606428
ERX1404043,-0.8212347733
ERX1404044,-0.0113359601
ERX237502,-3.5086864054999998
ERX237505,-2.0008298765
ERX237506,-3.1037624041
ERX237500,-4.1360459737
ERX237497,-3.181141005
ERX237499,-3.891586702
ERX237507,-0.0461110469
ERX237496,0.1550595309
ERX237504,-0.10894848400000001
ERX3772318,-0.35999151360000003
ERX3772320,-0.1358642626
ERX3772319,-0.2414318929
ERX3772321,-0.1409303586
ERX3772322,-0.1744335819
ERX3772323,0.3153639405
SRX4314262,-0.1941458249
SRX4314263,-0.2472189927
SRX4314261,0.4413648176
SRX4314265,-0.3900427716
SRX4314266,-0.2666898539
SRX4314264,-1.4498758155
SRX4314268,-1.2558857958
SRX4314267,-0.2836532545
SRX4314271,-2.5360877102
SRX4314272,-0.5716220471
SRX4314275,-1.0322964943
SRX4314274,-2.9451241331
SRX4314273,-2.7314956474
SRX4314278,-0.957011197
SRX4314276,-1.8695963134
SRX4314281,-1.8148191825
SRX4314279,-1.0298817077
SRX4314280,-1.1195540685
SRX4314284,-0.8294635211
SRX4314283,-0.4383715187
SRX4314282,-1.2247546051
SRX4314293,-1.4847944227
SRX4314292,-1.6196417677000001
SRX4314291,-1.3854643976
SRX4314297,-0.8770662731000001
SRX4314298,-0.6587218817
SRX4314299,-1.5516208398
SRX4314302,-1.4900203296
SRX4314301,-0.9688618925
SRX4314300,-0.9509025539
SRX4314305,-0.3323909349
SRX4314304,-0.9459822255
SRX4314303,-0.9442636082
SRX4314309,-0.23708977520000002
SRX4314306,0.07690724
SRX4314308,0.0525372125
SRX4314307,-0.34515087720000004
SRX4314311,-0.3855270108
SRX4314317,-0.6091294477
SRX4314316,-1.5980173894
SRX4314318,-0.9699137622
SRX4314319,-0.47914395200000004
SRX4314331,-0.6004160398
SRX4314330,-0.7232224725
SRX4314332,-0.8745749271000001
SRX4314335,-0.9568905372000001
SRX4314334,-0.7917023654
SRX4314333,-0.8663783759
SRX4314338,-0.7940174644
SRX4314336,-0.7899240548
SRX4314337,-0.8941847833000001
SRX4314339,-0.8590120648
SRX4314340,-0.4599329163
SRX4314341,-0.8292033636
SRX3686762,0.2000543891
SRX3686763,0.30574601500000004
SRX3686761,-0.29313005410000004
SRX3686765,0.06526672580000001
SRX3686769,0.11757860710000001
SRX3686766,0.2914460373
SRX3686768,0.2529248597
SRX3686764,0.38776600040000003
SRX3686767,0.28882154190000003
SRX3686788,0.7720240988
SRX3686791,-0.1367700293
SRX3686792,-0.7633298203000001
SRX3686793,-0.013649905200000001
SRX3686790,-0.0265185714
SRX3686789,0.1682442275
SRX3686829,0.2375721674
SRX3686830,0.1968435946
SRX3686828,0.34466057510000003
SRX3686819,2.0770962949
SRX3686818,2.1906964627
SRX3686817,2.0446056305
SRX3686822,1.2376265129
SRX3686820,1.2816050427999999
SRX3686821,1.415938814
SRX3686743,-1.3512829593
SRX3686744,-0.8468841306
SRX3686745,-0.9641932214000001
SRX3686772,-0.8894949867
SRX3686770,-1.6362762665
SRX3686771,-1.4692634214
SRX3686794,0.6212304683000001
SRX3686796,0.69065472
SRX3686751,-0.9630083285000001
SRX3686749,-0.560901109
SRX3686750,-0.6619227668000001
SRX3686778,0.4985040827
SRX3686777,0.0852082755
SRX3686776,-0.772871936
SRX3686800,0.8369349721
SRX3686801,0.79358328
SRX3686755,-0.8744348834000001
SRX3686757,-0.939633339
SRX3686756,-0.6719134709
SRX3686784,0.07722877610000001
SRX3686783,-0.7358812929
SRX3686782,-1.4776938753
SRX3686809,0.5884787583000001
SRX3686807,0.6207476996
SRX3686808,0.5849200383000001
SRX3686787,-0.5162751506000001
SRX3686786,-0.3956272857
SRX3686785,-0.4230494374
SRX3686799,-0.043805694900000004
SRX3686797,0.0267525844
SRX3686798,0.1228662249
SRX3686746,-1.1737689367
SRX3686748,-0.8357267683
SRX3686747,-0.9900762472
SRX3686773,-0.5030724639
SRX3686774,-0.9208834956
SRX3686775,-0.25065011530000003
SRX3686754,-0.9278019017
SRX3686753,-0.6943554187000001
SRX3686752,-0.9791473533
SRX3686780,0.0027180155
SRX3686779,0.0118448593
