,0
gene_id,Rv2104a
name,Rv2104a
operon,Op1316
gene_product,hypothetical protein
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2104a"">External Database</a>"
