,-0.12272412111674869,-0.06136206055837434,0.0,0.06136206055837434,0.12272412111674869,0.18408618167512303,0.24544824223349737,0.3068103027918717,0.36817236335024606,0.4295344239086204,0.49089648446699474,0.5522585450253691,0.6136206055837434,0.6749826661421178,0.7363447267004921,0.7977067872588665,0.8590688478172408,0.920430908375615,0.9817929689339895,1.043155029492364
thresh,-0.09204309083756151,0.09204309083756151,1,,,,,,,,,,,,,,,,,
unreg,1,52,3810,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
unreg_genes,['vapC18'],[],[],[],[],[],[],[],[],[],[],[],[],['Rv1706A'],[],[],[],[],[],[]
