,0
gene_id,Rv2307D
name,Rv2307D
operon,Op1453
gene_product,hypothetical protein
COG,No COG annotation
regulator,"Rv0023,Rv0678,Rv2250c"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2307D"">External Database</a>"
