,0
gene_id,Rv2336
name,Rv2336
operon,Op1473
gene_product,hypothetical protein
COG,No COG annotation
regulator,"Rv0081,Rv0880,Rv1219c,Rv1353c,marR,Rv1473A,Rv1816,higA,mbcA,Rv2021c,sigC,kstR,lsr2"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2336"">External Database</a>"
