,0
gene_id,Rv0115a
name,Rv0115a
operon,Op78
gene_product,hypothetical protein
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0115a"">External Database</a>"
