,A,iniR
SRX3686784,-4.9509215884,-0.2044348808
SRX3686783,-4.9219052887,-0.3648083147
SRX3686782,-5.3799261674,-0.40424210250000003
SRX3686809,-2.98773218,-0.0448458643
SRX3686807,-3.2433324366,-0.0418031644
SRX3686808,-3.1061989301,-0.0588654765
SRX3686787,0.0379082561,-0.3944367076
SRX3686786,0.15973350490000002,-0.33986869280000004
SRX3686785,0.1005128839,-0.4620647097
SRX3686799,3.3190273056,-0.036389238500000004
SRX3686797,3.2558928453,-0.0557304642
SRX3686798,3.0214882976,-0.0646622563
SRX3686746,0.1308763064,-0.0367410056
SRX3686748,-0.2427679752,-0.0441409766
SRX3686747,-0.0728128999,-0.0118872106
SRX3686773,0.1197025744,-0.4869913026
SRX3686774,0.3765390207,-0.5516384297
SRX3686775,1.0716557696,-0.3879061251
SRX3686754,-0.2082388296,-0.054392517200000004
SRX3686753,0.1428633771,-0.0809908696
SRX3686752,-0.3311752183,-0.0833246953
SRX3686780,1.2865190359,-0.14712485390000002
SRX3686779,0.9429557115,-0.2882161022
SRX3686781,1.483431042,-0.20974075050000002
SRX3686806,3.4073064161,-0.1367684251
SRX3686805,3.3104229353,-0.2988443605
SRX3686758,-1.7224946107,-0.3225860418
SRX3686760,-1.1885795971,-0.3678537331
SRX3686759,-1.7661320913,-0.3864698863
SRX3686810,2.0999614984,-0.5501460524
SRX3686811,2.6869848749000003,-0.4697951677
SRX3686812,2.4372337678,-0.3390768665
SRX3686813,-4.812715487,-0.4996370175
SRX3686815,-0.8933274672,-0.4586027273
SRX3686816,-0.2912939652,-0.43654805420000004
SRX3686823,-3.8162588895000003,-0.4215082953
SRX3686824,-3.6981361335000003,-0.46654616470000004
SRX3686825,0.8679719127000001,-0.591180608
SRX3686827,0.1916507298,-0.6645297059
SRX3686826,-0.08283221240000001,-0.6857955403
SRX7054191,-0.21614253200000003,-0.0121568448
SRX7054189,0.2101416322,-0.085796496
SRX7054190,0.0060008998,0.0979533407
SRX7054193,1.2063714552,1.5667041239000001
SRX7054192,1.4828560972,1.7508422661
SRX7054194,1.3285221639,1.7045747075
SRX4506284,1.5793405125,-0.4041189257
SRX4506280,1.6649700958,-0.6765794354
SRX4506282,0.7486216872,-0.26755893140000003
SRX4506278,0.944487861,-0.6636758949
SRX4506274,0.5052016954,0.024732117600000002
SRX4506273,-0.4540682791,0.036272948900000004
SRX4506271,0.1983265028,-0.0916892708
SRX4506276,-0.2494599191,0.0306842043
SRX4506283,11.1336452543,0.0976025927
SRX4506279,10.8230613131,0.16147929
SRX4506285,11.6815897574,0.3847074467
SRX4506281,11.4008926851,0.17529344060000002
SRX4506275,-0.16201269240000002,0.057279813400000004
SRX4506277,-0.3781700623,0.0410451451
SRX4506272,-0.9366328196,0.1713098776
SRX2923393,-0.2539039611,0.0333938271
SRX2923394,0.2539039611,-0.0333938271
SRX2923398,0.45921592980000003,-0.0371859937
SRX2923397,3.2870123212999998,-0.10051617700000001
SRX2923395,-4.7128791351,-0.3390320034
SRX2923396,-4.7039774195,-0.29555169200000003
SRX2923400,-1.2382637556,-1.3761716985999999
SRX2923401,-1.3041066261,-1.8004081213
SRX2923403,-4.2390966823,-0.0439118582
SRX2923402,-5.1232070955,-0.1871685582
SRX6853288,0.0012986521,-0.3082835675
SRX6853287,0.7952636034,0.0577457441
SRX6853286,0.8649225245000001,0.025212270000000002
SRX6853284,0.1471963881,0.0313824368
SRX6853285,-0.35405522980000004,-0.2868954173
SRX6853283,0.20685884170000002,0.2555129805
SRX4319040,0.3003963384,0.2017757414
SRX4319041,-0.3092225623,-0.2542480326
SRX4319039,0.008826223900000001,0.0524722912
SRX4314613,2.3662762698,-0.9156561808
SRX4314614,2.0572110478,-1.0529821282
SRX4314615,1.8245735039,-1.1660022725
SRX4314632,-1.5692401455,-0.7387317646
SRX4314631,-1.0018862355,-0.4960054535
SRX4314633,-0.33939132110000003,-0.5009213111
SRX4314622,-0.7774701819000001,-0.9805157837
SRX4314623,-0.1574096043,-0.9455347838
SRX4314624,-1.1041466526,-0.8574268139000001
SRX4314611,0.156114585,-0.1752550202
SRX4314610,-0.1895297339,0.0310617281
SRX4314612,0.033415148900000004,0.1441932921
SRX4314630,2.1291631012,-0.4144744577
SRX4314628,2.4556315901,-0.10770149650000001
SRX4314629,2.7345448469,0.0416193497
SRX4314619,1.2915327076,-0.3408761784
SRX4314621,1.0696527828,-0.5309153772
SRX4314620,1.5269932071999999,-0.2665153151
SRX7119390,0.5955695961,-0.1173031318
SRX7119388,-0.5955695961,0.1173031318
SRX7119386,0.380031286,0.8887264008
SRX7119385,1.0325981344,0.9759914078
SRX7119387,0.7198727637,1.1353437813
SRX3746749,2.8806110586,2.0640555495
SRX3746748,1.7320192016,2.0250304541
SRX3746751,-2.2984341689,-1.0999060992
SRX3746750,-0.8798836722000001,-0.2083597345
SRX3746752,-0.3209179877,-0.2171953131
SRX3746753,-2.1399018036,-0.6755840200000001
SRX3746755,-0.8272530810000001,-0.0857793948
SRX3746754,0.8272530810000001,0.0857793948
SRX2345943,0.3011876673,0.042009798200000004
SRX2345942,-0.3011876673,-0.042009798200000004
SRX2345941,6.1342061021,0.6279614322
SRX2345940,6.9578460488000005,0.5531140457
SRX3992217,-1.0835079555,0.0308737491
SRX3992216,-0.0385490657,0.0451352194
SRX3992214,-3.8285507229,0.6093579192
SRX3992215,-3.2248197773,1.2352660421000001
SRX3992221,-3.8535833451,1.3631074163
SRX3992220,-3.6495608898,0.6904467003
SRX3992219,-5.5614200972,0.17420978650000002
SRX3992218,-5.5077274992,-0.1930580402
SRX3992201,-5.5312423589,-0.2468955791
SRX3992200,-5.4467305757,0.1835362596
SRX3992198,-1.1905545331,0.14701764050000002
SRX3992199,-0.324797133,0.0451911314
SRX3992202,0.3105181557,0.1065120239
SRX3992203,-0.24317412160000001,-0.0608178173
SRX3992204,-3.2865755039,0.5340991257000001
SRX3992205,-2.4127623608,1.0799029046
SRX3992206,-3.3297208052,0.6242535046000001
SRX3992207,-2.4202178736,1.0453105549
SRX3992209,-5.6955595652,0.1859598449
SRX3992208,-6.4419223479,-0.1511592994
SRX3992212,-6.0350116147,0.0289439813
SRX3992213,-5.8668075983,0.2756587967
SRX3992210,0.1639591622,-0.018386697100000002
SRX3992211,-0.1639591622,0.018386697100000002
SRX357084,0.1265137037,0.0401904068
SRX357083,-0.1265137037,-0.0401904068
SRX4647134,1.0285581006,-0.198753844
SRX4647137,0.0418592345,-0.0167533519
SRX4647136,1.2665427733,-0.23638586820000002
SRX4647135,1.3257552009,-0.1770919203
SRX4647139,0.28265476170000003,-0.0665531363
SRX4647141,-0.3848816178,0.1462976567
SRX4647140,-0.1867272761,0.0569533721
SRX4647138,0.2889541322,-0.1366978924
SRX4647128,1.2853049496,0.458099085
SRX4647127,0.853958261,0.451050428
SRX4647129,1.2771663656,0.41244848500000003
SRX4647126,0.8601593390000001,0.4124226139
SRX4647133,1.2214757015,0.1786277449
SRX4647132,1.2622092314,-0.12172128410000001
SRX4647131,1.5308736483,0.056745450200000006
SRX4647130,1.2555984865,0.056685641200000005
SRX6923924,1.0146806277,0.07034195310000001
SRX6923925,1.1189583220000001,0.34248088720000003
SRX6923923,5.2846421208,0.0357048131
SRX6923922,4.6962197022000005,-0.18418608120000002
SRX6923939,-0.2257956748,-0.0441392698
SRX6923938,0.2257956748,0.0441392698
SRX6923936,3.8801274311,-0.2059163803
SRX6923937,4.3378690266,-0.2038071596
SRX5509428,-0.0868741725,-0.0899807739
SRX5509427,0.0868741725,0.0899807739
SRX1882560,4.6380731977,1.2181288177
SRX1882558,4.7011763531,1.2213860438
SRX1882559,4.8121309584,1.2019361736
SRX1882561,2.4782712374,0.8870101504000001
SRX1882563,2.5768294005,0.8990100578
SRX1882562,2.6761574296,0.8071968263
SRX1882565,2.0836953131,0.6202635629000001
SRX1882566,1.8815422765,0.7094246491
SRX1882564,1.9694477675000002,0.709392949
SRX1882568,1.1912941689,0.6421505049
SRX1882567,1.453457533,0.5346968058
SRX1882569,1.2653060581,0.5545325552
SRX1882555,-0.0974612623,0.0778516134
SRX1882557,0.12275168580000001,-0.0026768346
SRX1882556,-0.025290423500000003,-0.0751747789
SRX5088615,2.007001571,1.5157673604
SRX5088616,3.8834862128000003,1.1405572258
SRX6845150,3.0714563336,1.6419950933
SRX6845149,1.2100346952,1.0049519221
SRX6845151,3.3688965981,-0.2864472594
SRX6845152,6.2597857392,0.9350518696000001
SRX6845145,4.5211205956,1.1320661632
SRX6845146,2.4965760473,0.9732341061
SRX6845142,-0.1757593466,-0.445982549
SRX6845141,-0.5990473,-0.6707673401
SRX6845144,0.8563427342000001,0.1058077981
SRX6845143,-0.8563427342000001,-0.1058077981
SRX5605051,-0.15907241060000002,-0.0136508635
SRX5605045,0.15907241060000002,0.0136508635
SRX5605060,0.0353834777,0.4198205944
SRX5605059,-0.9938225111000001,0.097375573
SRX2382017,-0.026490792500000002,0.0018136905000000001
SRX2382024,0.026490792500000002,-0.0018136905000000001
SRX2382027,1.1429627081,-0.5083015447
SRX2382029,1.0864570797,-0.8758694916
SRX2382217,-0.274396493,-0.6162368417
SRX2382023,1.1990937442,-0.6099410997
SRX2382218,0.4839659618,0.1339510561
SRX2382219,1.0336688629,-0.1302021987
SRX2382213,1.9051179473,-0.8269114598
SRX2382019,1.889233436,-0.4169785815
SRX2382214,0.7461165427,0.06596441630000001
SRX2382215,0.8342728376,0.1701150362
SRX2382020,0.0968232512,0.49111576040000005
SRX2382216,-0.0354510871,0.6890379616
SRX2382022,-1.8579486402,-0.2604021852
SRX2382033,-1.9098140274,-0.33447866940000004
SRX2382220,0.1444866048,1.1279514968
SRX2382222,-0.14553614310000001,1.0796427325
SRX2382030,1.0071638238,1.1429968504
SRX4506350,0.4403278789,-0.0207232147
SRX4506352,0.0931385124,-0.060118721400000005
SRX4506354,-0.31524136350000004,0.056817797600000004
SRX4506348,-0.014868094200000001,0.0230777621
SRX4506346,0.0339899019,0.012467317700000001
SRX4506344,-0.0191218077,-0.035545079800000004
SRX4506351,-1.1786928054999999,-0.365809086
SRX4506353,-1.1792882816,-0.42927489080000003
SRX4506355,-1.5044703556,-0.3958368325
SRX4506349,-1.5803570191,0.12754649
SRX4506345,-0.9608877739,0.048486133800000004
SRX4506347,-0.5484235749,0.0135038686
SRX4514122,0.4756744912,-0.6569579011000001
SRX4514124,1.8432052828,0.5101313586
SRX4514126,1.6616806593,0.5409283731
SRX4514120,0.5625766356,-0.39627183520000003
SRX4514112,0.7579915309,-0.45719212950000004
SRX4514116,-0.9708909746000001,0.44937628970000004
SRX4514118,-0.8607656641,0.4667144227
SRX4514114,1.0736651078,-0.4588985828
SRX4514121,0.4152906984,-0.5549298753
SRX4514125,1.9316431822000002,0.3829254945
SRX4514127,1.8673826036,0.46231517510000003
SRX4514123,0.652309887,-0.5281155108
SRX4514115,0.9017737536,-0.3997540794
SRX4514117,-0.5334751284,0.4954626614
SRX4514113,0.8489095022,-0.3350904743
SRX4514119,-0.556408382,0.33143808620000004
SRX958308,1.1119876347,0.1664932768
SRX958306,1.673175258,-0.043460648500000004
SRX958307,-0.0367316659,0.3807658538
SRX958313,-0.39940484870000004,0.030106338000000003
SRX958312,0.13360213140000002,0.10622076770000001
SRX958314,0.2658027173,-0.1363271057
SRX958320,7.4595358560000005,0.12229914100000001
SRX958318,6.4017097175,0.4539259613
SRX958319,6.0408973867,0.0306429966
SRX958323,7.7256098186,-0.042232544600000005
SRX958322,7.7890872603,-0.0063372151
SRX958321,7.521268636,-0.0965815966
SRX958310,0.2307298496,0.385305742
SRX958309,-0.2183506932,0.3779067856
SRX958311,0.5591333759,0.3544756248
SRX958317,1.3897002904,0.4226161261
SRX958315,1.6131650917,0.24084411120000002
SRX958316,1.5381445893999999,0.3216111165
SRX958324,4.0878938562,-0.0066072611
SRX958325,4.1148490668,0.10320007590000001
SRX4498322,-0.2311798545,0.0515174465
SRX4498318,-0.0148636943,-0.1321809934
SRX4498320,0.3070335965,0.15425761840000002
SRX4498316,-0.2290243073,-0.11190483920000001
SRX4498312,-0.1026461402,-0.1437090095
