,A,Rv1985c
R2,,0.009856173499326881
xmin,,-3.4568090546
xmid,,0.06334370000353594
xmax,,4.185676201
ystart,,1.045014214849662
yend,,4.989015349991227
SRX3995807,-1.1371633912,0.2667345139
SRX3995806,-0.7997484032000001,0.5991271290000001
SRX3995809,-0.7881646240000001,0.3102447795
SRX3995808,1.1149736134000001,0.5837102897
SRX4619048,-1.2965817992,0.2026160309
SRX4619047,0.9150053336,0.6228313252000001
SRX4619049,0.1150768157,0.4100985754
SRX4619050,-0.9731346925000001,0.058987435000000005
SRX3995804,-0.7916596763,0.0716281415
SRX3995805,0.7916596763,-0.0716281415
SRX5089845,-0.526102026,-1.0191025363
SRX5089844,-0.8831731368,-1.0719749064
SRX5089860,-0.0178650237,0.027927643800000002
SRX5089859,-0.11934355940000001,0.13010200900000002
SRX5089858,0.137208583,-0.1580296529
SRX5089854,-5.291162783,0.321907214
SRX5089853,-6.2188560149,0.1294763108
SRX5089852,-7.0054621024,0.0928844878
SRX5089856,-0.716973061,-1.2434309493
SRX5089855,-0.6649108896,-1.3786352255
SRX5089857,-0.7196462527,-1.1594255694
SRX5089868,-5.2419151825,0.43761427
SRX5089866,-5.5450315044,0.5191077504
SRX5089867,-5.2622637567,0.3543573748
SRX5089870,-0.32575055010000004,-0.8950237120000001
SRX5089869,-0.07526135140000001,-0.9650289295000001
SRX5089871,0.2516874944,-0.49320559880000003
SRX5089846,-5.5186441813,0.1508072359
SRX5089848,-5.5283612882,0.2860349612
SRX5089847,-5.3170386984,0.14493779310000002
SRX5089849,-2.5175162760000003,-1.2104748046
SRX5089850,-1.7008788093,-1.2958622243
SRX5089851,-2.0942597653,-1.2007374908
SRX5089863,-5.294052359,-0.1845516862
SRX5089861,-5.6808579085,0.1495370127
SRX5089862,-6.2804375024,0.0384467789
SRX5089865,0.3283575144,-1.1460153549
SRX5089864,-0.4143133586,-1.2186735625
SRX5388955,0.1204899074,-0.015388080200000001
SRX5388957,-0.3172158664,-0.02433819
SRX5388954,0.3829005808,-0.0019729571
SRX5388956,-0.1861746219,0.041699227400000004
SRX5388960,-0.8234006242,0.3954536851
SRX5388961,-0.14784191400000002,0.8172191878
SRX5388959,-0.3387618432,0.5378706633
SRX5388958,-1.2359707477,0.4056577544
SRX5388964,-1.0136564428,0.29648912450000003
SRX5388965,-0.7356369641,0.4712575959
SRX5388962,-0.9195644403000001,0.6068313088
SRX5388963,-1.0935615486999999,0.37502611960000004
SRX6889335,-1.0004214398,0.37958595300000003
SRX6889333,1.0004214398,-0.37958595300000003
SRX6810002,-0.3740605607,-0.0651419277
SRX6810004,-0.4195372274,-0.22063305660000002
SRX6810003,0.7935977881,0.2857749844
SRX6810006,0.024170586900000002,1.0085661602
SRX6810005,-0.3432669138,0.7057149872
SRX6810007,0.7628626562,1.0655385933
ERX1818322,-2.8409463327,0.1842314804
ERX1818321,2.8409463327,-0.1842314804
