,Value,list
TF,ideR,
reg_genes,44,['yrbE2A' 'ppiA' 'cyp123' 'eccA3' 'eccE3' 'ldtA' 'frdA']
comp_genes,44,['Rv0481c' 'hisG' 'Rv0449c' 'Rv1847' 'Rv1520' 'Rv2622' 'Rv1342c']
both_genes,37,"['mbtA' 'eccC3' 'bfrB' 'lprD' 'mmpL4' 'Rv1519' 'esxG' 'eccD3' 'mbtI'
 'Rv3402c' 'Rv2377c' 'mbtF' 'mbtD' 'Rv3840' 'irtB' 'espG3' 'Rv0338c'
 'eccB3' 'mbtC' 'Rv3839' 'mycP3' 'PPE37' 'Rv3403c' 'mbtK' 'mbtM' 'mbtG'
 'esxH' 'mbtJ' 'hisE' 'mbtE' 'mbtN' 'PPE4' 'mbtB' 'irtA' 'PE5' 'mmpS4'
 'mbtL']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
