,-0.15295211951233725,-0.10925151393738375,-0.06555090836243024,-0.02185030278747674,0.021850302787476766,0.06555090836243027,0.10925151393738378,0.1529521195123373,0.1966527250872908,0.24035333066224426,0.28405393623719777,0.32775454181215136,0.37145514738710483,0.4151557529620583,0.4588563585370119,0.5025569641119654,0.5462575696869189,0.5899581752618723,0.6336587808368258,0.6773593864117794
thresh,-0.0437006055749535,0.0437006055749535,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,2316,1539,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ideR,1,0,1,5,2,13,6,7,5,3,1,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],['Rv2622' 'Rv1342c' 'Rv0481c' 'Rv1520' 'hisG' 'Rv0449c' 'Rv1847'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ideR_genes,['bfrB'],[],['Rv0338c'],['ppiA' 'cyp123' 'yrbE2A' 'ldtA' 'frdA'],['eccA3' 'eccE3'],"['esxG' 'esxH' 'eccD3' 'mycP3' 'eccB3' 'espG3' 'eccC3' 'PPE4' 'PE5' 'lprD'
 'mmpL4' 'mmpS4' 'mbtM']",['mbtN' 'Rv3403c' 'mbtJ' 'Rv3840' 'mbtL' 'hisE'],['mbtK' 'irtA' 'irtB' 'mbtG' 'Rv2377c' 'mbtF' 'Rv1519'],['mbtA' 'mbtE' 'Rv3402c' 'Rv3839' 'mbtD'],['mbtB' 'PPE37' 'mbtC'],['mbtI'],[],[],[],[],[],[],[],[],[]
