,A,ideR
SRX4498309,1.4915522682,-0.6377434884000001
SRX4498313,1.3050802133000001,-0.49008613360000003
SRX4615568,-0.3250824466,-0.1375821511
SRX4615570,0.3250824466,0.1375821511
SRX727246,0.6233534101,-0.8251862715
SRX727243,1.3835441867,-0.7952317735000001
SRX727247,2.7433262785,-0.3169083741
SRX727244,3.5020336365,-0.18862241970000002
SRX727245,2.240233284,-0.023955139
SRX727248,2.8913010052,-0.2443117079
SRX727249,-0.5032598285000001,0.0549715069
SRX727251,0.2350122531,-0.0554560656
SRX727250,0.2682475754,0.0004845587
SRX4498332,-0.010775601000000001,0.0258847627
SRX4498334,-0.312329047,-0.0086503301
SRX4498335,-0.6962894759,-0.0289620337
SRX4498337,-0.29905158390000003,0.016288657
SRX4498324,-0.12547043900000002,0.1266721871
SRX4498326,0.0475820313,-0.0569852189
SRX4498328,-0.109677678,-0.1060678012
SRX4498330,0.1875660857,0.036380833
SRX4498336,15.1515964439,1.3370533865
SRX4498333,15.5225704145,1.3827719151
SRX4498338,16.1398422505,1.3410949193000001
SRX4498329,-1.1157193478,0.6685582585000001
SRX4498325,-1.2597154423,0.7100262810000001
SRX4498327,-1.3589851473,0.7759538565
SRX4498331,-1.3106513941,0.7368128544
