,A,ideR
SRX4506080,2.4309472787,-0.3339802042
SRX4506082,2.4970798245,-0.2246823252
SRX4506076,2.2900308066,-0.2046765122
SRX5352221,0.4592386089,-0.2919548254
SRX5352223,0.5469722041,-0.3047195203
SRX5352222,1.1754771303,-0.1647264738
SRX5352229,2.1716986433,-0.25095087650000003
SRX5352227,2.5087869718,-0.2585457454
SRX5352228,2.4101857524,-0.2547647819
SRX5352231,2.9370607347,-1.3477312124
SRX5352232,2.364478203,-1.0281976252
SRX5352230,3.057633278,-1.2742416064
SRX5352225,-1.8246632844000001,0.0100045793
SRX5352224,-1.7057546351,0.1509444722
SRX5352226,-1.6650310233,-0.222477365
SRX5352220,-0.5932438585,0.023659582300000002
SRX5352219,0.0136059219,0.0116308356
SRX5352218,0.5796379366000001,-0.0352904178
SRX4498228,-0.6083970422,-0.0027188175000000003
SRX4498224,-0.0505975809,-0.1595229663
SRX4498230,-0.4477722376,-0.1799320827
SRX4498226,-0.2310489132,0.0429199675
SRX4498218,-0.0676231179,0.0075500321
SRX4498216,-0.0346574689,-0.0122452983
SRX4498220,0.0490303767,0.0903052162
SRX4498222,0.0532502101,-0.0856099501
SRX4498225,0.7648435708,-0.33972445100000004
SRX4498227,1.1738331349,-0.3083711437
SRX4498231,1.1777240981000001,-0.3366167331
SRX4498229,0.9140284822,-0.3548876462
SRX4498217,1.2296824476000001,-0.1740865647
SRX4498221,1.0947196838,-0.2671303801
SRX4498219,0.9030752445,-0.2132325481
SRX4498223,1.4278863234,-0.2688347911
SRX5079928,-0.1198624407,0.0880205766
SRX5079930,-0.4787963209,0.1302027578
SRX5079929,-0.5290296499,0.3716905372
SRX5079923,-0.0079321978,0.1654013627
SRX5079924,-0.3448408982,0.0500854181
SRX5079922,-0.39050762910000003,0.24496890610000002
SRX5079920,0.12033235900000001,0.06548569380000001
SRX5079921,0.0565633506,-0.0450863778
SRX5079919,-0.1768957096,-0.020399316
SRX5079926,0.4357915744,0.0616972194
SRX5079925,-0.0046264373,0.1821235217
SRX5079927,0.2675120333,0.042134917
SRX894005,5.3328338671,0.5048843439
SRX894004,5.6024351355,0.5371883728
SRX894006,6.0859331535,0.49364810270000004
SRX893999,0.40048706840000003,-0.28975625
SRX894000,-0.055960037100000005,0.1951728057
SRX893998,-0.3445270313,0.0945834443
SRX4647489,-0.1655517247,0.09023132290000001
SRX4647490,0.1655517247,-0.09023132290000001
SRX4647492,0.4403947285,0.107927585
SRX4647491,0.314898118,0.2932038101
SRX4647496,-0.2604744563,-0.0452079435
SRX4647495,-0.2048441964,0.0063997169000000005
SRX4647499,-0.4230152204,0.17426232490000002
SRX4647500,-0.2832461227,0.0503645021
SRX4647493,-0.6232526657,0.4346774571
SRX4647494,-0.5886156140000001,0.2274683518
SRX4647497,-0.1855652411,0.0714637067
SRX4647498,-0.4900708975,-0.07373819999999999
SRX4505482,-0.2499684721,-0.0296118509
SRX4505486,-0.4054598599,0.1660595451
SRX4505484,-0.4470445273,-0.0458455226
SRX4505473,-0.6144977049,0.1287882777
SRX4505476,0.0693093603,-0.0884603013
SRX4505480,-0.30936033830000004,0.166528916
SRX4505478,0.0019315784000000001,0.1101661074
SRX4505474,0.2381193996,-0.1882347221
SRX4505483,-0.6419392463,0.7916017189000001
SRX4505485,-0.8234741677,0.7469161372
SRX4505487,-0.3884726941,0.7460180288
SRX4505488,-0.4155682731,0.7363121638
SRX4505481,-0.4864440306,0.5886423649
SRX4505477,-0.7437418404,0.6978918233
SRX4505475,-0.6602865774000001,0.6454007542
SRX4505479,-0.6693596470000001,0.5525599763
SRX4605773,0.12333565,-0.0643954026
SRX4605774,0.0264268354,0.0015583416
SRX4605772,-0.08351001050000001,-0.0906527597
SRX4605771,0.08351001050000001,0.0906527597
SRX5178871,-0.2346248435,0.052181983300000005
SRX5178872,-0.0317161776,0.3335103971
SRX5178868,-0.009343002000000001,0.0163601076
SRX5178870,0.07803678330000001,-0.0424497317
SRX5178869,-0.0686937814,0.0260896242
ERX1404045,-0.072791719,-0.1355218394
ERX1404046,0.072791719,0.1355218394
ERX1404043,-0.8067141094,0.4467659667
ERX1404044,0.3816328586,-0.2275656764
ERX237502,3.1253925026,-0.1417486382
ERX237505,1.6575540245,-0.2841861846
ERX237506,2.0704973623,-0.31187379130000004
ERX237500,4.945083282,0.5027691329
ERX237497,4.9034399297,0.7136798752
ERX237499,4.4834231539000005,0.41966477300000005
ERX237507,0.3892141703,-0.0416975531
ERX237496,-0.9307406136,0.0591556311
ERX237504,0.5415264432,-0.017458078000000002
ERX3772318,0.3577824162,0.13320650080000002
ERX3772320,0.4063774945,0.1279234896
ERX3772319,0.7620001008,0.0213264029
ERX3772321,-0.7314799054000001,0.0340829173
ERX3772322,0.2259324208,-0.09923763320000001
ERX3772323,0.5055474846,0.06515471590000001
SRX4314262,-0.5871243463,-0.011810861
SRX4314263,-0.22736148620000002,0.0288685687
SRX4314261,0.8144858325000001,-0.0170577077
SRX4314265,-1.7344308161000002,0.007569446400000001
SRX4314266,-0.7226274875,0.2233111273
SRX4314264,-3.0545223086,0.14622450480000002
SRX4314268,-5.6266844098,0.2717542042
SRX4314267,-4.442227855,0.4590529477
SRX4314271,-5.8902025427,0.1762317318
SRX4314272,-5.1486478267999995,0.3085286018
SRX4314275,-5.6893444364,0.18178686830000002
SRX4314274,-5.9275237911000005,0.2105879993
SRX4314273,-6.0536037748,0.2961984378
SRX4314278,-4.9285211133,0.2445051306
SRX4314276,-4.8200535841,0.2297069636
SRX4314281,-3.5480440454,0.26983231690000004
SRX4314279,-2.9811899601,-0.0239367095
SRX4314280,-3.5729554196,0.1556501501
SRX4314284,-2.122413492,0.14415234940000002
SRX4314283,-1.6556763775999999,0.4528933583
SRX4314282,-1.5560493472,0.2232489373
SRX4314293,3.9004250399,0.1688342381
SRX4314292,5.2335122763,0.4401094499
SRX4314291,5.6723072404,0.2760505723
SRX4314297,10.0199253312,0.1915478185
SRX4314298,9.2494821788,0.4445801764
SRX4314299,8.2756859789,0.1797552895
SRX4314302,9.3139164942,0.20444796480000002
SRX4314301,9.2550379816,0.20671444790000001
SRX4314300,10.2351393576,0.5416710964
SRX4314305,5.9102271525,0.40855318360000004
SRX4314304,7.9540008571000005,0.4448634286
SRX4314303,8.1254427942,0.3639228708
SRX4314309,11.8564012449,0.4677324955
SRX4314306,8.727995214,0.48328732830000004
SRX4314308,9.6589671484,0.48123568790000004
SRX4314307,8.0071812083,0.38804972260000004
SRX4314311,7.4025067884,0.5264543553000001
SRX4314317,-0.8760863316,0.4664377785
SRX4314316,1.1250972948,0.3684214659
SRX4314318,-0.3106508592,0.3969109155
SRX4314319,0.0045719365,0.2910412499
SRX4314331,10.1220891565,0.7446907248
SRX4314330,8.0993585462,0.9353910516
SRX4314332,6.9237089966,1.0458194135
SRX4314335,8.2818128695,1.09601087
SRX4314334,11.8303728989,0.8024761253
SRX4314333,9.9953779929,0.8916385982
SRX4314338,7.3986286391,1.0117960533
SRX4314336,9.4104764233,0.893274738
SRX4314337,10.7935441761,0.7429092673000001
SRX4314339,8.8448996758,0.7666047279
SRX4314340,10.7277699457,0.7492167857
SRX4314341,7.8373603299,0.6295526271
SRX3686762,4.991562978,-0.5095421802
SRX3686763,3.8153362703,-0.6201968680000001
SRX3686761,4.308697515,-0.5715283754
SRX3686765,1.1903426389,0.1074813099
SRX3686769,0.8945902201,0.058140962000000004
SRX3686766,2.7540464393,0.0175214076
SRX3686768,0.8179512129000001,0.11444026630000001
SRX3686764,1.9956517159,0.1399545658
SRX3686767,0.3434036359,0.028544392800000002
SRX3686788,-0.6096333151000001,-0.0041964209
SRX3686791,-0.1314825793,-0.0081130953
SRX3686792,0.2852556144,0.037394486500000004
SRX3686793,0.327656586,0.0491412119
SRX3686790,0.15065248820000002,-0.1069631976
SRX3686789,-0.0224487942,0.0327370154
SRX3686829,3.4664998357,-0.4519636695
SRX3686830,3.9713006436000002,-0.3556540295
SRX3686828,3.4867806376,-0.4087692713
SRX3686819,3.0814992335999998,0.0376609096
SRX3686818,2.8452267299000003,0.0837260735
SRX3686817,2.3141536052,-0.0674965012
SRX3686822,8.4116866945,1.7601766665
SRX3686820,7.6796667103,1.5027726592000001
SRX3686821,8.1365144464,1.6343063673
SRX3686743,7.002038566,-0.3817718679
SRX3686744,6.7472064414,-0.5100720762000001
SRX3686745,7.5786677403,-0.4304970608
SRX3686772,1.702084023,-0.8013321295
SRX3686770,1.7463118670000002,-0.6410059370000001
SRX3686771,0.7509689432000001,-0.6367243232
SRX3686794,-2.3712912268,-0.5772777518000001
SRX3686796,0.4243491231,-0.5402212630000001
SRX3686751,7.3977427549,-0.601713154
SRX3686749,7.8548602114,-0.4508026202
SRX3686750,6.2333157107,-0.4930005075
SRX3686778,0.7168597356,-0.8036066715
SRX3686777,1.966841306,-0.8082793274000001
