,-0.11970454973928436,-0.07182272984357062,-0.023940909947856873,0.023940909947856873,0.07182272984357062,0.11970454973928436,0.16758636963499812,0.2154681895307119,0.2633500094264256,0.31123182932213933,0.3591136492178531,0.4069954691135669,0.4548772890092806,0.5027591089049943,0.5506409288007081,0.5985227486964219,0.6464045685921356,0.6942863884878493,0.742168208383563,0.7900500282792768
thresh,-0.09576363979142749,0.09576363979142749,1,,,,,,,,,,,,,,,,,
unreg,3,14,1967,1902,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
unreg_genes,['Rv2310' 'Rv1499' 'Rv3108'],[],[],[],[],['frdC'],[],[],[],[],[],[],[],['rpmB1'],[],[],[],[],[],[]
