,0
gene_id,Rv2021c
name,Rv2021c
operon,Op1270
gene_product,transcriptional regulator
COG,Transcription
regulator,"Rv0023,Rv0047c,Rv0081,Rv0494,mprA,mprB,Rv1776c,Rv1816,Rv2021c,devR,lsr2,Rv3736"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2021c"">External Database</a>"
