sample,Rv0292
SRX3995807,-1.0352867411
SRX3995806,-0.367452502
SRX3995809,-0.6087665193
SRX3995808,0.4438370947
SRX4619048,-0.6883582444
SRX4619047,0.1801412115
SRX4619049,-0.0651858002
SRX4619050,-0.3567852722
SRX3995804,0.0442683559
SRX3995805,-0.0442683559
SRX5089845,0.4821474638
SRX5089844,0.4699926245
SRX5089860,0.0420938354
SRX5089859,-0.0876194009
SRX5089858,0.045525565500000004
SRX5089854,0.1072711779
SRX5089853,0.0286397606
SRX5089852,0.022714209200000002
SRX5089856,1.1871549749
SRX5089855,1.3210471561000001
SRX5089857,1.1518342183
SRX5089868,1.0950181247
SRX5089866,1.162766876
SRX5089867,1.3258758438
SRX5089870,1.5291600810000001
SRX5089869,1.4732221367
SRX5089871,1.3072830985000001
SRX5089846,-0.8768956231
SRX5089848,-0.7206623482000001
SRX5089847,-0.8984609719000001
SRX5089849,0.6177901239
SRX5089850,0.7533694668
SRX5089851,0.7441770943
SRX5089863,0.25901766
SRX5089861,-0.0014376999999999999
SRX5089862,-0.10318688420000001
SRX5089865,1.3892000114
SRX5089864,1.11788423
SRX5388955,0.087261403
SRX5388957,-0.07677197570000001
SRX5388954,0.0366071762
SRX5388956,-0.0470966035
SRX5388960,0.4304736256
SRX5388961,0.4682899083
SRX5388959,0.4512871459
SRX5388958,0.41546643
SRX5388964,-0.10338340530000001
SRX5388965,-0.0936518801
SRX5388962,-0.2386861345
SRX5388963,-0.1346083228
SRX6889335,0.1760667742
SRX6889333,-0.1760667742
SRX6810002,-0.1025631194
SRX6810004,-0.0644562343
SRX6810003,0.1670193537
SRX6810006,-2.1114617508
SRX6810005,-2.1539734476
SRX6810007,-1.9558882641
ERX1818322,0.0389748521
ERX1818321,-0.0389748521
SRX2617830,0.7503150046
SRX2617831,0.8537665011000001
SRX2617833,0.2411817835
SRX2617832,0.5042003575
SRX2617828,-0.0180672051
SRX2617827,0.0168685109
SRX2617829,0.0011986942
SRX3456119,0.8142691148000001
SRX3456118,-0.025252624100000003
SRX3456117,0.3063593955
SRX3456101,0.2867143558
SRX3456099,-0.1238845065
SRX3456100,-0.1628298493
SRX3456107,6.1214499385
SRX3456105,6.4865202065
SRX4374122,-0.5503017395
SRX4374121,-0.5034394354
SRX4374123,-0.6001063447
SRX4374124,-0.045933377000000004
SRX4374125,-0.0662458793
SRX4374126,0.1121792563
SRX4374127,-0.16353685610000002
SRX4374128,-0.46249933200000004
SRX4374129,-0.5965294578
SRX4374130,-0.30165202820000003
SRX4374132,0.0051854166
SRX4374131,-0.2796127008
SRX4374133,-0.4300151655
SRX4374135,0.009862067
SRX4374134,-0.222160601
SRX4374138,0.0887702915
SRX4374136,-0.1214515897
SRX4374137,-0.1726147485
SRX1091379,-0.4240585042
SRX1091380,-0.3795058045
SRX1091377,-0.0034000823
SRX1091378,0.0034000823
SRX4647145,0.0511169562
SRX4647146,-0.053145225600000005
SRX4647147,-0.0064871894
SRX4647144,0.0023075597
SRX4647143,0.0020423285
SRX4647142,-0.0043498882
SRX4647155,0.21305201210000002
SRX4647152,0.35701324230000003
SRX4647153,0.4070779007
SRX4647154,-0.0118638969
SRX4647148,-0.014254587800000001
SRX4647149,0.0852642348
SRX4647151,0.0515006338
SRX4647150,0.1194660194
SRX4647123,0.07638656840000001
SRX4647124,-0.1217660351
SRX4647125,0.0453794667
SRX3103185,-0.2975019842
SRX3103189,-0.2827745539
SRX3103187,0.058622800200000005
SRX3103184,0.1148726925
SRX3103188,-0.16979444770000002
SRX3103186,0.054921755200000005
SRX1372110,0.4713153714
SRX1372111,0.618000089
SRX1372108,0.3410873997
SRX1372109,-0.3410873997
SRX4506085,0.072508189
SRX4506083,-0.0176951573
SRX4506089,0.1370733968
SRX4506087,0.0537138667
SRX4506077,0.014131822
SRX4506079,0.014215057100000001
SRX4506075,-0.1180516877
SRX4506081,0.0897048087
SRX4506084,0.2928005965
SRX4506086,0.18454883930000002
SRX4506088,0.2449062687
SRX4506090,0.3557585042
SRX4506078,0.33935606890000003
SRX4506080,0.2904263225
SRX4506082,0.3396971533
SRX4506076,0.3119092504
SRX5352221,-0.0549731607
SRX5352223,0.0001393147
SRX5352222,-0.0634816863
SRX5352229,-1.3830500728000001
SRX5352227,-1.5689989977
SRX5352228,-1.4769689355
SRX5352231,-2.4187997113
SRX5352232,-2.3101795727
SRX5352230,-2.3028145813
SRX5352225,-0.13830216580000002
SRX5352224,0.0509925616
SRX5352226,0.2969646696
SRX5352220,0.029624621700000003
SRX5352219,0.0310517135
SRX5352218,-0.0606763352
SRX4498228,0.0365003259
SRX4498224,-0.26586990120000004
SRX4498230,-0.17217569200000002
SRX4498226,0.1610874669
SRX4498218,-0.0565373663
SRX4498216,0.15631623890000002
SRX4498220,0.0079387429
SRX4498222,-0.1077176155
SRX4498225,0.3170654745
SRX4498227,0.1950743086
SRX4498231,0.2324939014
SRX4498229,0.3014841345
SRX4498217,0.3409936073
SRX4498221,0.23898919100000002
SRX4498219,0.3330317407
SRX4498223,0.5023420332
SRX5079928,0.5933389061000001
SRX5079930,0.4709382796
SRX5079929,0.5195536285
SRX5079923,0.21431424940000002
SRX5079924,0.3286876722
SRX5079922,0.3818694604
SRX5079920,0.00497507
SRX5079921,0.085070777
SRX5079919,-0.0900458471
SRX5079926,0.5248657674
SRX5079925,0.5021084664000001
SRX5079927,0.49626963090000004
SRX894005,1.7189523835
SRX894004,2.0912521111
SRX894006,1.4518374361
SRX893999,-0.0378059408
SRX894000,0.1551148441
SRX893998,-0.1173089033
SRX4647489,-0.1402324517
SRX4647490,0.1402324517
SRX4647492,0.0991682821
SRX4647491,0.1379991893
SRX4647496,-0.39508148860000003
SRX4647495,-0.2830490569
SRX4647499,0.1195196188
SRX4647500,0.0092803217
SRX4647493,0.0157397063
SRX4647494,-0.0669197867
SRX4647497,-0.0358111231
SRX4647498,-0.31628882410000003
SRX4505482,-0.1770564624
SRX4505486,0.17602403020000001
SRX4505484,-0.18027653840000002
SRX4505473,0.172598849
SRX4505476,0.1063125397
SRX4505480,0.06608862780000001
SRX4505478,-0.10897742290000001
SRX4505474,-0.0634237446
SRX4505483,-0.4876841626
SRX4505485,-0.6176616274
SRX4505487,-0.6360697901
SRX4505488,-0.5986150522
SRX4505481,-0.7151580678
SRX4505477,-0.5031530454
SRX4505475,-0.5132908505
SRX4505479,-0.6827627656
SRX4605773,0.0109653497
SRX4605774,-0.0134165792
SRX4605772,-0.018670144700000002
SRX4605771,0.018670144700000002
SRX5178871,-0.2760872985
SRX5178872,-0.2027020723
SRX5178868,0.0958784231
SRX5178870,-0.0546460906
SRX5178869,-0.0412323325
ERX1404045,-0.0247101683
ERX1404046,0.0247101683
ERX1404043,-0.0907778738
ERX1404044,0.043053295400000004
ERX237502,-1.1409690835
ERX237505,-0.6614544416
ERX237506,-1.0060517669
ERX237500,-3.975082994
ERX237497,-4.5759011524
ERX237499,-3.6557980506
ERX237507,0.1017056712
ERX237496,-0.2893824
ERX237504,0.1876767288
ERX3772318,-0.4972391934
ERX3772320,-0.47071692410000004
ERX3772319,-0.35436539710000003
ERX3772321,-0.10872859780000001
ERX3772322,0.2005168871
ERX3772323,-0.0917882893
SRX4314262,-0.14333913210000002
SRX4314263,0.144428157
SRX4314261,-0.0010890249
SRX4314265,0.48980856600000006
SRX4314266,0.5131703668
SRX4314264,0.4494631933
SRX4314268,0.0639769249
SRX4314267,0.0906630347
SRX4314271,0.2849930364
SRX4314272,0.0987812685
SRX4314275,0.2135151009
SRX4314274,0.3008444052
SRX4314273,0.2542671096
SRX4314278,0.29464376670000003
SRX4314276,0.28696796900000004
SRX4314281,0.426872856
SRX4314279,0.5013667092
SRX4314280,0.4192949351
SRX4314284,0.2773583374
SRX4314283,-0.07554150850000001
SRX4314282,0.48285557710000004
SRX4314293,0.20349006090000002
SRX4314292,1.0265326465
SRX4314291,0.9655125366
SRX4314297,0.9753457275
SRX4314298,0.9925932660000001
SRX4314299,0.3904605088
SRX4314302,0.7076976639
SRX4314301,0.6514849526000001
SRX4314300,1.078578489
SRX4314305,0.0994621687
SRX4314304,0.2900379262
SRX4314303,-0.06497554380000001
SRX4314309,0.8115680714
SRX4314306,0.20965105450000002
SRX4314308,0.4028424398
SRX4314307,0.13125571760000002
SRX4314311,0.23130582730000002
SRX4314317,-0.9790529902
SRX4314316,-1.5568409058000001
SRX4314318,-1.0498751702
SRX4314319,-1.0298392364
SRX4314331,-0.4016789217
SRX4314330,-0.6274971439
SRX4314332,-0.5372173065
SRX4314335,0.1477866858
SRX4314334,0.4943132753
SRX4314333,0.1609970909
SRX4314338,0.2529015123
SRX4314336,0.5503841526000001
SRX4314337,0.6337500417
SRX4314339,0.7052352946
SRX4314340,0.8409685504000001
SRX4314341,0.288349297
SRX3686762,0.08015682910000001
SRX3686763,0.0353118278
SRX3686761,-0.0128706385
SRX3686765,0.41378001600000003
SRX3686769,0.42953943510000003
SRX3686766,0.1653059049
SRX3686768,0.17720752850000002
SRX3686764,0.4158971025
SRX3686767,0.293795807
SRX3686788,0.061582958300000004
SRX3686791,0.1225840406
SRX3686792,0.0399162964
SRX3686793,0.054787937200000005
SRX3686790,-0.2970894023
SRX3686789,0.0182181698
SRX3686829,0.2403404225
SRX3686830,0.2885793131
SRX3686828,0.2831070811
SRX3686819,0.46176154420000004
SRX3686818,0.3301135993
SRX3686817,0.2850853809
SRX3686822,-0.4011859541
SRX3686820,0.044163193100000005
SRX3686821,-0.2989953493
SRX3686743,-0.027130244300000002
SRX3686744,-0.06862802900000001
SRX3686745,-0.0724968852
SRX3686772,-0.3530087362
SRX3686770,-0.44151987210000004
SRX3686771,-0.4445882577
SRX3686794,-0.3673570397
SRX3686796,0.33956233700000005
SRX3686751,-0.0863913216
SRX3686749,-0.11920374900000001
SRX3686750,-0.11263280390000001
SRX3686778,0.23944122750000002
SRX3686777,0.1418146827
SRX3686776,-0.20123270170000002
SRX3686800,0.2733623395
SRX3686801,0.3896248933
SRX3686755,-0.0856226523
SRX3686757,-0.3690724262
SRX3686756,-0.24598730700000002
SRX3686784,0.0917594372
