,0
0,0.06342877390405349
1,0.24888430716741694
2,0.15259563898800751
3,0.0635969760603885
4,0.042090806736566996
5,0.045227287871531
6,0.07183021321389751
7,0.109878333020419
8,0.0437006055749535
9,0.122080126796477
10,0.0787365304200655
11,0.275036628464437
12,0.1120017462080275
13,0.0793604679568295
14,0.09204309083756151
15,0.1031851607502655
16,0.1087939100097305
17,0.137023467204986
18,0.15009057644337948
19,0.050027247391418
20,0.09881540481644
21,0.09311354368935801
22,0.07244163589310701
23,0.07817838742380501
24,0.1407519546662765
25,0.132025410700676
26,0.2041091889518755
27,0.08583340750874499
28,0.067521988020007
29,0.081588666530287
30,0.078135427373466
31,0.124336057960356
32,0.08740102576884351
33,0.0914112851734705
34,0.14267388607493
35,0.06587855349572
36,0.0694241999899045
37,0.15656030031583
38,0.109369234358856
39,0.1634462776023785
40,0.120714568167462
41,0.0681915266713205
42,0.08251976596087301
43,0.136716350434677
44,0.39887736635023
45,0.051345579051216006
46,0.14435352213047303
47,0.354835048343465
48,0.136202157189389
49,0.054074352938628
50,0.07647466769433
51,0.076731341487048
52,0.057882738412705005
53,0.07722239450732851
54,0.088224583741919
55,0.095777618215218
56,0.0720260118180145
57,0.089176659931749
58,0.10221096982344
59,0.0543951703753605
60,0.0812433803772625
61,0.0833655357526165
62,0.07689192695595799
63,0.0725812612491895
64,0.10290551551354299
65,0.30465851412830347
66,0.10632246926505551
67,0.06
68,0.09973559274631749
69,0.212337208872819
70,0.05
71,0.0973173637687475
72,0.079046172999419
73,0.072292132163624
74,0.1065727838663255
75,0.07370616165468
76,0.09576363979142749
77,0.05
78,0.06636302913713851
79,0.0748017992880955
