,A,devR
R2,,0.7088987735333636
xmin,,-3.8857855916
xmid,,-3.0715452098862444
xmax,,5.5357560441
ystart,,-15.337861237279762
yend,,28.327632564512225
SRX3995807,1.1453637794,0.1440828361
SRX3995806,0.4080744368,0.1756288315
SRX3995809,0.6068989129,0.1622708643
SRX3995808,-0.6320800512,0.3262798163
SRX4619048,0.9154687505,0.1055125184
SRX4619047,-0.38823844100000005,0.1793820899
SRX4619049,-0.262182676,0.2755147267
SRX4619050,0.050589062500000004,0.0330585823
SRX3995804,0.07721799260000001,-0.0375905442
SRX3995805,-0.07721799260000001,0.0375905442
SRX5089845,-0.5583359501,1.6260483492
SRX5089844,0.3384958313,1.5723669840999999
SRX5089860,0.1241254921,0.0652521539
SRX5089859,0.06899096240000001,-0.035575427800000003
SRX5089858,-0.1931164545,-0.029676726100000002
SRX5089854,-14.5514382089,0.17223473620000002
SRX5089853,-14.5517708021,0.1433585961
SRX5089852,-15.537879635,0.2782411473
SRX5089856,-4.5352300679,1.1521427924
SRX5089855,-5.584927388,1.144336512
SRX5089857,-4.2900547569,1.158191378
SRX5089868,-12.9541304771,-2.2045942243
SRX5089866,-13.9747103602,-2.6468425896000003
SRX5089867,-14.0073970384,-2.4623414277
SRX5089870,-5.0395613804,-0.9134443867
SRX5089869,-4.3627266902,-0.8150375574000001
SRX5089871,-4.3752199609,-0.8608099574
SRX5089846,-18.1090060656,-0.1226792614
SRX5089848,-17.3507435199,-0.052958167800000004
SRX5089847,-17.9065851997,-0.2888270243
SRX5089849,-8.5817924277,1.1416200114
SRX5089850,-7.881397819,1.0145852368
SRX5089851,-7.6838368628,1.0847818923
SRX5089863,-18.6238067591,-3.2357864825
SRX5089861,-17.2001355493,-3.0556694819
SRX5089862,-18.8630525417,-3.2795514954
SRX5089865,-4.453856455,-0.2148192468
SRX5089864,-4.8701818284,-0.4757668984
SRX5388955,-0.6101893253,0.0197201374
SRX5388957,-0.11819912910000001,-0.0200292016
SRX5388954,0.5627874187,0.0288415646
SRX5388956,0.1656010357,-0.0285325004
SRX5388960,2.8645418419,0.3404284779
SRX5388961,5.0619705604,0.49367555420000003
SRX5388959,3.0924273655,0.27920957020000003
SRX5388958,3.0378225763,0.6522132496
SRX5388964,1.5689861681,0.2166602944
SRX5388965,2.5524864843,0.42070033640000004
SRX5388962,2.9551313386,0.4946900453
SRX5388963,1.8040681339,0.4209718274
SRX6889335,-3.5075588795,-0.1394734326
SRX6889333,3.5075588795,0.1394734326
SRX6810002,0.20873442050000002,0.1272006158
SRX6810004,0.4453764523,0.2065844511
SRX6810003,-0.6541108728,-0.33378506690000004
SRX6810006,-6.7957763514,-1.4001018818
SRX6810005,-5.8043826932,-1.1109224643
SRX6810007,-6.4524999223,-1.4245103271000001
ERX1818322,0.5250003864,0.2117428643
ERX1818321,-0.5250003864,-0.2117428643
SRX2617830,-1.4207724699,-0.5055499141
SRX2617831,-1.2789820528,-0.47137565410000004
SRX2617833,0.43958268170000003,-0.615034097
SRX2617832,0.6755981793,-0.6335525578
SRX2617828,0.0234033734,0.0052512911
SRX2617827,0.07770481130000001,-0.0328627432
SRX2617829,-0.1011081846,0.0276114521
SRX3456119,0.20409384100000003,0.9465753677000001
