,Value,list
TF,devR,
reg_genes,441,"['Rv2039c' 'Rv1598c' 'PPE17' 'pgk' 'PE_PGRS23' 'frdB' 'Rv1167c' 'ribD'
 'mmpS5' 'mmpL4' 'Rv2912c' 'rpsE' 'mce2R' 'gpsI' 'Rv3769' 'Rv1702c' 'dnaA'
 'Rv1816' 'drrC' 'ethR' 'Rv1733c' 'Rv2800' 'mmpL12' 'fmt' 'PE12' 'kasB'
 'sdhA' 'Rv3353c' 'Rv2019' 'Rv0986' 'phoH1' 'fabG3' 'Rv1459c' 'cbs'
 'Rv2635' 'rplF' 'Rv2302' 'typA' 'rplC' 'Rv2037c' 'ppsD' 'lipY' 'espA'
 'rplQ' 'mscL' 'Rv2423' 'Rv3387' 'Rv1465' 'zur' 'rpoA' 'cmtR' 'Rv0565c'
 'purB' 'Rv1882c' 'Rv0678' 'Rv2553c' 'Rv2021c' 'mazE2' 'Rv1101c' 'rplB'
 'Rv1907c' 'katG' 'ctpG' 'Rv0552' 'fbiC' 'rpmC' 'fadD1' 'eccE3' 'mmpL1'
 'Rv3005c' 'pepN' 'Rv2798c' 'Rv2147c' 'gap' 'Rv2715' 'Rv1883c' 'hisS'
 'rpmH' 'icd2' 'PPE27' 'rpsN1' 'Rv1993c' 'dnaJ1' 'mycP5' 'PPE8' 'hadC'
 'ppk2' 'Rv3729' 'Rv2372c' 'lppE' 'mpt64' 'Rv1535' 'bacA' 'vapB14'
 'groEL2' 'Rv2035' 'omt' 'fadD4' 'Rv0567' 'Rv0585c' 'nirB' 'icd1' 'radA'
 'Rv0176' 'rplV' 'Rv1331' 'Rv0250c' 'Rv3087' 'Rv3742c' 'Rv3231c' 'Rv2033c'
 'sigK' 'parE2' 'gatB' 'cyp135B1' 'vapC14' 'truA' 'mazF6' 'dgt' 'Rv2551c'
 'Rv1132' 'Rv3271c' 'gabD2' 'Rv2953' 'espG3' 'ndh' 'Rv1460' 'Rv1138c'
 'argC' 'adhD' 'fadD13' 'rplE' 'Rv3295' 'Rv1885c' 'mce1B' 'Rv3525c'
 'Rv0880' 'fadE4' 'mgtC' 'Rv2141c' 'accD6' 'pfkA' 'eccA5' 'mbcA' 'moeB2'
 'Rv1332' 'Rv2011c' 'mpt83' 'rpsS' 'csd' 'aroE' 'smtB' 'ggtA' 'leuS'
 'Rv0875c' 'Rv3046c' 'pgsA2' 'Rv1989c' 'Rv2693c' 'aftA' 'rpsC' 'Rv0089'
 'moaE1' 'Rv1508c' 'argF' 'Rv2803' 'mce2F' 'lprF' 'Rv2226' 'rplD' 'gmk'
 'mazF2' 'ethA' 'vapB41' 'Rv2418c' 'cpsY' 'Rv1887' 'add' 'papA5' 'esxK'
 'mce1F' 'sdhD' 'tpi' 'pks8' 'furA' 'Rv2018' 'Rv0081' 'rpsD' 'Rv0455c'
 'rplA' 'Rv0909' 'Rv3294c' 'tmk' 'Rv0177' 'hrcA' 'Rv1453' 'proS' 'Rv2751'
 'Rv0320' 'Rv3085' 'Rv0435c' 'gid' 'Rv0910' 'clpC1' 'PPE33' 'Rv2242'
 'Rv1112' 'Rv1979c' 'moaR1' 'Rv0911' 'PE19' 'Rv3064c' 'Rv0245' 'acpM'
 'Rv3066' 'dnaK' 'rpsH' 'Rv1823' 'lpdC' 'Rv0841' 'Rv1507A' 'Rv0080'
 'Rv3272' 'parA' 'hadB' 'nrdB' 'yrbE2A' 'mmr' 'Rv1192' 'Rv2864c' 'PPE3'
 'vapC43' 'Rv1505c' 'hadA' 'Rv3768' 'PPE30' 'fadE15' 'Rv2520c' 'Rv0193c'
 'Rv2923c' 'mtn' 'mce1A' 'Rv2508c' 'Rv3492c' 'lipR' 'Rv3736' 'mmpS3'
 'Rv1463' 'Rv0268c' 'mycP3' 'Rv1509' 'Rv2120c' 'Rv0653c' 'Rv3920c' 'argJ'
 'yrbE4B' 'kasA' 'Rv3789' 'ppsE' 'Rv3312A' 'sirR' 'TB27.3' 'rpmG2' 'mmpL5'
 'ctpE' 'Rv3190c' 'htdX' 'Rv3292' 'cysA2' 'Rv3083' 'argB' 'Rv2799'
 'Rv0365c' 'Rv0439c' 'dnaJ2' 'pip' 'psd' 'Rv3189' 'pepR' 'qor' 'Rv0776c'
 'virS' 'Rv2819c' 'grpE' 'Rv1976c' 'Rv3740c' 'argG' 'fadE29' 'rskA'
 'Rv2375' 'Rv2420c' 'Rv1998c' 'Rv0008c' 'Rv0680c' 'fadE28' 'Rv0192' 'hspR'
 'Rv1730c' 'Rv0082' 'Rv1544' 'Rv1462' 'ftsY' 'tatB' 'amt' 'Rv1813c' 'glyS'
 'Rv2000' 'Rv2422' 'PPE4' 'erg3' 'argD' 'Rv1466' 'Rv3524' 'fadE5'
 'Rv2818c' 'Rv2908c' 'prpC' 'PE_PGRS40' 'Rv1592c' 'rpfA' 'Rv0227c'
 'Rv2148c' 'amiC' 'Rv3249c' 'Rv1597' 'Rv3741c' 'PPE11' 'Rv2949c' 'Rv3921c'
 'Rv3098c' 'Rv2197c' 'Rv0775' 'Rv2466c' 'eccD3' 'aspC' 'argR' 'Rv3903c'
 'Rv3767c' 'Rv1375' 'Rv0338c' 'speE' 'drrB' 'Rv1995' 'vapC41' 'ppiA'
 'Rv1732c' 'Rv2367c' 'dprE1' 'Rv2369c' 'yrbE1B' 'rpmD' 'esxH' 'fadD30'
 'rplR' 'Rv1566c' 'Rv0090' 'Rv1543' 'papA1' 'vapC1' 'dprE2' 'Rv0078A'
 'Rv0654' 'cysK2' 'mazF3' 'TB18.6' 'plsB1' 'vapC6' 'fadD23' 'rplO'
 'Rv3902c' 'prpD' 'tgs4' 'lprK' 'Rv2777c' 'Rv1524' 'prpR' 'topA' 'Rv2802c'
 'mshC' 'nrdF1' 'Rv1096' 'Rv2787' 'Rv3273' 'Rv3008' 'rpsQ' 'Rv3090'
 'Rv0823c' 'Rv3766' 'gpgP' 'Rv0178' 'Rv2636' 'PPE7' 'uvrD2' 'frdC'
 'Rv3839' 'nusG' 'acyP' 'Rv2620c' 'sdhB' 'menC' 'htrA' 'Rv2331A' 'Rv0401'
 'Rv2716' 'trpE' 'Rv1358' 'mce1C' 'vapC7' 'mtc28' 'Rv1066' 'pyrE' 'Rv0175'
 'rplP' 'kshA' 'Rv2619c' 'fmu' 'PPE50' 'Rv1360' 'relG' 'rpfC' 'pcd'
 'Rv0843' 'glbN' 'moeA2']"
comp_genes,37,"['Rv3134c' 'fdxA' 'Rv2628' 'otsB1' 'Rv2629' 'Rv2005c' 'hrp1' 'Rv2003c'
 'Rv1812c' 'Rv0569' 'tgs1' 'Rv0572c' 'Rv0079' 'Rv1735a' 'Rv0571c' 'dosT'
 'Rv1738' 'ctpF' 'TB31.7' 'nrdZ']"
both_genes,17,"['Rv2028c' 'Rv0574c' 'narX' 'pfkB' 'Rv2627c' 'Rv2625c' 'devR' 'Rv2030c'
 'narK2' 'Rv2630' 'pncB2' 'Rv1735c' 'Rv2624c' 'devS' 'Rv2004c' 'Rv0083'
 'Rv2631']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
