,A,sigI
SRX4506080,10.0577086756,-0.35650799040000003
SRX4506082,10.2972409822,-0.3709615564
SRX4506076,9.5209017218,-0.2020562202
SRX5352221,-4.8943293633,0.4289532444
SRX5352223,-4.4467922421,0.0603091127
SRX5352222,-0.9660798974,-0.27096328880000004
SRX5352229,-7.1431445251,1.4999817954
SRX5352227,-6.9610165101,1.8104022248
SRX5352228,-7.1278425712,1.6501293228
SRX5352231,-8.2248175924,1.0301168391
SRX5352232,-8.6279267776,0.7473745674000001
SRX5352230,-8.0672299582,0.6699784019
SRX5352225,-12.3563983852,-0.7929646535
SRX5352224,-11.7710509036,-0.1718872314
SRX5352226,-11.318454727,-0.1423803684
SRX5352220,0.3258570102,-0.027686698500000002
SRX5352219,-0.0281393164,-0.1047652099
SRX5352218,-0.2977176938,0.1324519084
SRX4498228,-0.21250437960000002,0.3613230338
SRX4498224,-0.39907063810000004,0.2877355615
SRX4498230,-0.2745533478,0.164127074
SRX4498226,0.0424698042,0.3422802674
SRX4498218,0.1240024742,0.0588734553
SRX4498216,0.1000823457,0.0032039440000000002
SRX4498220,-0.0746703509,0.1367882037
SRX4498222,-0.1494144691,-0.1988656029
SRX4498225,-4.6331841319,-0.1522317282
SRX4498227,-5.1896584843,-0.0673770446
SRX4498231,-5.06826059,-0.1196754297
SRX4498229,-4.7560175263,-0.2574259456
SRX4498217,-5.0365069987,0.1427740654
SRX4498221,-5.7040238646,0.19176833240000002
SRX4498219,-5.0452938911,0.1974193374
SRX4498223,-5.5492362385,0.405673698
SRX5079928,-5.1012993145,-0.2723584141
SRX5079930,-3.3720342677,-0.1128451787
SRX5079929,-1.8581757137000001,0.0186891301
SRX5079923,-2.0711328355,-0.046719988000000004
SRX5079924,-3.4669847528,-0.0665883187
SRX5079922,-0.5098833110000001,0.1208278222
SRX5079920,0.0828176434,0.0230195971
SRX5079921,-1.2878769965,-0.1028757278
SRX5079919,1.2050593532,0.07985613080000001
SRX5079926,-3.7494167544,0.0917988779
SRX5079925,-1.1836858188,0.2560603829
SRX5079927,-4.6185171652,-0.0410763398
SRX894005,-1.7557624833,0.8701802686000001
SRX894004,-1.6544069017,0.49265943710000004
SRX894006,-0.4749881842,0.9034089713000001
SRX893999,-0.8635862971,-0.06263360280000001
SRX894000,-0.0800824626,0.022968516300000002
SRX893998,0.9436687597000001,0.0396650866
SRX4647489,0.0487001752,-0.101404093
SRX4647490,-0.0487001752,0.101404093
SRX4647492,0.47242243250000004,-0.0500298761
SRX4647491,0.8220966717,-0.2203983504
SRX4647496,-0.1251320638,-0.1712257617
SRX4647495,0.2355501284,-0.18254576960000002
SRX4647499,0.7739195682000001,-0.0914914654
SRX4647500,0.2054296297,-0.0798216291
SRX4647493,0.7392196307000001,-0.053460255500000005
SRX4647494,1.0725942467,-0.38780154110000004
SRX4647497,0.7443370387,-0.4080484305
SRX4647498,-0.1433629836,0.0005845551
SRX4505482,-0.49914991550000004,-0.3311174911
SRX4505486,-0.3527495631,-0.3077279133
SRX4505484,-0.9984798387,-0.5708651317
SRX4505473,-0.9268502323000001,-0.3291549038
SRX4505476,-0.4554003507,0.15648798860000002
SRX4505480,0.0774733207,-0.213356134
SRX4505478,0.41771425230000003,-0.1289046992
SRX4505474,-0.0397872224,0.1857728447
SRX4505483,4.1639211324,-0.0479560828
SRX4505485,3.973064701,0.14222159410000002
SRX4505487,4.3790680646,0.10516917910000001
SRX4505488,4.4379787517,0.10950318540000001
SRX4505481,3.891468347,0.0288295017
SRX4505477,4.3402382466,-0.0075246193
SRX4505475,4.8929315917,0.0169994985
SRX4505479,3.6917369277,-0.0179851018
SRX4605773,0.3566612038,0.050751236500000005
SRX4605774,0.2197642388,0.2437075544
SRX4605772,-0.0144102369,0.0768902095
SRX4605771,0.0144102369,-0.0768902095
SRX5178871,-0.6418106685,0.2299992694
SRX5178872,-0.2973772579,0.3794823727
SRX5178868,-0.3225076833,-0.2029871831
SRX5178870,0.1900878335,0.008889682900000001
SRX5178869,0.13241984980000002,0.1940975002
ERX1404045,0.020563764800000002,0.1357816802
ERX1404046,-0.020563764800000002,-0.1357816802
ERX1404043,-1.0683500552,0.2375709155
ERX1404044,-1.2053107053,-0.0407227402
ERX237502,-4.9441186921,0.20438149760000002
ERX237505,-2.4786187332000003,0.0734693304
ERX237506,-3.9826743261,0.2493824064
ERX237500,-5.8443385555,0.3827521052
ERX237497,-4.7168656137,0.0016960699
ERX237499,-2.8381501313,0.41778891700000004
ERX237507,-0.0240086901,-0.2225442997
ERX237496,-0.1558832617,0.08794531180000001
ERX237504,0.1798919518,0.134598988
ERX3772318,1.6926085433,-0.053122453900000005
ERX3772320,1.9585669955,-0.1646795239
ERX3772319,1.3543977806,-0.0006796194
ERX3772321,0.2727391547,-0.42872405220000004
ERX3772322,0.3942848594,0.0574825413
ERX3772323,-0.6670240141,0.3712415109
SRX4314262,0.1742585515,-0.1711349315
SRX4314263,0.011665006300000001,-0.1607963152
SRX4314261,-0.1859235578,0.3319312467
SRX4314265,10.7437686336,0.0137783343
SRX4314266,10.1788361759,0.1835287284
SRX4314264,10.5614781563,-1.0979867857
SRX4314268,11.6085063263,-1.4099334673000001
SRX4314267,10.3989312559,-0.9118947060000001
SRX4314271,11.856658036,-1.3973115102
SRX4314272,11.4794657163,-1.0461438004
SRX4314275,8.8245709901,-1.6466597420000002
SRX4314274,9.2826695157,-1.1264803555
SRX4314273,8.269029744000001,-1.5952248078
SRX4314278,7.1854341267,-1.4721565443
SRX4314276,6.2127664136,-1.7813946527
SRX4314281,7.1060136628,-1.7116436371
SRX4314279,6.8130345722,-1.6577355998
SRX4314280,7.1624016069,-1.0368498969
SRX4314284,7.0050947973,-1.4784312750000002
SRX4314283,5.2026959303,-1.0784912397
SRX4314282,5.0038840123,-1.5867783633
SRX4314293,8.0192263032,-1.7934410321
SRX4314292,8.9694157569,-1.423697019
SRX4314291,8.1173897077,-1.3551084942
SRX4314297,6.9977660079,-1.7314659346
SRX4314298,8.8556340932,-2.2050363303
SRX4314299,6.3544862544,-1.4345449695
SRX4314302,7.5814659808,-1.2371897032
SRX4314301,9.5124107419,-1.3906617872
SRX4314300,8.2633574321,-1.3455820277
SRX4314305,8.8479164398,-2.1139202172
SRX4314304,8.6071060314,-0.9487759195000001
SRX4314303,8.547272342,-1.1022973928
SRX4314309,7.3140143826,-2.4128684287
SRX4314306,7.6528232752,-1.9600730334
SRX4314308,9.0611151145,-1.5110532843
SRX4314307,7.8406494841,-1.0443896195
SRX4314311,7.7620213639,-2.2895829925
SRX4314317,8.6643849789,-0.6809095584
SRX4314316,8.4578433686,-0.8497529346
SRX4314318,7.4438186529,-1.6996332633
SRX4314319,7.6042606805,-1.2394426687
SRX4314331,7.0477430228,-0.4003457821
SRX4314330,6.8803404573,-0.45178859050000003
SRX4314332,7.5291718743,-0.7101022919000001
SRX4314335,8.5105734044,-0.2507188175
SRX4314334,7.6394943029,-0.1113330398
SRX4314333,7.6032288351,-0.42640444780000003
SRX4314338,8.9930456374,0.1456018363
SRX4314336,7.6386927816,0.0125927087
SRX4314337,7.9030585596,0.1635739742
SRX4314339,11.2051777635,0.27708250700000003
SRX4314340,11.3643302452,0.3224178016
SRX4314341,12.3066443444,0.4085055306
SRX3686762,8.3321105411,-0.0006780335
SRX3686763,7.9462189875,0.1897523256
SRX3686761,8.965032043,0.1063522395
SRX3686765,0.6841455404,0.41080312490000004
SRX3686769,-0.5058382606,0.5007342932000001
SRX3686766,0.1654652087,0.21374677320000002
SRX3686768,-0.132404924,0.4422389574
SRX3686764,0.5818092761,0.4328622317
SRX3686767,0.10831457850000001,0.4292716053
SRX3686788,0.8058033160000001,0.1794835271
SRX3686791,-0.30305205830000004,-0.08399477200000001
SRX3686792,-0.5204103702,0.45438779830000003
SRX3686793,0.6454395963,-0.5250303604000001
SRX3686790,-0.6936681773000001,0.2106371933
SRX3686789,0.0658876935,-0.2354833863
SRX3686829,7.0655562975,0.06673096540000001
SRX3686830,7.7882283655,0.3620627307
SRX3686828,7.9966514162,0.0363041736
SRX3686819,6.6468583504000005,0.6826938379
SRX3686818,7.2710698892,0.7436560298
SRX3686817,6.7620799592,0.8338049487
SRX3686822,9.6403157913,0.1290984975
SRX3686820,9.3869799753,0.1070584758
SRX3686821,9.9449939721,-0.0976078475
SRX3686743,7.1159458693,0.2933732949
SRX3686744,7.090002391,0.1963155892
SRX3686745,6.5765822301,0.3035978184
SRX3686772,11.8026188137,-0.5531986475
SRX3686770,12.5943810176,-0.4835155553
SRX3686771,12.826001114,-0.40881712330000003
SRX3686794,4.3022366618,-0.0336631211
SRX3686796,3.3159046328,0.36769459190000003
SRX3686751,5.3126436729,0.1869372634
SRX3686749,5.6461820314,0.1996225235
SRX3686750,5.1608105812,0.130051006
SRX3686778,7.3804115834,0.1459850443
SRX3686777,8.4834354207,-0.1394377963
SRX3686776,9.7696320509,0.016154679800000002
SRX3686800,4.2939431516,-0.0310416719
SRX3686801,3.5533757052,0.1061810458
SRX3686755,4.4167193487,0.5289951042000001
SRX3686757,5.567231948,0.4124804166
SRX3686756,5.0668086839,0.4387813292
SRX3686784,8.8544806288,-0.1379428678
SRX3686783,10.0482961542,-0.2212398445
SRX3686782,10.2678435763,-0.2574150301
SRX3686809,4.9543280439,0.2847861948
