,A,sigI
SRX4498311,3.6681773363,-0.38942997630000004
SRX4498315,3.7036288804,-0.23502011390000002
SRX4498309,3.3620444212000002,-0.1639062672
SRX4498313,3.5118465939,-0.2865378865
SRX4615568,0.0971729909,0.3133363668
SRX4615570,-0.0971729909,-0.3133363668
SRX727246,8.6969953217,0.0355828693
SRX727243,6.6321292719,0.14780408890000002
SRX727247,9.1751946349,-0.3601026999
SRX727244,8.14524903,0.2993875186
SRX727245,8.8882374035,-0.6129824951
SRX727248,10.8708455467,0.0691128328
SRX727249,0.130630952,-0.25262771770000003
SRX727251,-0.2400629958,0.14321033090000002
SRX727250,0.1094320438,0.1094173868
SRX4498332,-0.3510211279,-0.4609673213
SRX4498334,0.5219601879,-0.0401843675
SRX4498335,0.1523281679,-0.4182587377
SRX4498337,0.2214217739,-0.4605225993
SRX4498324,0.0223464935,0.4564359148
SRX4498326,0.033634258800000004,0.0949167509
SRX4498328,0.053809295800000004,-0.2697663932
SRX4498330,-0.10979004810000001,-0.2815862725
SRX4498336,8.4862486446,-0.29734036350000004
SRX4498333,8.6033496179,-0.1747505812
SRX4498338,8.3517469645,0.21687140740000002
SRX4498329,7.7740724383,-0.6680998554
SRX4498325,7.230878163,-0.45760297240000003
SRX4498327,7.4133534671,-0.0325595127
SRX4498331,7.4103779034,-0.6102739574
