,-0.1255752377376217,-0.09418142830321627,-0.06278761886881085,-0.03139380943440542,0.0,0.03139380943440542,0.06278761886881085,0.09418142830321627,0.1255752377376217,0.1569690471720271,0.18836285660643254,0.219756666040838,0.2511504754752434,0.2825442849096488,0.31393809434405423,0.3453319037784597,0.3767257132128651,0.40811952264727047,0.43951333208167587,0.4709071415160814
thresh,-0.109878333020419,0.109878333020419,1,,,,,,,,,,,,,,,,,
unreg,1,2,3,313,3314,261,4,1,3,1,0,0,1,0,0,1,1,0,0,0
unreg_genes,['Rv0047c'],[],[],[],[],[],[],[],['dnaJ1' 'Rv0991c' 'dnaK'],['grpE'],[],[],['groEL1'],[],[],['groES'],['groEL2'],[],[],[]
