,0
gene_id,Rv0135c
name,Rv0135c
operon,Op96
gene_product,transcriptional regulator
COG,Transcription
regulator,"Rv1776c,Rv2034"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0135c"">External Database</a>"
