,A,Rv0135c,Rv1019
SRX4314274,-1.1976125524,-0.9683645399,-1.1437593726
SRX4314273,-0.6366431366,-0.6696587162000001,-1.349035591
SRX4314278,-1.9177757748,-0.7693736615000001,-0.6955515838
SRX4314276,0.48583720760000004,-0.49299603670000003,-0.8487841563
SRX4314281,-0.46624886200000004,-0.414830124,-0.6215415792
SRX4314279,-0.6343342776,-0.4459760065,-0.7971785129000001
SRX4314280,-0.7460556406000001,-0.5473770477000001,-0.8763285963
SRX4314284,-0.4016995195,-0.7181383698,-0.8163005151
SRX4314283,-0.36983651900000003,-0.7217221341000001,-0.6063961649
SRX4314282,0.7883079234,-0.5691814860000001,-0.4295807701
SRX4314293,-0.6125479877000001,-0.6737625207,-0.73562299
SRX4314292,0.6238119159000001,-0.9036101511,-0.08674417990000001
SRX4314291,1.3065644644,-0.740265582,-0.7542135765
SRX4314297,0.9117925106,-0.4312348219,-0.6515388779
SRX4314298,0.9026854032,-0.8668714008,-0.5143352880000001
SRX4314299,-0.4907293498,-0.1205045331,-0.1088503791
SRX4314302,-0.23544840390000002,-0.1353523713,-0.255131226
SRX4314301,0.5829500156,-0.5825931181,-0.2830530698
SRX4314300,1.7077692682999999,-0.6325311275000001,-0.4125777101
SRX4314305,1.1643825648,0.0732767964,-0.1348922183
SRX4314304,1.9688710083,-0.0247967568,-0.3117839291
SRX4314303,2.3670244754,0.0225354658,-0.1474295034
SRX4314309,2.4857646906,-0.8525971717,-0.4162411917
SRX4314306,2.0454471512,-0.3953138902,-0.3463640436
SRX4314308,1.4504677928,-0.3527279537,-0.3022808866
SRX4314307,2.0614945389,-0.7003788375000001,-0.47574446270000004
SRX4314311,1.6343314721,-0.1585434207,-0.30156829830000004
SRX4314317,-0.7242826873,-0.0927593852,0.0864700801
SRX4314316,0.3923804607,-0.0052298811,-0.0901796654
SRX4314318,1.3733699727,0.1403966443,-0.1592732228
SRX4314319,1.9385256438,0.1933243131,-0.1231490704
SRX4314331,-3.3807513116,-0.2328049805,-0.5326245501
SRX4314330,-3.7341986335,-0.2710596437,-0.6613436867
SRX4314332,-3.6492918091,-0.3406859634,-0.8718496294
SRX4314335,-3.2351849594,-0.5943297121000001,-0.8244377824
SRX4314334,-3.2131750701,-0.5846725831,-0.9311978402000001
SRX4314333,-3.4797848592,-0.7843908942000001,-0.9670576099
SRX4314338,-2.9823218409,-0.7311246834,-0.6702664123000001
SRX4314336,-3.2277542768,-0.8786184429,-0.6824251916
SRX4314337,-3.6260205961,-0.5360132163,-0.8299202873
SRX4314339,-0.6561825387,-1.2495941312,-0.5728427713
SRX4314340,-0.6467788458,-1.1187245531,-0.6957798187
SRX4314341,-0.7316565405000001,-1.4074336828,-0.9084135199000001
SRX3686762,-1.3784782355,-0.4042897006,-0.6155577066
SRX3686763,-1.3613827026,-0.40109563140000004,-0.5846255725
SRX3686761,-2.0752933041,-0.3785616536,-0.6811660939
SRX3686765,-0.6071940626,-0.11769858450000001,-0.23664988920000002
SRX3686769,-0.3845062265,0.0439827392,-0.0851825871
SRX3686766,-0.63104416,0.0026495366000000003,-0.0038265217
SRX3686768,-0.9548725226,0.0856116098,-0.0660161716
SRX3686764,-0.3645860287,-0.0015161518000000001,-0.1387191139
SRX3686767,-0.37137128700000005,0.015750762800000002,-0.0682753408
SRX3686788,-0.4140901917,-0.06122923,0.031500200900000004
SRX3686791,0.5875905609000001,-0.025526260500000002,0.013336365400000001
SRX3686792,0.37888588240000004,-0.10766030180000001,-0.1508461713
SRX3686793,0.1579966055,-0.0667973703,-0.049533742000000006
SRX3686790,-0.6621309013000001,0.2059069019,0.1013213941
SRX3686789,-0.0482519558,0.055306260600000004,0.0542219529
SRX3686829,0.9500356513,-0.7849116758,-0.1125345438
SRX3686830,0.9189853142000001,-0.8271044315,-0.17717561240000002
SRX3686828,1.0164444573,-0.7263099443000001,-0.2800498845
SRX3686819,0.0094127113,-0.3939898323,-0.525711405
SRX3686818,0.020333088200000002,-0.47409425320000004,-0.5888642552000001
SRX3686817,0.0625978665,-0.46904039900000005,-0.4918580755
SRX3686822,-1.2151565829,-0.7380521692,-0.0318253255
SRX3686820,-1.3471156334,-0.7677558462,0.0573168848
SRX3686821,-1.419147232,-0.8027926844000001,0.047025208900000004
SRX3686743,-4.1644773572,-0.2552051421,-0.5124927205
SRX3686744,-4.1092852385,-0.26113667360000004,-0.6708483143
SRX3686745,-3.8233932642,-0.2870380025,-0.5257467147
SRX3686772,-4.2013521418,-0.3599983302,-0.8033359784
SRX3686770,-6.097357367,-0.31940237930000004,-0.8489872551000001
SRX3686771,-5.8484464388,-0.3673414028,-0.9535625320000001
SRX3686794,0.4672552777,-0.3396475835,0.08232363200000001
SRX3686796,0.6046486927,-0.2436717149,-0.0793838226
SRX3686751,-4.1051329753,-0.3805014018,-0.6929236160000001
SRX3686749,-3.6155122927,-0.31739204530000004,-0.514469953
SRX3686750,-4.0607356938,-0.3709595558,-0.6012754188
SRX3686778,-1.8345831485000001,-0.3975601895,-0.5814612114000001
SRX3686777,-3.3499177733,-0.3841730686,-0.8142208891
SRX3686776,-5.710275176,-0.4260864864,-0.8578830715
SRX3686800,0.8147033739,-0.24261942560000002,-0.0859312616
SRX3686801,0.9168857444,-0.2252056345,-0.10567964710000001
SRX3686755,-3.3837915438,-0.3358576717,-0.2337353371
SRX3686757,-3.1965240212,-0.5301061191,-0.6386629585
SRX3686756,-3.3363647026,-0.3757073664,-0.47391304500000003
SRX3686784,-3.4217930346,-0.4388650841,-0.6446195462000001
SRX3686783,-5.3133820159,-0.47304739090000003,-0.8848937934000001
SRX3686782,-6.4036058041,-0.3929843814,-0.7327741524
SRX3686809,1.3703665918999999,-0.5001004589,-0.0892551495
SRX3686807,1.0986552477,-0.31315290770000004,-0.0884811241
SRX3686808,1.3374687077,-0.3331786747,-0.0847537964
SRX3686787,-1.8930947226,-0.6128814937,0.2642491316
SRX3686786,-2.4424192901,-0.5973324207,0.17066097160000002
SRX3686785,-2.7354802053,-0.5465649032000001,0.1288353147
SRX3686799,0.24925111460000002,-0.3497756953,0.18793262800000002
SRX3686797,0.1534287275,-0.390430812,0.20116301220000002
SRX3686798,-0.19047383240000001,-0.2799669597,0.2406573579
SRX3686746,-3.2377780886,-0.34294564,-0.4674232901
SRX3686748,-3.2628544895,-0.2591874683,-0.2251427229
SRX3686747,-3.0730885346,-0.26422409350000003,-0.25484648520000003
SRX3686773,-3.1756269334000002,-0.3882028489,-0.281127171
SRX3686774,-3.6050183738,-0.4440300528,-0.41268445530000003
SRX3686775,-2.3042446785,-0.5135793082,-0.2774216091
SRX3686754,-2.3232978442,-0.32358442390000003,0.055814004800000004
SRX3686753,-2.524137097,-0.2953097319,0.0307992784
SRX3686752,-2.5213456349,-0.4506627328,-0.0727728031
SRX3686780,-1.9401460311,-0.5647201559,0.0828737299
SRX3686779,-1.9230979992,-0.6085572165,-0.1267562398
SRX3686781,-1.2829455077,-0.6263095303,0.2373659465
SRX3686806,0.1698262707,-0.2648193116,0.2975549417
SRX3686805,0.4857083479,-0.29603640600000003,0.2652789716
SRX3686758,-0.7342570251,-0.1810156585,0.1535156215
SRX3686760,-0.8578000424000001,-0.2106109471,0.0567611481
SRX3686759,-0.5125447595,-0.1604137786,0.159246246
SRX3686810,0.1758395231,-0.3231296927,0.26997015350000003
SRX3686811,0.5790829564000001,-0.3286816436,0.4566799964
SRX3686812,0.8312186313000001,-0.3230628284,0.3689889497
SRX3686813,-2.1026464478,-0.7504143439000001,-0.6585220444000001
SRX3686815,-0.4301329626,-0.7231487322,0.0048323456
SRX3686816,-0.0021676434,-0.7102842833,-0.0959644164
SRX3686823,-1.0811089705,-0.7151758201,-0.5839990281
SRX3686824,0.1300704789,-0.8744300027,-0.5341977756
SRX3686825,-0.6188910061,-0.8794023541,0.2377365066
SRX3686827,-0.6292341433,-0.7634629854,0.3482704246
SRX3686826,-0.7198158127000001,-0.7724665309000001,0.3960069342
SRX7054191,0.18970852840000002,0.1466476318,0.030626580400000002
SRX7054189,-0.2821306944,0.052589548300000004,0.030985899600000002
SRX7054190,0.092422166,-0.1992371801,-0.061612480000000004
SRX7054193,4.8752136814,0.6169321988,0.15548873970000002
SRX7054192,6.3872169899,0.22150336140000002,0.11071075770000001
SRX7054194,6.6518117267,0.23184262890000001,0.2365573986
SRX4506284,-3.9977773602,-0.25899699400000004,-0.0790032163
SRX4506280,-3.9167710077,-0.2899684885,-0.0445393189
SRX4506282,-4.2146818872,-0.020435654,0.0277793008
SRX4506278,-4.7914381316,-0.1211278731,-0.0554603841
SRX4506274,-0.1452606089,-0.0473799468,0.1405045007
SRX4506273,0.4775803282,0.035447679100000004,-0.0560950589
SRX4506271,-0.28155338290000004,-0.0069209648,0.0018221908
SRX4506276,-0.0507663363,0.0188532325,-0.0862316327
SRX4506283,-1.029630036,0.029667971300000002,0.5575189263
SRX4506279,-1.8903066231,0.087212918,0.5315434318
SRX4506285,-1.7126266276000002,0.0580955732,0.5670685474
SRX4506281,-0.7918454668,0.0689400857,0.5391603142
SRX4506275,0.2891268302,-0.1921396832,0.3570746482
SRX4506277,0.1019873978,-0.08847390220000001,-0.027148080800000002
SRX4506272,0.438579192,-0.2375990886,-0.0254527058
SRX2923393,0.099265239,-0.0174848017,0.0022255569
SRX2923394,-0.099265239,0.0174848017,-0.0022255569
SRX2923398,-2.8384856834,2.2040080257,1.1192416537
SRX2923397,-5.5360643578,1.510932678,0.8074610605
SRX2923395,-2.0708312663,1.7327062966,0.018760715900000002
SRX2923396,-2.3266241538,1.620843871,-0.1043689084
SRX2923400,3.0649907717,-1.1370629443,-0.1087711632
SRX2923401,3.2064927683,-1.4159968916,-0.02499421
SRX2923403,-1.2951976676,0.32325473390000004,0.6246675695
SRX2923402,-3.5925181776,-0.1028354308,0.9554515813000001
SRX6853288,-2.0792480597,0.016902217900000002,-0.0062417582
SRX6853287,-0.5492726588,-0.1362584422,-0.0015749589
SRX6853286,0.6628269204,-0.152863298,-0.0147861937
SRX6853284,0.5041168327000001,-0.0778747326,0.014922502800000001
SRX6853285,-0.9878463834000001,0.0275313139,0.0044557798
SRX6853283,0.4837295506,0.0503434187,-0.0193782826
SRX4319040,-0.0789969871,-0.020924349800000002,0.24319714
SRX4319041,0.3027805309,0.0498551769,-0.1939376571
SRX4319039,-0.2237835438,-0.0289308271,-0.0492594829
SRX4314613,2.9768346848,-0.0654603798,-1.382761517
SRX4314614,2.0628924817,0.13972399130000002,-1.1868931794
SRX4314615,2.3395444529000002,-0.0862940505,-1.4256909197
SRX4314632,-0.8375031487,0.3211241293,-1.1139472621
SRX4314631,1.5552892509,0.058776494400000004,-1.0104089036
SRX4314633,-0.1999309596,0.0536707292,-0.7131255457
SRX4314622,-1.0423105232,0.0847197656,-1.9740559925
SRX4314623,-0.8973761013,0.29356932550000003,-1.4648333476
SRX4314624,-0.4971044738,0.33768801940000004,-1.395007071
SRX4314611,-0.2264768856,0.062966908,-0.1082333405
SRX4314610,-0.1210193881,-0.0504103944,0.0242828481
SRX4314612,0.3474962737,-0.012556513600000001,0.0839504923
SRX4314630,0.2944362854,0.1140470274,-0.5865517388
SRX4314628,-0.24914029210000002,0.0353147893,-0.44182013410000004
SRX4314629,-0.084027426,0.043338890500000005,-0.1493459132
SRX4314619,1.4298246535999999,0.5080208681,-0.46656707100000006
SRX4314621,1.7162440972000002,0.5036841282,-0.8414507463
SRX4314620,1.155431503,0.4880735688,-0.5781951055
SRX7119390,-0.41219074380000004,-0.0525536158,0.0052057860000000004
SRX7119388,0.41219074380000004,0.0525536158,-0.0052057860000000004
SRX7119386,8.8883456416,1.3841845503,-0.0581475425
SRX7119385,8.5631730901,1.4635216288000001,-0.10666348040000001
SRX7119387,9.7268263566,1.7865589776,0.0492818007
SRX3746749,-1.7439845848000002,0.0043216377,0.987467246
SRX3746748,-1.9567675518,-0.0195732602,0.521943275
