,-0.1930338262480173,-0.15442706099841383,-0.11582029574881036,-0.0772135304992069,-0.038606765249603436,2.7755575615628914e-17,0.03860676524960349,0.07721353049920693,0.11582029574881042,0.1544270609984139,0.19303382624801735,0.23164059149762078,0.2702473567472243,0.30885412199682777,0.34746088724643115,0.38606765249603464,0.42467441774563813,0.4632811829952416,0.5018879482448451,0.5404947134944484
thresh,-0.212337208872819,0.212337208872819,3,,,,,,,,,,,,,,,,,
unreg,0,0,1,3,185,3028,174,3,0,0,0,0,0,0,0,0,0,0,0,0
Rv0135c,0,0,0,0,34,450,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Rv0135c and Rv1019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Rv0135c_genes,[],[],[],[],"['Rv1047' 'mce1R' 'lipP' 'Rv2944' 'Rv3115' 'panD' 'Rv3600c' 'rplX'
 'Rv1474c' 'moaD1' 'acn' 'Rv0213c' 'Rv2512c' 'relG' 'Rv3023c' 'Rv1199c'
 'Rv2452c' 'Rv0492c' 'PE_PGRS18' 'Rv3427c' 'Rv3189' 'esxH' 'panC' 'PPE5'
 'Rv2864c' 'Rv2644c' 'esxD' 'papA3' 'ino1' 'mutT1' 'Rv1060' 'Rv1760'
 'fadD11' 'PPE39']","['pks15' 'Rv0681' 'PE5' 'nmtR' 'PE_PGRS11' 'Rv2377c' 'Rv2307B' 'leuB'
 'Rv1288' 'greA' 'rplE' 'lprQ' 'Rv0095c' 'PE23' 'nuoN' 'Rv0987' 'aceAb'
 'PE_PGRS17' 'fbpB' 'mce1C' 'Rv0484c' 'drrC' 'hadB' 'nadR' 'Rv0954'
 'PPE12' 'rpsG' 'Rv2791c' 'Rv3706c' 'Rv1078' 'Rv2331' 'rpmG2' 'acpM'
 'rplO' 'PPE53' 'esxG' 'rplA' 'Rv2585c' 'mce1A' 'eccC3' 'Rv3226c' 'serB2'
 'papA5' 'hadC' 'hadA' 'hsaC' 'aroA' 'Rv0406c' 'Rv0801' 'Rv2360c' 'Rv0713'
 'uspA' 'oplA' 'eccB3' 'ahpE' 'smpB' 'Rv2309A' 'Rv2959c' 'gatA' 'Rv0988'
 'Rv2700' 'mpt64' 'Rv2951c' 'Rv2226' 'rplM' 'Rv0360c' 'papA1' 'atpB'
 'fusA1' 'Rv0874c' 'rpsQ' 'Rv2040c' 'PPE4' 'efpA' 'cyp141' 'Rv2974c'
 'Rv0180c' 'ilvX' 'ftsE' 'yjcE' 'Rv0959' 'Rv0799c' 'mtrA' 'cfp29' 'cydB'
 'moeB2' 'ppsD' 'espB' 'nuoH' 'Rv2893' 'nuoM' 'Rv2717c' 'mmpL2' 'Rv1249c'
 'fadE21' 'PPE8' 'Rv3225c' 'lpqL' 'Rv0281' 'PPE21' 'Rv2242' 'nrdH' 'rplF'
 'ribF' 'mce1F' 'lysS' 'proS' 'hsaA' 'glgP' 'murG' 'echA17' 'cyp121'
 'esxA' 'Rv2147c' 'fadE10' 'Rv3811' 'ppsE' 'tuf' 'fadD32' 'Rv2952' 'espG3'
 'rpsN1' 'drrB' 'Rv3856c' 'rplC' 'Rv0441c' 'ldtA' 'Rv3485c' 'nuoJ'
 'Rv2632c' 'Rv3413c' 'nuoI' 'Rv0175' 'Rv3188' 'pks2' 'nuoL' 'PPE54' 'pbpB'
 'eccE3' 'cobQ2' 'ctpH' 'PPE35' 'lppP' 'Rv0446c' 'serC' 'Rv3909' 'Rv1065'
 'obg' 'Rv1616' 'Rv0830' 'Rv3294c' 'Rv3472' 'lprO' 'pks1' 'Rv0178'
 'Rv3510c' 'metB' 'Rv2199c' 'Rv0250c' 'atpC' 'Rv1776c' 'lpdC' 'mtrB' 'pcp'
 'fgd1' 'mce1D' 'moaB2' 'rseA' 'Rv0177' 'lipM' 'eccD3' 'rpsT' 'whiB4'
 'accD6' 'Rv1835c' 'Rv1069c' 'Rv2302' 'nuoG' 'eccA1' 'Rv2466c' 'Rv3361c'
 'Rv1312' 'Rv3193c' 'Rv3649' 'mutT4' 'Rv1200' 'pyrH' 'gmhB' 'bisC' 'ltp1'
 'kasA' 'lprK' 'Rv3312A' 'rpsH' 'PPE55' 'Rv1509' 'Rv0870c' 'eccD5' 'cdh'
 'mkl' 'Rv0421c' 'irtB' 'PPE33' 'Rv0813c' 'pyrG' 'pknL' 'Rv0790c' 'Rv1700'
 'vapB11' 'Rv0028' 'Rv1508c' 'Rv1637c' 'Rv3342' 'sigG' 'Rv1508A' 'pepD'
 'Rv3415c' 'pcnA' 'kasB' 'ansP1' 'gcpE' 'Rv2735c' 'aceE' 'Rv3770c' 'gmhA'
 'PPE24' 'Rv3910' 'Rv2742c' 'trxC' 'PPE56' 'Rv2923c' 'PE_PGRS22' 'Rv3335c'
 'pepN' 'Rv3362c' 'ftsQ' 'apa' 'PE26' 'ccsA' 'Rv2395' 'Rv1231c' 'espI'
 'vapC11' 'rpmG1' 'Rv3691' 'fbpA' 'Rv1461' 'Rv1816' 'Rv0061c' 'Rv1277'
 'dgt' 'Rv0420c' 'Rv0200' 'dnaN' 'Rv2454c' 'ackA' 'Rv2300c' 'acpS' 'fhaB'
 'cspB' 'Rv1794' 'Rv2367c' 'Rv3572' 'Rv1184c' 'Rv2203' 'PE_PGRS56'
 'yrbE1B' 'Rv2091c' 'Rv1701' 'Rv0433' 'trxB2' 'ponA2' 'cut2' 'Rv1875'
 'phoH1' 'bpoA' 'dfp' 'fbpD' 'Rv2308' 'Rv0634c' 'rpsS' 'Rv0100' 'Rv3725'
 'pgk' 'embA' 'fadD23' 'Rv3273' 'eccD1' 'PE_PGRS34' 'Rv3463' 'rplK'
 'Rv0496' 'mycP5' 'rphA' 'mbtG' 'Rv3821' 'pepC' 'hemL' 'rpsE' 'Rv1257c'
 'fadD29' 'Rv0455c' 'mycP3' 'Rv0526' 'Rv0897c' 'Rv2128' 'ppk1' 'whiB6'
 'Rv3827c' 'Rv3071' 'Rv1248c' 'mas' 'tatD' 'rpiB' 'embC' 'icl1' 'tpi'
 'cysQ' 'eccE5' 'Rv2018' 'Rv2792c' 'yrbE1A' 'cobT' 'Rv2059' 'lpqB'
 'Rv0528' 'metK' 'lppO' 'aftA' 'senX3' 'vapB43' 'purM' 'Rv3819' 'coaA'
 'Rv1565c' 'rplB' 'fadD31' 'rpmC' 'cobK' 'rplP' 'uvrA' 'papA2' 'eccA5'
 'moeA2' 'rplW' 'mbtF' 'ppm1' 'Rv3921c' 'Rv3798' 'Rv2867c' 'Rv0941c'
 'Rv2315c' 'Rv0181c' 'Rv1874' 'ufaA1' 'rplV' 'Rv0508' 'fcoT' 'moxR2'
 'Rv1146' 'gyrA' 'fadD30' 'Rv1871c' 'ppsC' 'Rv2366c' 'atpD' 'fadD10'
 'PPE34' 'Rv3840' 'trpG' 'hddA' 'Rv3707c' 'mbtM' 'pmmA' 'mce4F' 'helZ'
 'Rv2577' 'Rv1227c' 'Rv1061' 'Rv1279' 'gap' 'Rv3822' 'Rv0094c' 'Rv3835'
 'nusG' 'PE_PGRS57' 'ccdA' 'accD4' 'gcvB' 'otsA' 'Rv0513' 'Rv0823c' 'rne'
 'Rv3479' 'PPE45' 'Rv3728' 'Rv0176' 'mmpL8' 'Rv3047c' 'atpG' 'Rv1230c'
 'nuoK' 'Rv2541' 'Rv0026' 'Rv3612c' 'Rv2646' 'Rv0519c' 'Rv3402c' 'aftB'
 'Rv0439c' 'psd' 'Rv1869c' 'gpm1' 'Rv3520c' 'fadD5' 'mmpL7' 'Rv0111'
 'rplR' 'Rv0836c' 'eccE2' 'atpH' 'murI' 'moaA2' 'qcrB' 'rpmD' 'narG'
 'Rv3401' 'Rv1435c' 'Rv2877c' 'PPE61' 'metC' 'lppL' 'Rv3613c' 'rpsC'
 'cyp139' 'Rv3618' 'Rv0584' 'ctpG' 'Rv1774' 'qcrA' 'PE_PGRS54' 'nrp'
 'Rv0597c' 'Rv1132' 'PPE58' 'pyrD' 'ileS' 'Rv0007' 'Rv2132' 'rpmB2']","['Rv0846c' 'Rv2169c' 'Rv2522c' 'Rv3197' 'Rv3492c' 'Rv2633c' 'espD' 'ctaE'
 'rpsN2' 'mprB' 'espC' 'Rv2943A' 'lpqT' 'Rv1535' 'groEL2' 'espA' 'ppk2'
 'rpfB' 'uspB' 'PPE57' 'Rv3741c' 'fadE35' 'ctpJ' 'fprB' 'Rv1733c'
 'Rv3231c']",[],[],[],[],[],[],[],[],[],[],[],[],[]
Rv0135c and Rv1019_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['Rv3230c'],[],[],[],['desA3'],[],[]
