locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv0135c,Rv1019,link
Rv3229c,0.4641383848,desA3,stearoyl-CoA 9-desaturase,Lipid transport and metabolism,Op2025,"Rv0023,Rv0047c,Rv0081,Rv0135c,senX3,regX3,Rv0678,Rv0691c,Rv0767c,Rv0818,csoR,Rv1019,trcR,Rv1353c,Rv1473A,mbcA,Rv2011c,Rv2034,Rv3830c",True,True,https://mycobrowser.epfl.ch/genes/Rv3229c
Rv3230c,0.3224548564,Rv3230c,stearoyl-CoA 9-desaturase electron transfer protein,Energy production and conversion,Op2026,"Rv0023,Rv0047c,Rv0135c,Rv0691c,Rv1019,trcR,Rv1353c,Rv1473A,mbcA,Rv2011c,bkaR",True,True,https://mycobrowser.epfl.ch/genes/Rv3230c
