,A,sigK
SRX4506080,1.2008318948,0.9710473446000001
SRX4506082,1.3009704543,0.9981521141
SRX4506076,1.0890975087,1.0801485512
SRX5352221,0.3070525992,-0.0494944571
SRX5352223,0.1958059681,-0.1134070446
SRX5352222,0.0167717479,-0.1852559241
SRX5352229,6.2704278663,0.38616236940000004
SRX5352227,6.6461906027,0.4010736252
SRX5352228,7.0323019964,0.37260698470000003
SRX5352231,3.7188251915,0.1176305354
SRX5352232,3.8525134326,0.2695146321
SRX5352230,4.1380613831,0.3058960194
SRX5352225,-0.3031261756,-0.6261152702
SRX5352224,-0.0095444698,-0.769813999
SRX5352226,0.37281923780000004,-0.658662237
SRX5352220,-0.1241656649,-0.0046308374
SRX5352219,-0.0486221606,0.1117474504
SRX5352218,0.1727878254,-0.10711661300000001
SRX4498228,0.0405457363,0.0683810108
SRX4498224,0.24862921100000002,0.0167781376
SRX4498230,0.5664513641,0.1369646974
SRX4498226,0.0957799577,0.11344953810000001
SRX4498218,-0.058781724800000004,-0.0379033338
SRX4498216,-0.01570156,-0.0457888006
SRX4498220,-0.1359320675,-0.062365511900000004
SRX4498222,0.21041535220000002,0.1460576463
SRX4498225,-0.40177358560000004,0.3381883388
SRX4498227,-0.4298070681,0.3478257812
SRX4498231,-0.3963289237,0.42402426670000004
SRX4498229,-0.2159575035,0.44760307790000003
SRX4498217,-0.5624124599,0.336833049
SRX4498221,-0.2358111302,0.5062512483
SRX4498219,-0.6695977538,0.5165325012
SRX4498223,-0.0372646649,0.7686647137
SRX5079928,0.19901321200000002,-0.12440198200000001
SRX5079930,-0.3664550656,-0.3541910951
SRX5079929,-0.1905382474,-0.2534871884
SRX5079923,0.1654591467,-0.0683285804
SRX5079924,0.0382422272,-0.1464833261
SRX5079922,0.11111469360000001,-0.09228897970000001
SRX5079920,-0.0513981395,-0.0656100684
SRX5079921,-0.3328394586,0.0873109889
SRX5079919,0.3842375981,-0.021700920500000002
SRX5079926,0.1197641623,-0.103263846
SRX5079925,-0.0108147476,-0.2282605115
SRX5079927,0.3367951833,-0.0868782966
SRX894005,3.6616351181,0.656637341
SRX894004,3.7976615841,0.10405951640000001
SRX894006,3.9395511155,0.4023921922
SRX893999,0.4632177039,0.2875598239
SRX894000,-0.1458525049,-0.22644019910000002
SRX893998,-0.31736519900000004,-0.0611196248
SRX4647489,0.0723023247,-0.017276316
SRX4647490,-0.0723023247,0.017276316
SRX4647492,-0.7936032029000001,0.0174212517
SRX4647491,-1.1857794908,0.0330899803
SRX4647496,-0.0716246661,0.0131198717
SRX4647495,-0.44357725140000004,0.024067791800000002
SRX4647499,-0.8607988694,-0.0549797319
SRX4647500,-0.5335102295,0.0555380176
SRX4647493,0.39867233160000004,0.0779655049
SRX4647494,0.24928355900000002,-0.0090120337
SRX4647497,-0.2555546949,-0.0804073524
SRX4647498,0.0581003747,0.15245586690000001
SRX4505482,4.6341500000000003e-05,-0.1869502832
SRX4505486,-0.319843494,-0.2401725713
SRX4505484,0.1874535758,-0.4242077636
SRX4505473,-0.1982038173,-0.2013755385
SRX4505476,0.0296800447,0.181649581
SRX4505480,-0.0872744383,-0.0280692934
SRX4505478,0.23216812950000001,-0.11769118370000001
SRX4505474,-0.1745737359,-0.035889103900000004
SRX4505483,0.2160208542,0.2511582573
SRX4505485,0.0356189887,0.1799563342
SRX4505487,0.4124466271,0.0649145273
SRX4505488,0.1476078641,0.1879281629
SRX4505481,0.8110916372,0.3101740422
SRX4505477,0.4753518937,0.2682173597
SRX4505475,0.6545078845,0.3697069818
SRX4505479,0.4329447105,0.2849944524
SRX4605773,0.123649646,-0.0420646645
SRX4605774,0.2164145744,-0.0648253631
SRX4605772,-0.0268998173,-0.111420762
SRX4605771,0.0268998173,0.111420762
SRX5178871,-0.2615875422,0.0990296269
SRX5178872,-1.3896635852,-0.1789454761
SRX5178868,0.6501470165000001,0.2148346615
SRX5178870,-0.18022774600000002,-0.2381145346
SRX5178869,-0.46991927050000004,0.0232798731
ERX1404045,0.0796522836,-0.19896578040000001
ERX1404046,-0.0796522836,0.19896578040000001
ERX1404043,2.4280592881,-0.0587059879
ERX1404044,-0.2239867965,0.1682161616
ERX237502,2.4545272095,0.5056795292
ERX237505,2.0287444137,0.5509080369
ERX237506,1.9397814958000001,0.6070548432
ERX237500,3.9188246943,-1.6226870197
ERX237497,3.4492143427,-1.3975403857
ERX237499,2.6663915751,-1.3108492828
ERX237507,1.0065343508,-0.0546527189
ERX237496,-1.3268730021000001,0.0764549728
ERX237504,0.3203386513,-0.021802253900000002
ERX3772318,0.16342163610000002,-0.4038692421
ERX3772320,-0.017197204,-0.3213216726
ERX3772319,0.1415062318,-0.4322190689
ERX3772321,-0.3531845578,-0.047680222200000004
ERX3772322,-0.12317235,-0.08615116440000001
ERX3772323,0.4763569079,0.13383138660000002
SRX4314262,0.2981846597,0.0796584498
SRX4314263,0.1953977375,0.08616317770000001
SRX4314261,-0.4935823972,-0.1658216275
SRX4314265,-0.6930743869,0.5751608994
SRX4314266,0.1828999351,0.4923502523
SRX4314264,-0.6312406805,0.39438927490000003
SRX4314268,-0.8223510313,0.475605331
SRX4314267,-1.2781051388,0.4294225022
SRX4314271,-1.3361109493,0.2019463236
SRX4314272,-2.8112694988999998,-0.0305562134
SRX4314275,-0.7747427763,0.29858280660000003
SRX4314274,-1.1897560784,0.3120882264
SRX4314273,-0.5385120496,0.0198432593
SRX4314278,-2.3023316329,0.2335399416
SRX4314276,-1.0602993017,0.0248123074
SRX4314281,-2.5262515054,0.1395554387
SRX4314279,-1.6967660473000001,-0.019589951600000002
SRX4314280,-1.091925195,-0.0697847014
SRX4314284,0.0513308348,0.058738748300000004
SRX4314283,-1.6097118282,-0.0192166446
SRX4314282,-1.4817131211,0.2161688061
SRX4314293,-1.5588380213000002,-0.0165687485
SRX4314292,-1.352889579,-0.5051485358
SRX4314291,-1.0845444662000001,-0.2124241576
SRX4314297,-1.4059817935,-0.6490122359
SRX4314298,-1.7520695752000002,-0.5830700817000001
SRX4314299,-2.2108379961,-0.6206478998
SRX4314302,-2.165761008,-0.6717410807
SRX4314301,-2.3339986129,-0.5270858659000001
SRX4314300,-0.9333956766,-0.6560456498
SRX4314305,-2.2558935094,-1.2244015592
SRX4314304,-2.6117281913,-0.7252710334
SRX4314303,-0.7570798396,-0.8973833735000001
SRX4314309,-1.9477420934,-0.6936764215
SRX4314306,-2.3429417438,-1.0652114864
SRX4314308,-2.7026195045,-0.6779956553
SRX4314307,-1.3261033859,-0.6139055284
SRX4314311,-3.0947826732,-0.8986113924
SRX4314317,-2.7980380615,-1.4659850406000001
SRX4314316,-2.0329372662,-1.7062850332
SRX4314318,-3.1872170785,-1.0426374098
SRX4314319,-3.6744220873,-1.2781946135
SRX4314331,-3.0639393098,-0.5032831994
SRX4314330,-2.0897031487,-0.5411289829
SRX4314332,-2.7036095828,-0.5411362938000001
SRX4314335,-2.5275165935,-0.6088757848
SRX4314334,-2.5601361951,-0.6228498304
SRX4314333,-2.255065917,-0.5931292871
SRX4314338,-2.3722487114,-0.48737820810000004
SRX4314336,-2.5191445759,-0.387425746
SRX4314337,-2.383221245,-0.4101336069
SRX4314339,-2.1041427288,-0.0053932799
SRX4314340,-2.0883738104,-0.189582413
SRX4314341,-2.1512260889,-0.1429324894
SRX3686762,0.41529149860000003,1.4024617171
SRX3686763,0.3514530373,1.3641848362
SRX3686761,0.3137380705,1.5158681658000002
SRX3686765,1.4461611643,0.2990568266
SRX3686769,-0.6070559111,0.4341297464
SRX3686766,-0.5471953897,0.3581652695
SRX3686768,0.782357253,0.36781184580000004
SRX3686764,-0.14809763310000001,0.3167530984
SRX3686767,-0.6398888587,0.3641983514
SRX3686788,-0.4062368041,-0.0640187669
SRX3686791,-0.3511038302,-0.028541534700000003
SRX3686792,0.0819669635,-0.12487872330000001
SRX3686793,0.5071337020000001,-0.19167378840000002
SRX3686790,0.2178073805,0.2791727299
SRX3686789,-0.0495674117,0.1299400835
SRX3686829,-0.2416966728,0.6043485153
SRX3686830,-0.3063424805,0.47544595500000003
SRX3686828,-0.4289347888,0.5257476683
SRX3686819,1.4276485942,0.5391652641
SRX3686818,1.4373363763,0.6513615702000001
SRX3686817,1.2542992983999999,0.77685556
SRX3686822,1.8319795126,0.15521786140000002
SRX3686820,1.5777333742000001,0.21414574930000002
SRX3686821,1.6982823899000001,0.1661084287
SRX3686743,2.1156086313,1.6432836626
SRX3686744,1.1807626167,1.5352793204
SRX3686745,2.0643959105,1.6157269901
SRX3686772,0.2266725433,1.1953251208
SRX3686770,0.6283859799,1.3376987374
SRX3686771,-0.0324438821,1.289959824
SRX3686794,-0.20632869750000002,0.24700139710000002
SRX3686796,-0.6131280557000001,0.5877165443
SRX3686751,0.3580823771,1.5308301205000001
SRX3686749,-0.203492692,1.5131317991
SRX3686750,0.33410911,1.6085868957
SRX3686778,0.0055827119000000005,1.3319628704
SRX3686777,0.246371461,1.2741423878
SRX3686776,-0.0481072846,1.2970029025
SRX3686800,-0.2468191015,0.5721153992
SRX3686801,-0.4110989843,0.5651555562
SRX3686755,-0.3850896446,1.3655794843
SRX3686757,0.1764253711,1.5048552416
SRX3686756,0.189616938,1.5692365479000001
SRX3686784,0.1187129532,1.1042941059
SRX3686783,0.1211290537,1.134326239
SRX3686782,0.4938482671,1.1529136754
SRX3686809,-0.8810383544,0.3480091718
SRX3686807,-0.6801112754,0.3183923589
SRX3686808,-0.5622759965,0.37975467760000003
SRX3686787,-0.14323028270000002,0.2699548197
SRX3686786,0.0001456681,0.42082776190000004
SRX3686785,0.09162995580000001,0.2408615539
SRX3686799,-1.0035704137,0.1983782168
SRX3686797,-0.9391756421,0.3136888444
SRX3686798,-1.0327593617,0.2458423999
SRX3686746,2.4107638074,1.4496925561
SRX3686748,2.5110680789,1.5151708456000001
SRX3686747,1.6153054016000001,1.3794181742
SRX3686773,-0.1991295458,1.1888899832
SRX3686774,-0.3081739493,1.0683887149
SRX3686775,-0.7110651171,0.9074874403000001
SRX3686754,0.8787163081,1.0651529731
SRX3686753,0.4551773197,1.0720112469
SRX3686752,0.1600792356,1.0535656379
SRX3686780,0.049124694100000005,0.5268678524
SRX3686779,0.128941169,0.5966557693
SRX3686781,0.0530390546,0.44040705690000004
SRX3686806,-0.6546191874,-0.13438021220000002
SRX3686805,-0.4452861658,-0.0372621662
SRX3686758,0.4319420798,0.76356262
SRX3686760,0.136078575,0.7847363636
SRX3686759,0.0886201098,0.6039360308
SRX3686810,0.1567556812,-0.3035742415
SRX3686811,0.1847392354,-0.4089887601
SRX3686812,0.032600008,-0.4775200671
SRX3686813,-0.2147040667,1.0168855358
SRX3686815,0.9746392651,-0.0247969426
SRX3686816,1.0653250013,-0.1290317729
SRX3686823,-0.4740426653,0.9350517278
SRX3686824,-0.6818587404,0.8477313365
SRX3686825,-0.5691645722,0.11198373260000001
SRX3686827,-0.199943965,-0.1342986301
SRX3686826,-0.1491707714,-0.1200807832
SRX7054191,0.0709811851,-0.32649241630000003
SRX7054189,-0.050750499000000004,0.3804013117
SRX7054190,-0.0202306861,-0.053908895400000004
SRX7054193,0.4021161586,1.1744148691
SRX7054192,0.7751348726,1.5477166913
SRX7054194,0.8785385658,1.5710139904
SRX4506284,1.8711398127,-0.7776580119000001
SRX4506280,1.5770781091,-0.8391080101
SRX4506282,2.0902409059,-0.7067179809
SRX4506278,1.596652779,-0.6238876379
SRX4506274,-0.2258519646,-0.081801998
SRX4506273,0.1984642892,0.020106919600000002
SRX4506271,-0.0065390928,0.0801276962
SRX4506276,0.0339267682,-0.0184326179
SRX4506283,-0.554215298,-0.6904965457000001
SRX4506279,-0.3465826251,-0.4676941674
SRX4506285,-0.5593479142000001,-0.5507614373
SRX4506281,-0.7576897922,-0.6045242246
SRX4506275,-0.2144698556,-0.4879404995
SRX4506277,-0.2476698317,-0.3909564827
SRX4506272,-0.015782508100000002,-0.4005509631
SRX2923393,-0.040141087900000004,0.0300343887
SRX2923394,0.040141087900000004,-0.0300343887
SRX2923398,0.48007292570000004,-0.9119550202000001
SRX2923397,0.0145608147,-1.3160718029
SRX2923395,1.1076394599,-2.4977334372
SRX2923396,0.9902396632,-2.831258825
SRX2923400,-0.12317517300000001,-2.2775640223
SRX2923401,-0.8639691103,-2.5505537897
SRX2923403,-0.22987798880000002,-2.0753851335
SRX2923402,-1.041387945,-2.4818225297
SRX6853288,-0.1227405597,-0.0887476207
SRX6853287,-0.0739016918,0.014177661400000001
SRX6853286,-0.0739852659,-0.0016404042
SRX6853284,-0.1726254136,0.0093991642
SRX6853285,-0.1754419109,-0.1141858461
SRX6853283,0.3480673245,0.1047866819
SRX4319040,-0.1976095339,0.0079491751
SRX4319041,-0.2341956422,-0.1255638808
SRX4319039,0.4318051761,0.1176147057
SRX4314613,4.4902196638,-0.8028412232000001
SRX4314614,3.3951092158,-0.684725973
SRX4314615,4.5915351885,-0.7770588350000001
SRX4314632,0.6958505251,-0.6301604746
SRX4314631,-0.2442093303,-0.5918372406
SRX4314633,-0.18853956,-0.7921874491
SRX4314622,2.6441783784,-1.1555993803
SRX4314623,3.1649141796,-0.9730414082000001
SRX4314624,3.072827429,-1.0663236891
SRX4314611,0.07217837690000001,-0.0530593238
SRX4314610,0.016961363400000002,0.0828853821
SRX4314612,-0.0891397403,-0.0298260582
SRX4314630,0.5743363751,0.025716729900000002
SRX4314628,1.2468706587,0.2689490855
SRX4314629,0.6119113885,0.1593011739
SRX4314619,0.8480471351000001,0.22472153
SRX4314621,1.4984975531,0.12550295320000002
SRX4314620,1.1567161333,0.2018570723
SRX7119390,-0.1638320931,-0.0231287786
SRX7119388,0.1638320931,0.0231287786
SRX7119386,16.8797059451,0.3501936941
SRX7119385,17.2476028613,0.22178067610000002
SRX7119387,16.4616073229,0.1679221951
SRX3746749,-0.6842726518000001,0.6447235848
SRX3746748,0.1191976025,0.38792851510000004
SRX3746751,1.0483563964,-0.9930916343
SRX3746750,0.6962791660000001,-0.20372249250000002
SRX3746752,0.08566706760000001,-0.0783603551
SRX3746753,1.7301280345999999,-0.8315392652
SRX3746755,1.2486537328,-0.2232157051
SRX3746754,-1.2486537328,0.2232157051
SRX2345943,0.0327394457,0.10874119880000001
SRX2345942,-0.0327394457,-0.10874119880000001
SRX2345941,0.8402317241,0.0292544712
SRX2345940,-0.053830472500000004,-0.21101423530000002
SRX3992217,0.3847915123,-0.1998275266
SRX3992216,1.1399524347,0.17478112510000002
SRX3992214,-0.7572531251,0.6688181974
SRX3992215,-1.6192837779,0.07189224500000001
SRX3992221,-2.1117045521,-0.060953962900000005
SRX3992220,-1.4283749895,0.41692581980000004
SRX3992219,2.4185770876,-0.4877050469
SRX3992218,3.8513176398,-0.8078695724
SRX3992201,3.8992809762,-0.7487326814
SRX3992200,2.4312773267,-0.7341622442
SRX3992198,0.0754214862,-0.301157601
SRX3992199,1.1455540368000001,0.1825962153
SRX3992202,0.5365181991,0.1925136878
SRX3992203,-0.3983914756,-0.22066925
SRX3992204,0.0538412408,1.1832066919
SRX3992205,-0.44593640630000003,0.5731931987000001
SRX3992206,0.3081868658,1.1579456533
SRX3992207,-0.5296200798,0.4648091026
SRX3992209,1.4804678892,-0.5727848797
SRX3992208,2.9142236303,-0.43248825960000004
SRX3992212,2.766885219,-0.4044602383
SRX3992213,1.4768663601,-0.5347276938000001
SRX3992210,0.4810973911,0.2644481501
SRX3992211,-0.4810973911,-0.2644481501
SRX357084,-0.1718722674,-0.0014332779
SRX357083,0.1718722674,0.0014332779
SRX4647134,-0.9784227950000001,-0.7176515561
SRX4647137,-0.5023700680000001,-0.222110209
SRX4647136,-0.7128254897,-0.6407889050000001
SRX4647135,-0.6864350359,-0.7123828054
SRX4647139,-0.0651998317,0.0043391355
SRX4647141,0.1369656826,0.006946955
SRX4647140,0.1183438076,-0.0079588872
SRX4647138,-0.1901096585,-0.0033272033
SRX4647128,-0.8013960606,-0.0715013561
SRX4647127,-0.6485461133,0.0062258196
SRX4647129,-0.7689623837,-0.10502641200000001
SRX4647126,-0.7646391657,-0.058687311400000004
SRX4647133,2.0044531703,-0.4158573128
SRX4647132,2.0089056742,-0.5394348488
SRX4647131,1.7682921037,-0.4302321443
SRX4647130,1.8560491977,-0.5048159207
SRX6923924,-0.1320463859,-0.5472546758
SRX6923925,-0.6954404529,-0.502366771
SRX6923923,-1.292458541,-0.8110004194
SRX6923922,-0.5063084812,-1.0322387393
SRX6923939,0.1213539114,0.009345021700000001
SRX6923938,-0.1213539114,-0.009345021700000001
SRX6923936,-1.0743337149,-0.2999936834
SRX6923937,-0.7812296668,-0.39548582130000004
SRX5509428,-0.28139039520000003,-0.07725220590000001
SRX5509427,0.28139039520000003,0.07725220590000001
SRX1882560,3.1601262237,1.5835925356
SRX1882558,2.9155857887,1.6992457541000001
SRX1882559,2.9276503818,1.6364401881
SRX1882561,1.9866447779,1.6462719799999999
SRX1882563,2.0825866434,1.4959737805
SRX1882562,1.9732536957,1.504948103
SRX1882565,2.1014702783,1.7058877244000001
SRX1882566,2.0720886349,1.7002894604
SRX1882564,2.1382473481,1.6662147643
SRX1882568,1.6331619526,1.6409525953
SRX1882567,1.5899590818,1.5571109715
SRX1882569,1.8839262039,1.5406386739
SRX1882555,-0.22636450100000002,-0.026608364000000002
SRX1882557,-0.1084793705,-0.0084414508
SRX1882556,0.3348438715,0.0350498148
SRX5088615,-0.5776577426,-0.5292551561000001
SRX5088616,0.1289561606,-0.3586440184
SRX6845150,5.6503392074,-0.8598537152
SRX6845149,5.7763542162,-0.3998517066
SRX6845151,2.4050887644,0.060572626500000004
SRX6845152,2.0130998764,0.0553396882
SRX6845145,6.283787379,-1.1778379513
SRX6845146,6.426318891,-0.9656261153000001
SRX6845142,1.159000062,-0.8784801602000001
SRX6845141,0.2965085146,-1.1258274456
SRX6845144,0.1192611637,-0.0965258591
SRX6845143,-0.1192611637,0.0965258591
SRX5605051,0.0423665422,0.035795835000000005
SRX5605045,-0.0423665422,-0.035795835000000005
SRX5605060,-1.2335357139,0.5765334831
SRX5605059,-0.5914304312,0.1066047566
SRX2382017,0.21836732120000002,-0.1143515409
SRX2382024,-0.21836732120000002,0.1143515409
SRX2382027,-0.10945777840000001,-0.4403301483
SRX2382029,-0.2740172424,-0.4504111005
SRX2382217,-0.2870437525,-0.0818782062
SRX2382023,-0.6843422761,-0.3222134374
SRX2382218,2.0789226474999998,0.17325865980000002
SRX2382219,1.6982315752,0.0263973869
SRX2382213,-0.8404050041000001,-0.6486822752
SRX2382019,-1.4587959314,-0.41611485330000003
SRX2382214,1.9421227617999999,-0.2915118189
SRX2382215,0.7019771934,0.0017498522000000002
SRX2382020,2.0000731199,-0.2891058467
SRX2382216,2.2348497636,-0.3191767721
SRX2382022,2.2242409978,-0.0592721931
SRX2382033,-0.2397526557,0.0030934299000000003
SRX2382220,2.2357742254,-0.8817208364
SRX2382222,2.0142993613,-0.8306866783
SRX2382030,4.5533100318,-0.6082768055000001
SRX4506350,0.1984649615,0.24506025990000002
SRX4506352,0.3449128938,0.2124672166
SRX4506354,0.7046879601,0.3107174223
SRX4506348,0.07325212910000001,0.018226756400000002
SRX4506346,-0.0177750966,-9.45272e-05
SRX4506344,-0.0554770325,-0.018132229200000002
SRX4506351,1.5485004474,0.8412903725
SRX4506353,1.5670639732,0.7314070679
SRX4506355,1.7033869726000002,0.8059060527
SRX4506349,0.7159758046,0.9179060873
SRX4506345,0.6401692662,0.9004415791
SRX4506347,0.5906974612,0.8072622894
SRX4514122,-0.020856669600000002,-0.4111894847
SRX4514124,1.6939812395,0.6805969179
SRX4514126,1.6940375632,0.6610155528
SRX4514120,-0.11123711500000001,-0.2032132312
SRX4514112,-0.6917728309000001,-0.7305549130000001
SRX4514116,0.5619425418,0.5921335134
SRX4514118,0.8237486547,0.6963871844
SRX4514114,-0.6939183657,-0.5579657847
SRX4514121,-0.0294262991,-0.28751353300000004
SRX4514125,1.4388876252,0.6448076479
SRX4514127,1.6833453283000002,0.5939355987
SRX4514123,-0.1531009206,-0.41406141890000003
SRX4514115,-0.5567227108,-0.5425919137
SRX4514117,1.1055886773,0.6358725717
SRX4514113,-0.46844629990000003,-0.6368363309
SRX4514119,1.0883562178,0.7090007107
SRX958308,1.2624843775,-0.3770812262
SRX958306,-0.38797565770000003,-0.29293690840000003
SRX958307,1.4980124703,-0.471324357
SRX958313,-0.0717447107,0.18825473040000001
SRX958312,0.2300744869,0.0997170232
SRX958314,-0.1583297762,-0.2879717536
SRX958320,1.5539147243,0.17943867160000002
SRX958318,2.1486200094,0.2139326685
SRX958319,2.2380886015,0.460177241
SRX958323,-1.1086720992,-0.25262247120000003
SRX958322,-1.8608726897999999,0.0194906483
SRX958321,-1.30370658,0.06747862510000001
SRX958310,-0.49667364280000004,0.3284944499
SRX958309,0.3590116501,0.5602487935
SRX958311,-0.7239248789,0.028126672300000002
SRX958317,0.7380273373,1.3718908876
SRX958315,1.3814285739,1.5086216332
SRX958316,1.5268326440000002,1.4730137885
SRX958324,1.6720713092000001,1.1426442602
SRX958325,1.8076586979,1.0424263935
SRX4498322,-0.0070758495,-0.1410764616
SRX4498318,0.2191152366,-0.0034936459
SRX4498320,0.4168537966,0.0681397985
SRX4498316,0.0597430716,-0.0981973033
SRX4498312,-0.1545731138,-0.0597093628
SRX4498308,0.055502715800000005,0.038994486700000004
SRX4498314,0.0370108395,0.0185570086
SRX4498310,0.0620595585,0.0021578675
