,0
gene_id,Rv3098A
name,Rv3098A
operon,Op1944
gene_product,PemK-like protein
COG,Signal transduction mechanisms
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv3098A"">External Database</a>"
