,0
gene_id,Rv0979A
name,rpmF
operon,Op634
gene_product,50S ribosomal protein L32
COG,"Translation, ribosomal structure and biogenesis"
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0979A"">External Database</a>"
