,-0.18936888916582761,-0.16023521390954645,-0.1311015386532653,-0.10196786339698413,-0.07283418814070297,-0.04370051288442181,-0.01456683762814065,0.014566837628140511,0.04370051288442167,0.07283418814070286,0.101967863396984,0.13110153865326513,0.16023521390954631,0.1893688891658275,0.21850256442210864,0.24763623967838977,0.27676991493467096,0.30590359019095215,0.33503726544723333,0.3641709407035144
thresh,-0.08740102576884351,0.08740102576884351,1,,,,,,,,,,,,,,,,,
unreg,1,1,2,4,8,45,1893,1902,40,2,2,1,1,0,2,0,1,1,0,0
unreg_genes,['Rv1042c'],['Rv1313c'],['Rv1041c' 'cysA2'],['Rv0094c' 'PPE19' 'esxJ' 'Rv1588c'],[],[],[],[],[],[],['Rv3467' 'esxK'],['Rv3115'],['Rv1047'],[],['Rv3118' 'Rv3798'],[],['cysA3'],['Rv1149'],[],[]
