Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Rv0001,0.014549044058412494,-5.372524520183514e-05,0.009106784056838452,-0.0008192634542075198,0.015760076759627505,-0.0035591913178469325,-0.028901798374244433,-0.008032344821662676,0.004441982941467539,0.0009200940500047463,-0.00314669965390589,-0.008461038493685851,0.01232813565534307,-0.017200888991633287,-0.009071069180932347,-0.014861031219727445,-0.010582153712325399,-0.0079353979505571,-0.0033676366333159824,-0.008318573226129113,-0.013582970417959805,0.008954009985506217,-0.010815947915811424,0.011008244396545942,0.01300399509913491,-0.011776356567029444,0.01173731403165525,-0.005794212730718629
Rv0002,-0.0021994678094032633,-0.0035793777183403186,0.007828786674123355,-0.01181526200852221,-0.0031939291977757804,-0.0037570434634863364,-0.005245666131423455,0.0036731270112357116,-0.02216742018946527,-0.014379147111129894,0.0029121217663563557,0.0073717520346188205,0.00041589720828584027,0.00010545218957499773,0.0012641150585181863,0.007065623904700285,0.003143980510904771,-0.0016549430937421131,-0.0046084705909775845,0.00530093733323008,-0.007660206015935994,-0.006051331307706075,-0.006430133161076793,0.029583092935055042,0.02850685251366914,0.005310361441063113,-0.0008875938316212092,0.0044410424760714905
Rv0003,0.0013325935603815077,-0.007547890106411436,-0.003657185326234183,-0.014943975325423544,-0.0022737737745270577,-0.01161825331726257,0.008672142251863276,0.00709969407648714,-0.023461354009955016,0.021243982117169945,0.006706135899677645,0.00870493284485452,0.014244552814238531,-0.009856916809553147,0.004310883335458452,0.013555727086653927,-0.013315250527804324,-0.007141081325922873,-0.013408892213179393,0.008195725120283848,-0.0027486826143281653,0.0037004068343530344,-0.014543191678747276,0.0185862733786877,0.039178307467174836,-0.004725418352853194,-0.014409249244155065,-0.005877223447150813
Rv0004,-0.003600226497540267,0.0017691026704699804,0.002376987809066113,0.00830643454545784,-0.00453028181728197,-0.014352079721098759,0.00691542953404946,0.011193158563412266,-0.0012660541993836578,0.007669343103332353,0.020864236693954204,0.008197952651127886,0.007779174051946182,-0.007459510478497412,0.013102904485844951,0.0066288038304432185,-0.01300960852819286,-0.003937161543553793,-0.010157934499238184,0.012485336420775393,-0.0032468691142463323,0.0033860712995865895,-0.0025742038399744153,0.0036460344596531474,0.012851292111259242,-0.004299743665442753,-0.005181013499763205,-0.014131206767379709
Rv0005,-0.0038495955867316797,0.006439555129233635,0.007289355083688287,0.002179259841995417,0.01724275966440633,-0.008732736884417933,-0.006727948215400775,-0.005148425520527855,-0.007294538334122774,0.0026809383095445487,0.0022145562042806327,0.000469797703162087,-0.007841811152030335,0.02215762036080263,-0.007229146952223125,-0.02170126237850828,0.00018851264681740926,-0.0019030650294593052,-0.012482622413616237,0.014561362203581254,-0.01661019938649423,0.0029879166853727076,-0.005137493560597519,0.02127911763643695,-0.0007756135278608349,-0.0013612158106012127,0.006749845468757305,-0.0036107229353075565
Rv0006,0.0009970650852658552,-0.008480726585963308,0.0037325169482658725,0.006126451491643782,0.014955408296495814,-0.007704710938367182,-0.004665620968616881,0.003018919651035444,-0.01093077007825608,0.007075566425770753,0.012602665814156016,0.004646413558992204,-0.0034689537025820614,0.02771961753547074,-0.010544188487195913,-0.026533964377445186,-0.007766717670562192,-0.003226961195217067,-0.00871636630972409,0.014214716841702757,-0.00650610745168826,-0.007112187233774206,-0.011508306401009982,0.010839689191242384,-0.00496965426620724,-0.003990112276202868,0.004139201159249238,-0.0008799650751473204
Rv0007,0.0068600410427387916,-0.005668121667073144,0.005142473870028295,0.013967641673689624,0.0025715054043219123,-0.015302374507213405,0.003984767413685736,-0.0022538275787685304,0.0019007974855364848,-0.006313051661899815,0.010634204778085138,0.00047252592442662174,-0.002790555167358999,0.023789686725101743,-0.00748962800781837,-0.031276758458556056,-0.005520184386263926,-0.003143811856985598,-0.011651626881563822,0.011322875668155452,0.003039702669301389,-0.0015454973971006213,-0.006127629185319952,0.010890120706399303,-0.019227115230534317,-0.006388066082007506,0.0043580619219974045,-0.0009908311893364822
Rv0008c,0.006784972545719617,0.003760104200980376,0.018482336231391065,0.00865715859950949,0.006513145101273016,-0.008069009618460923,-0.012958730042393602,-0.018776447165424263,0.04124047103921659,-0.015625026592625314,-0.004010660743356865,0.0012053167156642643,-0.010478852214616252,0.0014748522428854821,0.00395303821777514,0.009614209431391631,0.002081204061902838,-0.0054999692836427295,-0.008544965751595279,-0.0008602847931547705,-0.005127961288310696,-0.0008190498940947162,0.007274478018772532,0.002207300195607022,-0.025201369658082135,0.012380424984915083,0.0037615617690366257,-0.0010982300198583068
Rv0009,-0.003107968305417981,-0.008390320355857862,0.008784842232379382,-0.004206312289721316,0.00934598608367383,0.008060613727834943,-0.014443191738735072,-0.007430589454984917,-0.010887379404830113,-0.0019985222793148377,-0.002523301658915025,-0.018764033153645047,-0.01227269281905896,-0.01736313088794984,0.0008452094030284575,0.017720176199045472,0.0023266407445510944,0.004773296822706243,0.004910518715654823,-0.0009560782600959858,-0.0013861633445300255,-0.010932774569660372,-0.0003068132033387982,0.0477325237846337,0.0025099817225774424,-0.016797996405355942,0.00983559346918815,-0.00546670492319487
Rv0010c,-0.003607017981124389,0.00529348499184483,-0.006875254965817168,-0.006423145116972091,0.007201489333128987,0.003571015774311173,-0.00872864694661852,-0.0045371982957771355,0.016492762632011534,0.010180593211036183,0.007525063690214082,-0.009573428881159298,0.005262855032264207,-0.023963811423325935,-0.0001222319030087336,0.02498032210118945,-0.005397571637398291,-0.005070358159066369,-0.008641894535269968,0.002963369052010877,-0.014530193282007296,0.009378254261844096,0.007401208239292927,0.03141555046305307,-0.011308001005083782,-0.0034261453903966137,0.0086549840231637,-0.006440794412206975
Rv0011c,-0.0002090170223102454,0.00464293272474202,0.003227676179294428,0.004430149010324135,0.02002727308206948,-0.0018655676321176554,-0.01215393170001492,-0.011387624178424703,0.013728941217374762,-0.009769483312812138,0.02428385602984785,0.011000410734917978,-0.005324267458714642,0.002942757101018452,0.007415764861432705,0.005958920921781269,0.003733595338418624,4.018187812062364e-05,-0.0039664779671271825,0.0008322990014831145,-0.008653466536587821,-0.018051866614262252,-0.008776617470421313,0.012356449432854839,0.01209198072525734,0.005910023280277599,-0.01785853567623246,0.006635950117492907
Rv0012,-0.002647604527643259,0.0015393860705455406,0.013752305511694238,0.003506265645296254,-0.0027948200761331475,-0.006194104426468419,-3.6091598575985292e-06,-0.003892821754895546,-0.006257428447704812,-0.00011871956760091549,-0.007592096752326614,0.011161980206157792,0.004338528339864439,0.0011936956585802442,0.021788489812868853,-0.0018315533715023084,3.1060580652678965e-05,-0.002685625329516475,-0.015724236408234154,-0.002392197401104587,0.009800391776769416,-0.0004527928255305899,-0.0053073332951281285,0.00506252223343142,-0.003320620408976073,0.01120331959887631,-0.007890645325605983,-0.011594263573170317
Rv0013,-0.003763750820367084,0.0013472374611196247,0.009174094477884902,0.004591188229127272,0.0021585793081491415,0.0015104999682572229,-0.0072388760192776645,-0.018415445883824866,-0.004954168085249391,-0.008648110510701343,0.016912140165324843,0.005911975100155509,-0.00040387837085669576,-0.009773791998159061,0.005746408636167965,-0.01544202644612895,0.003102601663656694,-0.003580514580784881,-0.006011341191094817,-0.011423191579278761,-0.003632219267957216,-0.0012915900374755632,-0.015745710854609143,-0.0019443914521503716,-0.0032662307568903717,0.009948743063350774,-0.016879804651695543,-0.0035048572957938604
Rv0014c,-0.0022999994551434334,-0.0015358789813415034,-0.003586276802505849,0.004897156030848237,0.0018017075902291321,-0.004818129324539665,-0.004499052185788905,0.0009423255875573964,-0.0004553461726177679,0.002059729496575681,0.013448905867922583,0.010728449559076468,0.015452895422418837,-0.013868524089789995,0.003947734438492585,0.0007891648323931209,-0.0051818225087819116,-0.002790719276958399,0.000514113960008626,0.004617147044014561,-0.011167104485789399,-0.009628167477740866,-0.00934441432421369,-0.008900827626004366,0.0022678636065307195,-0.005620103535601523,0.007883469819704681,0.006565254172373281
Rv0015c,-0.003857510309157973,-0.013105467671250835,0.00376416448798655,0.0019691470506480765,0.00925975230149105,0.0009376583215245832,-0.0050138178980884554,0.006979438819060569,0.00646553739605272,-0.007118506726912436,0.009291774158262274,-0.0006018857629876721,0.007529343448901754,-0.0076714990449573035,0.002660598518093124,0.006371167736386926,-0.004685674116677975,-0.0004956293430752205,-0.0038639213011270367,-0.00368487545567204,0.0028081539947942876,0.0010516288486714786,-0.018902680320643416,-0.009702740945736267,-0.0017071824609233113,-0.020793877007015023,0.002031880582986714,0.01505597689288719
Rv0016c,-0.0029333245504323856,-0.008984441161506183,-0.003483475312578397,0.005876864128686083,-0.00377067224117198,-0.00013888669360856288,-0.005938246996619153,-0.003999901226881947,-0.01938981799525364,0.0024713345169315704,0.0006901873568142981,-0.0023682718736256106,0.0040920378270736775,-0.017284907220270384,-0.0016591712636155778,0.003382510703973226,-0.00972238228423184,-0.0027584334304679788,0.0031807557516718055,-0.005600703888741319,2.47379749388382e-06,-0.005538595258297561,-0.02231881328785022,-0.014915331038475062,0.004864528261402088,-0.014069914051666453,-0.004429515102252169,0.02201676101891743
Rv0017c,0.0012445849117546758,0.006980096139202037,-0.0013623367550594978,0.0008547567395107826,-0.007452505404319976,-0.007813530860603934,-0.0039069248336141334,0.005999566347369807,-0.01972844799459402,-0.008922581699232473,0.007384205318051911,-0.0023931209013013884,0.00392288470368429,-0.015115149791462452,-0.006135766423317444,-0.0005503752619639088,-0.009752853901596687,0.0017379022489792764,0.0058603912685990765,-0.0050631250288720045,-0.010769737038776019,-0.008855806990149843,-0.02102128499152976,-0.011822817958390597,-0.0012128308115851867,-0.00691864651175956,0.01115343276785472,0.008518134851478336
Rv0018c,-0.002303825847572109,-0.005643357410026845,0.009813141371030124,-0.0048845588058950085,0.005225822543711568,-0.003551166610941843,-0.0050333548600819756,0.009722870477077768,-0.014147222781797529,-0.001256402439595044,-0.0022177698595111637,0.003730357514895645,0.007072962939674799,-0.008032645630827184,-0.0022641525532474563,-0.014486105199270152,-0.004997491706146742,-0.006667318459926833,-0.0034532585562344594,-0.0028386304297067606,-0.00011996422010574829,0.0012026247909313094,-0.018738900610346765,-0.009997625968732696,-0.004667902659541447,-0.014559600541971082,-0.0013537600530161582,0.007608013943597929
Rv0019c,-0.001758689073151386,-0.009105093902161892,0.014874387492612866,-0.012678819202305612,0.012907029656497395,-0.001595976359094638,-0.006958951510603823,0.004300506490102497,0.0005888884295951092,-0.0002931841305117091,-0.010216243475240654,0.008431379826390866,0.00043729887621748667,-0.009960272812554974,0.0024141395022878004,-0.015394387716029608,0.0021447419066320207,-0.005187077861495553,-0.008785502072660135,0.0020721116711664386,0.010207065462922507,0.00040995101883108364,-0.019555046697449854,0.002923481166701991,0.005717740223744736,-0.003763224916756576,-0.011726011526658729,0.002093900117533604
Rv0020c,-0.00036516760274601066,-0.005338824326790839,0.0009914944513060798,0.005831631176750227,0.00845227146841988,-0.004319794580353267,-0.00937519567228466,0.0018830861703589257,-0.009027482558737742,0.0006153887514379958,-0.009139170520705873,0.004572043052285376,-0.0029208488702264397,0.002704180989755478,-0.00043449875801847043,-0.00036182078393408014,0.001970179523817507,-0.006177462821884273,-0.006808359202343534,-0.0012803779651655973,0.0074673686388246445,-0.0025754271181510323,-0.01390308530756857,0.00421778241817813,0.004380146298776574,-0.002073868548721084,0.00412142970712049,-0.0023118170108869037
Rv0021c,0.006253623148208028,0.016732858436482218,-0.0017523846501873756,-0.0128308193339216,-0.02969462298218125,0.0009892081688479978,-0.011108948079443,0.0009062490599876416,0.02511559860020206,-0.0024777481402356825,-0.014095388167966098,-0.001665334208652255,-0.011930771084940275,-0.030810576097476807,-0.004171508992240288,0.002432739264943185,-0.009347135195699848,-0.006091491497693866,-0.004931771482257508,0.0111863554509239,0.016774493533425073,0.019753039051368326,0.008981368435965783,0.009961773650753042,-0.007030705597747383,0.0003040401635857915,0.012308196898446049,-0.010594446649960223
Rv0022c,-0.009061899858265386,0.03195037193652827,-0.012653271230753525,0.012842630039427804,-0.04464535197675598,0.006486369647715414,-0.012211873046196801,-0.002333811038295065,0.026225185635935046,-0.013725989648697402,-0.01230624705809656,0.02270952297363398,-0.009493101661635365,-0.046681514403936746,-0.004950672679340948,-0.004153195558952411,-0.001597490448079597,-0.0070589256697924175,0.003833204802437804,-0.014367521269851982,0.022754247447416113,0.033601814817160416,0.0828939800663251,-0.005417218118239375,-0.01302519995360672,-0.0017554031898498917,-0.01079569060337187,-0.006360589979289752
