,0
gene_id,Rv0078A
name,Rv0078A
operon,Op55
gene_product,hypothetical protein
COG,Function unknown
regulator,"Rv0081,csoR,whiA,cmtR,devR,Rv3249c,kstR"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0078A"">External Database</a>"
