,-0.09638950955149866,-0.04819475477574933,0.0,0.04819475477574933,0.09638950955149866,0.144584264327248,0.19277901910299733,0.2409737738787467,0.289168528654496,0.3373632834302453,0.38555803820599466,0.433752792981744,0.4819475477574933,0.5301423025332426,0.5783370573089921,0.6265318120847414,0.6747265668604907,0.72292132163624,0.7711160764119893,0.8193108311877386
thresh,-0.072292132163624,0.072292132163624,1,,,,,,,,,,,,,,,,,
unreg,2,85,3715,97,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unreg_genes,['PE9' 'Rv1669'],[],[],[],['Rv0979c' 'Rv1805c' 'Rv3312b' 'Rv1735a' 'Rv3471c' 'Rv1228a'],[],[],[],[],[],[],[],[],[],['kdpF'],[],[],[],[],[]
