,0
gene_id,Rv3667
name,acs
operon,Op2288
gene_product,acetyl-CoAsynthetase
COG,Lipid transport and metabolism
regulator,Rv1816
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv3667"">External Database</a>"
