,A,ideR,whiB4
SRX4647147,0.0165567788,-0.08793373260000001,0.1916022127
SRX4647144,-0.1167527829,0.0074260768000000005,-0.0333145381
SRX4647143,0.0234945111,-0.0371667713,0.0341165381
SRX4647142,0.0932582717,0.0297406945,-0.000802
SRX4647155,-2.3098060142,-0.0266883298,-0.18779066290000002
SRX4647152,-2.7999423895,0.2032679538,-0.26227963730000003
SRX4647153,-2.7601333508,0.2016630067,-0.1795792009
SRX4647154,-2.2051495028,-0.0492157187,-0.0649672062
SRX4647148,-1.0851941287,-0.4093023799,0.0129176264
SRX4647149,-1.3346055453,-0.3046617384,0.0406213722
SRX4647151,-1.2969529180000001,-0.26285706200000003,0.045493569000000005
SRX4647150,-1.5461593443,-0.2235033457,-0.0223102757
SRX4647123,0.0548935981,-0.0027674265,-0.0769830463
SRX4647124,-0.0403758979,-0.0191376344,0.0538248528
SRX4647125,-0.0145177002,0.021905060900000002,0.0231581935
SRX3103185,-4.5658578594,0.2450445332,0.11127277390000001
SRX3103189,-1.8311792545,0.21064467180000002,0.256080686
SRX3103187,-3.9887286999000002,0.0371880944,-0.09737164520000001
SRX3103184,-2.2333978703,0.0704718222,-0.1083070264
SRX3103188,0.873050277,-0.0188268361,0.1481063719
SRX3103186,1.3603475933,-0.051644986100000005,-0.0397993455
SRX1372110,-1.1436325818,0.0736124472,0.2966122858
SRX1372111,-2.1458215206,-0.08724019999999999,0.1194533747
SRX1372108,0.1661265317,-0.0578754369,-0.1665335362
SRX1372109,-0.1661265317,0.0578754369,0.1665335362
SRX4506085,0.2788773933,-0.0714338141,0.1854338778
SRX4506083,0.4225556454,-0.0449330986,0.1717509632
SRX4506089,0.0789828171,-0.0702423345,0.0650451508
SRX4506087,-0.0636587037,-0.033976713900000004,0.0189393448
SRX4506077,0.054589797600000003,-0.0151935974,0.0272742646
SRX4506079,-0.3706143126,0.037908020300000005,-0.0715417067
SRX4506075,0.6477639786,-0.061610224000000005,0.0908714042
SRX4506081,-0.3317394636,0.0388958011,-0.0466039621
SRX4506084,1.1401920306,-0.3251915074,0.28739369670000003
SRX4506086,1.6136376983,-0.44369170620000004,0.2974874265
SRX4506088,1.4890592613,-0.3863214183,0.2851937748
SRX4506090,1.0019784023,-0.3780586353,0.0572041297
SRX4506078,-0.32695758210000003,-0.2778792799,-0.056758668500000005
SRX4506080,-0.43787841980000003,-0.3339802042,0.0092934622
SRX4506082,-0.3616733164,-0.2246823252,0.05207615
SRX4506076,-0.33679739200000003,-0.2046765122,-0.0064268647
SRX5352221,-1.4351947737000001,-0.2919548254,-0.6225413434
SRX5352223,-1.5935725444000002,-0.3047195203,-0.7724139044
SRX5352222,-0.6654822968,-0.1647264738,-0.41645212200000004
SRX5352229,-0.7556338938,-0.25095087650000003,0.5072878209
SRX5352227,-0.0937192397,-0.2585457454,0.4572301662
SRX5352228,-0.4122957962,-0.2547647819,0.3378645111
SRX5352231,3.2555118482,-1.3477312124,-2.4702638193
SRX5352232,3.4637136864,-1.0281976252,-2.4250774222
SRX5352230,2.764647752,-1.2742416064,-2.8338575925000002
SRX5352225,-1.2871738879,0.0100045793,-0.062160549600000004
SRX5352224,-1.7588363159,0.1509444722,0.3353559468
SRX5352226,-3.2161017669,-0.222477365,0.1277133465
SRX5352220,-0.022110079,0.023659582300000002,-0.0662699514
SRX5352219,-0.10907282580000001,0.0116308356,-0.071651585
SRX5352218,0.1311829049,-0.0352904178,0.13792153640000002
SRX4498228,-0.2322244203,-0.0027188175000000003,0.075827103
SRX4498224,0.5459454098000001,-0.1595229663,0.0646355044
SRX4498230,0.0758662627,-0.1799320827,-0.08029876700000001
SRX4498226,0.26387218290000003,0.0429199675,-0.1146688486
SRX4498218,0.1505958701,0.0075500321,-0.0414040303
SRX4498216,-0.8364233489,-0.0122452983,0.0633128745
SRX4498220,0.2120246153,0.0903052162,-0.0724113947
SRX4498222,0.4738028635,-0.0856099501,0.0505025505
SRX4498225,0.2530171137,-0.33972445100000004,0.6052197221
SRX4498227,0.0046373560000000005,-0.3083711437,0.7463306322000001
SRX4498231,0.06406650130000001,-0.3366167331,0.5703155824
SRX4498229,-0.034375409600000004,-0.3548876462,0.6025915908
SRX4498217,-0.054991329000000005,-0.1740865647,0.5124056387
SRX4498221,0.3459932222,-0.2671303801,0.5444533989
SRX4498219,-0.0419991179,-0.2132325481,0.4676572855
SRX4498223,0.1977202302,-0.2688347911,0.5145138915
SRX5079928,0.0783800979,0.0880205766,-1.094094688
SRX5079930,-0.6427195176,0.1302027578,-1.0987230935
SRX5079929,-0.1208537662,0.3716905372,-1.0532563227
SRX5079923,1.0233617118,0.1654013627,-0.4531397941
SRX5079924,1.0340079083,0.0500854181,-0.41776176260000003
SRX5079922,0.7730060411,0.24496890610000002,-0.561672315
SRX5079920,0.0714020327,0.06548569380000001,0.0803928126
SRX5079921,-0.1699978994,-0.0450863778,-0.0609508543
SRX5079919,0.0985958668,-0.020399316,-0.0194419583
SRX5079926,0.5067557066,0.0616972194,-0.9949990028000001
SRX5079925,0.42309161970000003,0.1821235217,-0.9943848033
SRX5079927,0.2890322259,0.042134917,-1.0952559045
SRX894005,-7.7731060628,0.5048843439,-0.030079801700000002
SRX894004,-8.8967455425,0.5371883728,-0.4051112448
SRX894006,-8.5431116947,0.49364810270000004,-0.49478950660000004
SRX893999,0.7950348352000001,-0.28975625,0.2566252958
SRX894000,0.2816424314,0.1951728057,-0.0745679387
SRX893998,-1.0766772666,0.0945834443,-0.182057357
SRX4647489,0.2172603506,0.09023132290000001,0.0356517081
SRX4647490,-0.2172603506,-0.09023132290000001,-0.0356517081
SRX4647492,0.00029494090000000003,0.107927585,-0.0204975814
SRX4647491,-0.6003074611,0.2932038101,-0.0751349744
SRX4647496,0.9544308730000001,-0.0452079435,0.23050143320000002
SRX4647495,0.5916163599,0.0063997169000000005,0.0739877109
SRX4647499,-0.2837597774,0.17426232490000002,-0.1385207252
SRX4647500,-0.036689714000000005,0.0503645021,0.05614519900000001
SRX4647493,0.1302664124,0.4346774571,-0.2281790809
SRX4647494,0.3492848492,0.2274683518,-0.0188038167
SRX4647497,0.2044520688,0.0714637067,-0.1208677216
SRX4647498,0.7920793392000001,-0.07373819999999999,0.1737333073
SRX4505482,0.4698743839,-0.0296118509,0.0685207348
SRX4505486,-0.5248788778,0.1660595451,-0.22565921900000002
SRX4505484,0.6475081899,-0.0458455226,-0.1721913593
SRX4505473,-0.42506191190000003,0.1287882777,-0.2530045774
SRX4505476,-0.136849842,-0.0884603013,-0.0030708536
SRX4505480,-0.39477713940000003,0.166528916,-0.1849241919
SRX4505478,0.0096074983,0.1101661074,0.0864470425
SRX4505474,0.5220194831,-0.1882347221,0.1015480029
SRX4505483,3.2199355593,0.7916017189000001,-0.38158138750000004
SRX4505485,3.2092977195,0.7469161372,-0.32862970900000005
SRX4505487,3.6609603257,0.7460180288,-0.2990573307
SRX4505488,2.9742222514,0.7363121638,-0.4314785464
SRX4505481,3.8768914306,0.5886423649,-0.4439247154
SRX4505477,3.363209455,0.6978918233,-0.5194503488000001
SRX4505475,3.4625938767,0.6454007542,-0.7482583888000001
SRX4505479,3.8516528724,0.5525599763,-0.46262671720000004
SRX4605773,0.5826168121,-0.0643954026,0.0297425734
SRX4605774,-0.0500070385,0.0015583416,-0.0234107872
SRX4605772,0.14936419450000002,-0.0906527597,0.014691560800000001
SRX4605771,-0.14936419450000002,0.0906527597,-0.014691560800000001
SRX5178871,0.5704615154,0.052181983300000005,0.1949827228
SRX5178872,0.3281761897,0.3335103971,-0.0632520911
SRX5178868,0.7705281649,0.0163601076,0.2607521937
SRX5178870,-0.3242120753,-0.0424497317,-0.1938064286
SRX5178869,-0.4463160896,0.0260896242,-0.0669457651
ERX1404045,-0.34575988620000003,-0.1355218394,-0.1624999581
ERX1404046,0.34575988620000003,0.1355218394,0.1624999581
ERX1404043,0.8498773764,0.4467659667,-0.0027345818
ERX1404044,0.9669746085,-0.2275656764,0.1432227371
ERX237502,2.6340960205,-0.1417486382,-1.3867082205
ERX237505,0.8408432723,-0.2841861846,-0.8893328454
ERX237506,1.5533826121,-0.31187379130000004,-1.151109155
ERX237500,1.809144082,0.5027691329,-2.2441226907
ERX237497,1.915210263,0.7136798752,-2.0139341664
ERX237499,3.2734735414,0.41966477300000005,-1.8670279551000002
ERX237507,0.1536381148,-0.0416975531,0.008773927
ERX237496,-0.1591996457,0.0591556311,0.08209850710000001
ERX237504,0.0055615308000000006,-0.017458078000000002,-0.09087243410000001
ERX3772318,0.6694591246,0.13320650080000002,0.2538834378
ERX3772320,0.9468064104,0.1279234896,0.1676943443
ERX3772319,0.1966024613,0.0213264029,0.155062751
ERX3772321,0.2827235959,0.0340829173,-0.0167379306
ERX3772322,-0.46096017800000005,-0.09923763320000001,-0.17248190970000002
ERX3772323,0.1782365822,0.06515471590000001,0.1892198403
SRX4314262,-0.025906904,-0.011810861,0.0798797489
SRX4314263,0.2290588651,0.0288685687,-0.18949924810000002
SRX4314261,-0.2031519611,-0.0170577077,0.1096194992
SRX4314265,-0.275271225,0.007569446400000001,-0.07351954000000001
SRX4314266,-0.0999924782,0.2233111273,-0.19674752610000001
SRX4314264,0.8612988895,0.14622450480000002,-0.24615058080000002
SRX4314268,2.2128236072,0.2717542042,-0.132420661
SRX4314267,1.8931927488,0.4590529477,-0.7577048834
SRX4314271,-0.6471478073,0.1762317318,-0.3269035233
SRX4314272,0.5314697105,0.3085286018,-0.1216392627
SRX4314275,0.8830737708,0.18178686830000002,-0.37660912750000003
SRX4314274,-0.9466034113,0.2105879993,-0.5336133514
SRX4314273,-0.5320295803,0.2961984378,-0.4440113255
SRX4314278,0.4024940508,0.2445051306,-0.5920498177
SRX4314276,0.9798842025000001,0.2297069636,-0.7279651359
SRX4314281,0.8080090550000001,0.26983231690000004,-0.2414796885
SRX4314279,-0.0892179993,-0.0239367095,-0.4595789863
SRX4314280,-0.4143095281,0.1556501501,-0.3227264526
SRX4314284,1.2936525751999999,0.14415234940000002,-0.1018318642
SRX4314283,0.5067542344,0.4528933583,-0.5204631684000001
SRX4314282,0.47528362500000004,0.2232489373,-0.22244771900000002
SRX4314293,0.6449293301,0.1688342381,-0.2652265131
SRX4314292,0.2514339417,0.4401094499,-0.49175257710000003
SRX4314291,-0.0556807751,0.2760505723,-0.4736174427
SRX4314297,0.6518658898,0.1915478185,-0.3995440058
SRX4314298,0.8162028561,0.4445801764,-0.39390451130000004
SRX4314299,-0.0578819275,0.1797552895,-0.3589271888
SRX4314302,0.11212472200000001,0.20444796480000002,-0.46597214330000003
SRX4314301,1.7445712389999999,0.20671444790000001,-0.3639852873
SRX4314300,0.051131781700000004,0.5416710964,-0.27811621880000004
SRX4314305,1.2549505247,0.40855318360000004,-0.0131843401
SRX4314304,1.7391297367,0.4448634286,0.27145342780000004
SRX4314303,1.6909781328,0.3639228708,0.18498739660000002
SRX4314309,1.0872814102,0.4677324955,-0.3766555861
SRX4314306,1.0892600172,0.48328732830000004,0.0374124116
SRX4314308,1.2893106832,0.48123568790000004,-0.0030449249
SRX4314307,2.7096009026,0.38804972260000004,0.1860862768
SRX4314311,0.2214810412,0.5264543553000001,-0.3529749097
SRX4314317,-0.2093607103,0.4664377785,0.4192012174
SRX4314316,-1.5225256503,0.3684214659,0.4418675419
SRX4314318,-0.4914786451,0.3969109155,0.446621058
SRX4314319,-0.8315328807,0.2910412499,0.38762721110000004
SRX4314331,0.7809126355,0.7446907248,-0.017869393600000002
SRX4314330,2.1334491627,0.9353910516,0.1078803624
SRX4314332,1.7006701478,1.0458194135,0.1853305891
SRX4314335,0.6937814909000001,1.09601087,-0.0398662528
SRX4314334,-0.2968371998,0.8024761253,0.071696069
SRX4314333,0.5875551482,0.8916385982,-0.0539782424
SRX4314338,0.7625624270000001,1.0117960533,-0.162589072
SRX4314336,-0.5145815315,0.893274738,-0.0839141245
SRX4314337,-0.45918185450000004,0.7429092673000001,0.24447096210000002
SRX4314339,-0.043954273,0.7666047279,-0.1891997203
SRX4314340,0.34276330250000003,0.7492167857,0.07890355240000001
SRX4314341,-0.1326282083,0.6295526271,-0.1057555332
SRX3686762,5.8285497613,-0.5095421802,-0.0158721331
SRX3686763,5.3283166328,-0.6201968680000001,-0.0097011965
SRX3686761,6.0522127976,-0.5715283754,-0.0153808181
SRX3686765,0.4751611766,0.1074813099,-0.148865449
SRX3686769,1.0473274673,0.058140962000000004,-0.041887685200000004
SRX3686766,2.1529219501,0.0175214076,0.2718844675
SRX3686768,1.6977773308000002,0.11444026630000001,0.295709011
SRX3686764,1.0101080231,0.1399545658,0.1095404646
SRX3686767,0.8766235794,0.028544392800000002,0.0183178025
SRX3686788,-0.8871522740000001,-0.0041964209,-0.1856891457
SRX3686791,0.4053100143,-0.0081130953,0.0883926887
SRX3686792,-0.0060389444,0.037394486500000004,-0.1468380797
SRX3686793,0.2835419295,0.0491412119,0.012851646000000001
SRX3686790,0.1276423824,-0.1069631976,0.2348799426
SRX3686789,0.0766968921,0.0327370154,-0.0035970518000000003
SRX3686829,6.4838571281,-0.4519636695,0.1692919444
SRX3686830,6.249658248,-0.3556540295,0.080778765
SRX3686828,5.8431898378,-0.4087692713,0.0867730956
SRX3686819,7.4663645019,0.0376609096,0.3435761332
SRX3686818,7.5954089635,0.0837260735,0.2883777061
SRX3686817,7.6076842758000005,-0.0674965012,0.2643392287
SRX3686822,11.9341528952,1.7601766665,-0.7418996079
SRX3686820,9.6136511658,1.5027726592000001,-0.7418840396
SRX3686821,11.4909867668,1.6343063673,-0.8053127232
SRX3686743,6.563160348,-0.3817718679,0.1203361718
SRX3686744,6.5122579192,-0.5100720762000001,0.1417026282
SRX3686745,6.562799588,-0.4304970608,0.2167396417
SRX3686772,6.6830430904,-0.8013321295,0.0776668241
SRX3686770,7.5508837427,-0.6410059370000001,0.5054834574
SRX3686771,6.9267038972,-0.6367243232,0.2227226039
SRX3686794,3.9258882564,-0.5772777518000001,0.5858864819
SRX3686796,3.261399256,-0.5402212630000001,0.1675259197
SRX3686751,7.0979968782,-0.601713154,0.1588647745
SRX3686749,7.8266987492,-0.4508026202,0.18451152880000002
SRX3686750,6.847471197,-0.4930005075,0.0641829379
SRX3686778,5.5886558568,-0.8036066715,0.1398143376
SRX3686777,5.7167956787000005,-0.8082793274000001,0.0175434205
SRX3686776,6.0290128322,-0.7541053507000001,0.0284110162
SRX3686800,4.7601212931,-0.4567355253,0.1765467749
SRX3686801,3.8289277788,-0.4364949936,0.1442105802
SRX3686755,10.1378336413,-0.1415477661,0.1437106416
SRX3686757,8.3840617869,-0.4080843964,0.1257417442
SRX3686756,9.0459078319,-0.3744600892,0.1170291091
SRX3686784,6.3345687738,-0.798584327,-0.2061255002
SRX3686783,6.7720979746,-0.7130056344,-0.22459888200000003
SRX3686782,7.2277982072,-0.6373671556,0.0070589924
SRX3686809,4.4441370167,-0.4457377699,0.0094884696
SRX3686807,5.1546404172999996,-0.38479928820000003,-0.008951611200000001
SRX3686808,4.925796101,-0.4270200147,0.0963730188
SRX3686787,8.9684395567,1.0490384921,-0.9194448513000001
SRX3686786,8.3043505806,0.9590975322,-0.9426904701000001
SRX3686785,8.8361278378,0.9697034169000001,-0.8847373998
SRX3686799,3.6807941106,0.6405495599000001,-0.5474836482000001
SRX3686797,4.3839193922,0.5232651362,-0.40934811800000004
SRX3686798,3.6306919157,0.5288630979,-0.34512571280000004
SRX3686746,7.2185331711,0.17878584020000002,-0.2948663433
SRX3686748,7.5812122425,0.1663278753,-0.3319340919
SRX3686747,7.5663890802000004,0.0358768958,-0.1802614042
SRX3686773,6.6617208411,-0.0228445977,-0.08292283040000001
SRX3686774,7.1414077069,-0.0048394299,-0.1921773467
SRX3686775,6.2847812931,0.0891127305,-0.3101844965
SRX3686754,8.1063975825,0.41960340220000003,-0.40839920160000004
SRX3686753,7.8634366842,0.4227155508,-0.5018389917
SRX3686752,8.0794984257,0.4509395745,-0.5320153486
SRX3686780,7.0408906956,0.5913768743,-0.7655924733
SRX3686779,7.2542018113,0.4855986162,-0.5107310812
SRX3686781,6.8307263842,0.5134977098,-0.6994789594
SRX3686806,6.6386830539,1.0291706082,-1.0478436946
SRX3686805,7.1922883781,0.9681972969,-0.8791967713000001
SRX3686758,10.0042904579,0.9734031077,-0.7320489648
SRX3686760,9.8029608307,0.8521243734,-0.740280994
SRX3686759,10.2813590841,0.9507550849,-0.7058704211
SRX3686810,10.9774706393,1.3435543949,-0.9209895220000001
SRX3686811,9.1296659083,1.3377803454000001,-1.0148459425
SRX3686812,9.1181950316,1.3115265535,-1.0751907994
SRX3686813,6.3450673884,-0.8223248178,-0.0090802301
SRX3686815,14.7030932987,1.6428202695,-1.1132535493
SRX3686816,14.3156061371,1.6685751880000002,-1.0961371668
SRX3686823,5.4127459475,-0.8007599458,-0.0202049933
SRX3686824,5.3187365426,-0.7233273610000001,0.07751158600000001
SRX3686825,8.603919629,1.0236706737,-0.654298492
SRX3686827,11.5824268641,1.2569239012,-0.6021311303
SRX3686826,11.5170449461,1.2553375021,-0.4964782726
SRX7054191,-0.13496743120000002,-0.013289877700000001,-0.0118836101
SRX7054189,0.35981948810000003,0.0293188622,-0.0943186531
SRX7054190,-0.2248520569,-0.0160289846,0.10620226320000001
SRX7054193,-3.3905658983,0.2940038365,0.0041208193
SRX7054192,-3.8323354039,0.4471723246,-0.116000084
SRX7054194,-3.3035120457,0.3973235359,0.1465339168
SRX4506284,6.7404305881,-0.34292016480000004,0.4012559103
SRX4506280,6.394760601,-0.3546743396,0.5443184627000001
SRX4506282,6.9476092356,-0.2873733857,0.6293675235
SRX4506278,6.8600139002,-0.2889396578,0.5466591093000001
SRX4506274,-0.1811997036,-0.0421920802,-0.1576649091
SRX4506273,-0.19244440170000002,0.129024948,0.0464030489
SRX4506271,0.2303990998,-0.10149779760000001,0.0567004912
SRX4506276,0.1432450055,0.0146649298,0.054561369000000005
SRX4506283,-0.40489334250000003,0.3344996578,0.37918309720000004
SRX4506279,-0.4544461683,0.24832079070000002,0.3893255232
SRX4506285,-0.0041584982,0.44553133800000005,0.3519140754
SRX4506281,-0.8820335701,0.3549645846,0.29227936520000003
SRX4506275,0.3289126265,-0.0674594786,-0.0446195647
SRX4506277,0.1823409645,-0.029119348700000002,-0.236091558
SRX4506272,0.7169238614,0.0009330141000000001,-0.0144775122
SRX2923393,0.0896208448,-0.10786464150000001,0.1209805548
SRX2923394,-0.0896208448,0.10786464150000001,-0.1209805548
SRX2923398,13.4848779525,0.4677747883,2.9839660519
SRX2923397,11.0142920233,0.3440714655,2.6209357877
SRX2923395,11.3254966089,0.8134375082,1.5668710907999999
SRX2923396,11.0055504856,0.832442193,1.3752248065
SRX2923400,2.2266145374,0.042789066300000005,-1.0485079829
SRX2923401,2.3968074703,0.3782434729,-1.3851122688
SRX2923403,0.49990401230000003,1.022609397,-0.433578018
SRX2923402,1.7261775619000002,0.9921824444,-0.8102553663000001
SRX6853288,2.9552727748,0.20317172960000002,0.0075569459000000005
SRX6853287,2.4713521702,0.3481241489,-0.1440318153
SRX6853286,2.5150333503,0.3122307082,-0.006703760600000001
SRX6853284,0.061558889500000005,0.1216338047,-0.09548995390000001
SRX6853285,0.43386124410000004,-0.0351377586,0.0240988141
SRX6853283,-0.49542013360000003,-0.0864960461,0.0713911398
SRX4319040,-0.5910289493,0.040849467,-0.0872582632
SRX4319041,0.2814784397,-0.0734582721,-0.015282859800000001
SRX4319039,0.3095505096,0.032608805000000005,0.10254112300000001
SRX4314613,2.2446694713,-0.2967858612,-0.6528237022000001
SRX4314614,0.8610199795,-0.33854569370000004,0.0680301661
SRX4314615,2.8997362641,-0.2040714726,-0.6894202412
SRX4314632,3.4332482997,0.0275974264,-0.5775449526
SRX4314631,2.8504756334,0.2548714238,-0.6596816600000001
SRX4314633,1.9918154357,0.42609210540000003,-0.8007551983000001
SRX4314622,2.3377466816,-0.11353383610000001,-0.8182227555
SRX4314623,2.288267333,-0.1298370676,-0.8791653382
SRX4314624,2.0410004539,-0.12378092900000001,-0.9032809246
SRX4314611,0.1297320196,0.0033274188000000002,-0.1510051734
SRX4314610,0.12484549140000001,0.006187016500000001,-0.0020174518000000002
SRX4314612,-0.25457751100000003,-0.0095144353,0.1530226252
SRX4314630,0.8275392959000001,-0.3223520009,-0.3852289109
SRX4314628,0.8580472705000001,-0.2162311914,-0.2673512263
SRX4314629,-0.043619166200000004,-0.20797291410000002,-0.4571330322
SRX4314619,-0.41985791720000004,-0.30797346470000003,0.21910462
SRX4314621,0.005647732,-0.4434152765,0.2290444223
SRX4314620,-0.2006873072,-0.2349676098,0.0200289992
SRX7119390,0.2035391778,0.020280034000000002,0.1423062529
SRX7119388,-0.2035391778,-0.020280034000000002,-0.1423062529
SRX7119386,1.040108026,1.7837565428,-1.1546291323
SRX7119385,0.0237928646,1.8008219965999999,-1.0031527422
SRX7119387,0.6215720996,1.6702962843,-0.9118754830000001
SRX3746749,-2.4896808382,0.3340357942,-1.1281040632
SRX3746748,-2.3640078704,0.16753493590000001,-0.6831360421
SRX3746751,1.1003382022000001,-1.3586072423,0.013411866000000001
SRX3746750,1.0141349787,-0.7130560971000001,0.1331694131
SRX3746752,-0.89583855,-0.259928946,0.2011719502
SRX3746753,-2.0236918975,-1.1799629642,0.2601917391
SRX3746755,0.9350389344000001,-0.1669146324,0.1943846186
SRX3746754,-0.9350389344000001,0.1669146324,-0.1943846186
