,0
gene_id,Rv0049
name,Rv0049
operon,Op33
gene_product,hypothetical protein
COG,Function unknown
regulator,"csoR,Rv1816"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0049"">External Database</a>"
