,0
gene_id,Rv0397A
name,Rv0397A
operon,Op269
gene_product,hypothetical protein
COG,No COG annotation
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv0397A"">External Database</a>"
