,0
gene_id,Rv2586c
name,secF
operon,Op1631
gene_product,protein translocase subunit SecF
COG,"Intracellular trafficking, secretion, and vesicular transport"
regulator,"Rv0023,Rv0047c,Rv0081,Rv0324,csoR,trcR,sigB,Rv2887,Rv3249c"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv2586c"">External Database</a>"
