,0
gene_id,Rv3208A
name,TB9.4
operon,Op2010
gene_product,hypothetical protein
COG,Function unknown
regulator,"Rv0691c,Rv1353c"
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv3208A"">External Database</a>"
