,0
gene_id,Rv1155a
name,Rv1155a
operon,Op754
gene_product,hypothetical protein
COG,Function unknown
regulator,<i>Not Available</i>
link,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1155a"">External Database</a>"
