sample,Rv0457c
SRX3995807,0.5046178197
SRX3995806,0.5863599685
SRX3995809,0.3154808847
SRX3995808,0.4017249829
SRX4619048,0.43929741580000004
SRX4619047,0.5289713618
SRX4619049,0.3874571862
SRX4619050,0.171210955
SRX3995804,-0.0217079667
SRX3995805,0.0217079667
SRX5089845,-0.3864531788
SRX5089844,-0.1561372155
SRX5089860,-0.07628760650000001
SRX5089859,0.0513380622
SRX5089858,0.0249495443
SRX5089854,1.3202288158
SRX5089853,1.2658853831
SRX5089852,1.3438508054
SRX5089856,0.46185304190000004
SRX5089855,0.46234379550000004
SRX5089857,0.43551516360000003
SRX5089868,1.6277624193
SRX5089866,1.7638313853
SRX5089867,1.5537917434000001
SRX5089870,1.3264288606
SRX5089869,1.2568860472
SRX5089871,1.0352894317
SRX5089846,1.5727554311
SRX5089848,1.2785705211
SRX5089847,1.4644022946000002
SRX5089849,0.4014755371
SRX5089850,0.3832393344
SRX5089851,0.2864453768
SRX5089863,1.7271037123
SRX5089861,1.7831817544000002
SRX5089862,1.8633933562
SRX5089865,0.8893533645
SRX5089864,1.0903332428
SRX5388955,-0.19538632660000002
SRX5388957,0.0324524241
SRX5388954,0.10636767150000001
SRX5388956,0.056566231
SRX5388960,0.46196479160000004
SRX5388961,0.742048836
SRX5388959,0.5114635036
SRX5388958,0.3896480069
SRX5388964,0.4850529022
SRX5388965,0.7047763839000001
SRX5388962,0.7524469369
SRX5388963,0.5070351799
SRX6889335,0.0636233211
SRX6889333,-0.0636233211
SRX6810002,0.0838896338
SRX6810004,0.037906632
SRX6810003,-0.1217962658
SRX6810006,-0.1536074599
SRX6810005,-0.49315467360000004
SRX6810007,-0.0731640669
ERX1818322,0.0621998364
ERX1818321,-0.0621998364
SRX2617830,0.5161913009
SRX2617831,0.5351760606
SRX2617833,-0.0854766986
SRX2617832,0.3013608943
SRX2617828,0.0925976107
SRX2617827,0.1705987359
SRX2617829,-0.2631963466
SRX3456119,0.4278759924
SRX3456118,0.34117000270000003
SRX3456117,0.059304174
SRX3456101,0.6425638011
SRX3456099,0.26530194690000003
SRX3456100,-0.9078657480000001
SRX3456107,2.7135925968
SRX3456105,2.8706448862
SRX4374122,-0.4706986098
SRX4374121,-0.48133728470000003
SRX4374123,-0.5237556171000001
SRX4374124,-0.061960174400000005
SRX4374125,0.2045145974
SRX4374126,-0.142554423
SRX4374127,0.22774384190000002
SRX4374128,0.2609089748
SRX4374129,0.0462204062
SRX4374130,0.7642079403
SRX4374132,0.8353320279
SRX4374131,1.1912934414
SRX4374133,0.5954237312
SRX4374135,1.0702717957
SRX4374134,0.7662328467
SRX4374138,0.3726969272
SRX4374136,0.4069984185
SRX4374137,0.705344305
SRX1091379,-0.7565960650000001
SRX1091380,-0.7686836289000001
SRX1091377,0.0091769222
SRX1091378,-0.0091769222
SRX4647145,0.0421053414
SRX4647146,0.0634415167
SRX4647147,0.0025601927
SRX4647144,0.0238495641
SRX4647143,0.006425704500000001
SRX4647142,-0.030275268600000002
SRX4647155,1.1603671491
SRX4647152,1.2358619263
SRX4647153,1.1976720642
SRX4647154,1.004124363
SRX4647148,1.1374963219
SRX4647149,1.0348296264
SRX4647151,1.064311172
SRX4647150,1.0754636155
SRX4647123,-0.1129010948
SRX4647124,0.1053945032
SRX4647125,0.0075065916
SRX3103185,0.1449698429
SRX3103189,0.2151812848
SRX3103187,-0.4576270954
SRX3103184,0.11227918340000001
SRX3103188,0.1271346119
SRX3103186,-0.2394137953
SRX1372110,0.1052568494
SRX1372111,0.14206495530000002
SRX1372108,-0.1973192319
SRX1372109,0.1973192319
SRX4506085,0.15339128600000002
SRX4506083,-0.0306874582
SRX4506089,0.0373698229
SRX4506087,0.16779161210000001
SRX4506077,0.11856760300000001
SRX4506079,0.012338700900000001
SRX4506075,-0.1373769028
SRX4506081,0.0064705990000000005
SRX4506084,0.6861537258
SRX4506086,0.8979276725
SRX4506088,0.7516753996000001
SRX4506090,0.7865621770000001
SRX4506078,0.9529611686
SRX4506080,0.9612771661
SRX4506082,0.8543873869
SRX4506076,0.9527890146
SRX5352221,-0.8095327626000001
SRX5352223,-0.89651749
SRX5352222,-0.4174414556
SRX5352229,-0.2892142696
SRX5352227,-0.09780961290000001
SRX5352228,-0.0735249371
SRX5352231,-0.6752422537
SRX5352232,-0.4317970632
SRX5352230,-0.7015586697
SRX5352225,-0.7394088552
SRX5352224,-0.9593784378
SRX5352226,-1.3164107676999999
SRX5352220,0.10155969790000001
SRX5352219,0.0530497599
SRX5352218,-0.15460945780000002
SRX4498228,0.1573023378
SRX4498224,0.0430072473
SRX4498230,0.32426838080000003
SRX4498226,0.2024253399
SRX4498218,0.0609308915
SRX4498216,-0.1507340306
SRX4498220,-0.0489613724
SRX4498222,0.1387645116
SRX4498225,0.1808140534
SRX4498227,0.1031632709
SRX4498231,-0.0555440482
SRX4498229,-0.141998653
SRX4498217,-0.1718494766
SRX4498221,0.0018412147000000001
SRX4498219,0.040257122400000005
SRX4498223,0.079364999
SRX5079928,-0.0994826535
SRX5079930,-0.1318423761
SRX5079929,-0.12657899320000002
SRX5079923,0.2254176495
SRX5079924,-0.14005572630000002
SRX5079922,0.1959731586
SRX5079920,0.07679213850000001
SRX5079921,-0.09449137020000001
SRX5079919,0.0176992317
SRX5079926,0.2901226756
SRX5079925,0.0647343434
SRX5079927,0.055618155
SRX894005,0.0113043928
SRX894004,0.21787699840000002
SRX894006,0.2764787325
SRX893999,0.2954905231
SRX894000,-0.0318954834
SRX893998,-0.26359503970000003
SRX4647489,-0.0100396086
SRX4647490,0.0100396086
SRX4647492,-0.0680386174
SRX4647491,-0.1912024739
SRX4647496,0.2253749769
SRX4647495,0.1012299115
SRX4647499,0.097179949
SRX4647500,0.0357004124
SRX4647493,0.19692382360000002
SRX4647494,0.2168177218
SRX4647497,0.08085390440000001
SRX4647498,0.1339133069
SRX4505482,-0.36689866660000003
SRX4505486,-0.4399912019
SRX4505484,-0.8722959084
SRX4505473,-0.3631418302
SRX4505476,0.11050275520000001
SRX4505480,-0.15624776410000002
SRX4505478,-0.011606315
SRX4505474,0.0573513238
SRX4505483,1.2644089986
SRX4505485,1.1121954976
SRX4505487,1.3427014255
SRX4505488,1.3566658586
SRX4505481,1.4683974006
