,-0.1142641064668381,-0.06855846388010285,-0.022852821293367603,0.02285282129336763,0.0685584638801029,0.11426410646683816,0.15996974905357336,0.20567539164030862,0.2513810342270439,0.29708667681377915,0.3427923194005144,0.3884979619872497,0.4342036045739848,0.4799092471607201,0.5256148897474553,0.5713205323341906,0.6170261749209258,0.6627318175076611,0.7084374600943963,0.7541431026811316
thresh,-0.0914112851734705,0.0914112851734705,1,,,,,,,,,,,,,,,,,
unreg,1,14,1988,1883,16,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
unreg_genes,['Rv1134'],[],[],[],[],['vapB16' 'Rv2422' 'Rv2614A'],[],[],[],[],[],[],[],[],[],['PE29'],[],[],[],[]
