sample,Rv3735
SRX3995807,0.087074864
SRX3995806,0.2975720839
SRX3995809,0.262123498
SRX3995808,0.3628608511
SRX4619048,0.2246552563
SRX4619047,0.3551519363
SRX4619049,0.411159949
SRX4619050,0.4515468331
SRX3995804,0.1406538668
SRX3995805,-0.1406538668
SRX5089845,-0.1853754025
SRX5089844,-0.3522242298
SRX5089860,-0.11391965500000001
SRX5089859,0.1145410473
SRX5089858,-0.0006213922
SRX5089854,1.3639009686
SRX5089853,1.2774971909000001
SRX5089852,1.4381972675
SRX5089856,-0.0283356482
SRX5089855,0.004744756
SRX5089857,-0.029991546100000002
SRX5089868,1.5860193407
SRX5089866,1.5776043423
SRX5089867,1.4794080506
SRX5089870,-0.025148828
SRX5089869,0.2601674168
SRX5089871,0.5346895488
SRX5089846,1.3697251909000001
SRX5089848,1.5056832054
SRX5089847,1.1970999429
SRX5089849,-0.2385748353
SRX5089850,-0.42415800070000004
SRX5089851,-0.0446218629
SRX5089863,1.4685315651
SRX5089861,1.6809699500000002
SRX5089862,1.6482318759
SRX5089865,-0.35342036190000004
SRX5089864,0.0680918788
SRX5388955,-0.08319869540000001
SRX5388957,0.1241134427
SRX5388954,-0.0590941251
SRX5388956,0.0181793779
SRX5388960,0.4854548507
SRX5388961,0.6341153893
SRX5388959,0.4589363481
SRX5388958,0.4045834615
SRX5388964,0.8613880502
SRX5388965,0.6869287709
SRX5388962,0.6458964332
SRX5388963,0.7512846596
SRX6889335,-0.025377315600000002
SRX6889333,0.025377315600000002
SRX6810002,0.1044677593
SRX6810004,-0.0666074545
SRX6810003,-0.0378603049
SRX6810006,0.1944452803
SRX6810005,0.5597819142
SRX6810007,0.07040923140000001
ERX1818322,0.0772786869
ERX1818321,-0.0772786869
SRX2617830,0.1118740304
SRX2617831,0.08224525640000001
SRX2617833,0.8415202700000001
SRX2617832,0.8569233316
SRX2617828,-0.0641925431
SRX2617827,-0.059010944
SRX2617829,0.12320348710000001
SRX3456119,0.2960864912
SRX3456118,0.6558176576
SRX3456117,0.5475990113
SRX3456101,-0.21110401180000002
SRX3456099,0.3647031482
SRX3456100,-0.1535991364
SRX3456107,1.7318669886
SRX3456105,1.4095893516
SRX4374122,0.2200530362
SRX4374121,0.1334973023
SRX4374123,0.08497775610000001
SRX4374124,-0.0436873693
SRX4374125,0.0598387627
SRX4374126,-0.016151393400000002
SRX4374127,-0.2724024177
SRX4374128,0.3440563125
SRX4374129,-0.3617696964
SRX4374130,-0.3441593703
SRX4374132,-0.5332003031
SRX4374131,-0.5750108016000001
SRX4374133,-0.10450605410000001
SRX4374135,-0.4011939268
SRX4374134,-0.0642905076
SRX4374138,-0.9931089584
SRX4374136,-0.5819539646
SRX4374137,-0.6334069646
SRX1091379,-0.5459963937
SRX1091380,-0.5178891961000001
SRX1091377,0.010903241000000001
SRX1091378,-0.010903241000000001
SRX4647145,0.0048477309000000005
SRX4647146,-0.023818518400000002
SRX4647147,0.018839218
SRX4647144,0.08765376250000001
SRX4647143,0.009653556
SRX4647142,-0.0973073185
SRX4647155,-0.2194641712
SRX4647152,-0.2289531615
SRX4647153,-0.3151878167
SRX4647154,-0.3627013823
SRX4647148,-0.37609991200000004
SRX4647149,-0.3610662014
SRX4647151,-0.41742600690000004
SRX4647150,-0.31982088810000003
SRX4647123,-0.0926345189
SRX4647124,0.0270216813
SRX4647125,0.0656128376
SRX3103185,-0.0545159899
SRX3103189,0.0338337981
SRX3103187,-0.2683760295
SRX3103184,0.0644400087
SRX3103188,0.0232867761
SRX3103186,-0.0877267848
SRX1372110,-0.3842323783
SRX1372111,-0.3806040532
SRX1372108,-0.0800329821
SRX1372109,0.0800329821
