sample,Rv0303
SRX3995807,-0.6435990581000001
SRX3995806,-0.5565988956
SRX3995809,-0.4579453215
SRX3995808,0.1935239951
SRX4619048,-0.6986686368
SRX4619047,-0.1905932019
SRX4619049,-0.1931635646
SRX4619050,-0.3816038397
SRX3995804,-0.0804486957
SRX3995805,0.0804486957
SRX5089845,-1.4113358284
SRX5089844,-1.3898243699
SRX5089860,0.0258997598
SRX5089859,-0.049892234
SRX5089858,0.023992474200000002
SRX5089854,-1.8340245086
SRX5089853,-1.9565924378
SRX5089852,-1.9726745382000002
SRX5089856,-2.1726319391
SRX5089855,-2.3693470931
SRX5089857,-2.1204366244
SRX5089868,-1.2863043075
SRX5089866,-0.9525920929
SRX5089867,-1.240482856
SRX5089870,-1.1491766272
SRX5089869,-1.0731794639
SRX5089871,-0.9946000302
SRX5089846,-3.1150883308
SRX5089848,-3.0619539505
SRX5089847,-3.1259715192
SRX5089849,-2.2774840006
SRX5089850,-2.2449777356
SRX5089851,-2.3142902043999998
SRX5089863,-3.0907025566
SRX5089861,-3.0642828239
SRX5089862,-3.1751154895
SRX5089865,-1.9066573813
SRX5089864,-1.9963073867
SRX5388955,-0.0535488983
SRX5388957,-0.041334400300000004
SRX5388954,0.077626055
SRX5388956,0.0172572436
SRX5388960,-0.32566235
SRX5388961,-0.09497131660000001
SRX5388959,-0.2206672325
SRX5388958,-0.460260902
SRX5388964,-0.5783607757
SRX5388965,-0.3469519788
SRX5388962,-0.320951786
SRX5388963,-0.593075643
SRX6889335,0.12443072150000001
SRX6889333,-0.12443072150000001
SRX6810002,0.11078449530000001
SRX6810004,-0.0054887072
SRX6810003,-0.1052957882
SRX6810006,1.5198314074
SRX6810005,1.6754374393
SRX6810007,1.2961527596
ERX1818322,0.0062021755000000005
ERX1818321,-0.0062021755000000005
SRX2617830,-0.5489039667
SRX2617831,-0.3471768794
SRX2617833,-0.4871026167
SRX2617832,-0.27372684
SRX2617828,0.1306220142
SRX2617827,0.07121988400000001
SRX2617829,-0.2018418982
SRX3456119,0.15242611420000002
SRX3456118,-0.16416722420000002
SRX3456117,0.0401215919
SRX3456101,-0.0476131298
SRX3456099,0.0699843921
SRX3456100,-0.0223712623
SRX3456107,0.45348574610000003
SRX3456105,0.5915292779
SRX4374122,0.5123893808000001
SRX4374121,0.3050600713
