,-0.09324419032032799,-0.069933142740246,-0.046622095160163995,-0.023311047580081998,0.0,0.023311047580081998,0.046622095160163995,0.06993314274024598,0.09324419032032799,0.11655523790041,0.139866285480492,0.16317733306057397,0.18648838064065598,0.209799428220738,0.23311047580081995,0.25642152338090196,0.279732570960984,0.303043618541066,0.326354666121148,0.34966571370122995
thresh,-0.081588666530287,0.081588666530287,2,,,,,,,,,,,,,,,,,
unreg,1,2,27,548,2808,439,32,7,3,0,0,1,0,0,1,1,0,0,0,0
blaI,0,0,0,0,16,6,4,6,2,0,0,0,0,0,0,0,2,0,0,0
unreg_genes,['Rv0560c'],[],[],[],[],[],[],[],['lat' 'blaI' 'Rv1456c'],[],[],['sigC'],[],[],['cydD'],['cydC'],[],[],[],[]
blaI_genes,[],[],[],[],"['PE_PGRS27' 'Rv3888c' 'eccA2' 'ilvC' 'eccE2' 'Rv3921c' 'argG' 'Rv3050c'
 'mycP2' 'blaC' 'espG2' 'eccD2' 'fadE6' 'nrdE' 'metB' 'Rv2067c']",['cbs' 'ccsA' 'argH' 'Rv1847' 'Rv0528' 'ccdA'],['Rv0526' 'Rv0525' 'atpD' 'atpC'],['Rv1312' 'atpH' 'atpF' 'atpG' 'atpA' 'atpE'],['atpB' 'Rv1303'],[],[],[],[],[],[],[],['cydA' 'cydB'],[],[],[]
